Box Number,p1_lon,p1_lat,p2_lon,p2_lat,p3_lon,p3_lat,p4_lon,p4_lat,Alias
1,0,59.75,1,59.75,1,61.25,0,61.25,Shet-Fei-esai
2,2.5,59.75,3.5,59.75,3.5,61.25,2.5,61.25,Shet-Fei-noti
3,4,59.75,5.5,59.75,5.5,61.25,4,61.25,Shet-Fei-nocc
4,-2,58.75,-1,58.75,-1,59.5,-2,59.5,Ork-Uts-fici
5,-0.5,58.75,0.5,58.75,0.5,59.5,-0.5,59.5,Ork-Uts-esai
6,2.5,58.75,3.5,58.75,3.5,59.5,2.5,59.5,Ork-Uts-noti
7,4,58.75,5.5,58.75,5.5,59.5,4,59.5,Ork-Uts-nocc
8,-0.5,56.75,0.5,56.75,0.5,57.25,-0.5,57.25,Abd-Han-west
9,2,56.75,4,56.75,4,57.25,2,57.25,Abd-Han-cent
10,5,56.75,7,56.75,7,57.25,5,57.25,Abd-Han-east
11,7.9,57.75,9.5,58.45,9.5,58.9,7.9,58.2,Skag-ncw
12,7.9,57.3,10,57.9,10,58.2,7.9,57.6,Skag-AW
13,7.9,57.2,10,57.8,10.2,57.5,7.9,56.8,Skag-SNSW
14,2.75,55.75,4.5,55.75,4.5,56.25,2.75,56.25,Cen-Nsea
15,0,51.75,2.75,51.75,2.75,54.25,0,54.25,SBrit-Coast
16,5.5,53.75,8.5,53.75,8.5,55.25,5.5,55.25,Cont-Coast
17,-1.2846,50.39627435,0.898042,50.75366592,1.063973,50.06441074,-1.131432,49.65596323,EC_east
18,-4.45,48.90,-4.45,50.1,-2.53547,50.345218,-2.127023,49.285808,EC_west
19,-9.677911,49.144227,-9.677911,50.831575,-6.850214,50.831575,-6.850214,49.144227,CS
20,-11.342407,50.204966,-12.100537,51.897219,-11.484556,52.181518,-10.685813,50.51634,PBSE
21,-11.778752,52.577794,-11.778752,53.634704,-10.740384,53.634704,-10.740384,52.577794,53sh
22,-14.133621,52.804937,-14.133621,53.444646,-13.354845,53.444646,-13.354845,52.804937,PB
23,-11.28148585,54.61836253,-9.223705711,56.60845253,-8.751530877,56.17835943,-10.82796194,54.15130059,RTSE
24,-9,56.5,-9,58.75,-7.5,58.75,-7.5,56.5,HS
25,-7.4,56.35,-6.25,56.35,-5,58.55,-6,58.55,Minch
26,-2.7980,60.5327,-1.75,60,-4.0000,58.7500,-5.600,59.3920,NorthScotShelf
27,-5.228671,54.3212,-6.373951,55.376492,-6.028731,55.674329,-4.877999,54.652208,NIS
28,-4.2,53.4,-4.2,54.05,-3.2,54.05,-3.2,53.4,LB
29,-5.975364,53.300081,-5.975364,54.027628,-4.896807,54.027628,-4.896807,53.300081,ISJ
30,-6.610866,51.931064,-5.913658,52.777191,-5.067531,52.249208,-5.642898,51.328622,SIS
