Box Name: 07 Ork-Uts-nocc
Data Source: SGMD
Data Contact: Bee Berx (barbara.berx@gov.scot); Berit Rabe (berit.rabe@gov.scot)
Comment/Note (incl. method description): HydCem Database Extraction - everything in polygon described by boundaries; exclude data from _db.hyd
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
EX192600,   6,1926,09,08,11,45,  59.2167,   4.8833, 213,   0,   14.720,  0,   31.450,  0
EX192600,   6,1926,09,08,11,45,  59.2167,   4.8833, 213,  10,   14.720,  0,   31.320,  0
EX192600,   6,1926,09,08,11,45,  59.2167,   4.8833, 213,  20,   14.680,  0,   31.520,  0
EX192600,   6,1926,09,08,11,45,  59.2167,   4.8833, 213,  30,   13.820,  0,   32.410,  0
EX192600,   6,1926,09,08,11,45,  59.2167,   4.8833, 213,  40,   12.680,  0,   33.150,  4
EX192600,   6,1926,09,08,11,45,  59.2167,   4.8833, 213,  50,    8.240,  0,   34.530,  0
EX192600,   6,1926,09,08,11,45,  59.2167,   4.8833, 213,  60,    7.750,  0,   34.670,  0
EX192600,   6,1926,09,08,11,45,  59.2167,   4.8833, 213,  80,    7.160,  0,   34.870,  0
EX192600,   6,1926,09,08,11,45,  59.2167,   4.8833, 213, 120,    6.410,  0,   34.960,  0
EX192600,   6,1926,09,08,11,45,  59.2167,   4.8833, 213, 160,    6.020,  0,   34.930,  0
EX192600,   6,1926,09,08,11,45,  59.2167,   4.8833, 213, 200,    5.970,  0,   35.010,  0
EX193000,  31,1930,05,23,14,50,  59.1333,   4.2500, 280,   0,   10.410,  0,   27.670,  0
EX193000,  31,1930,05,23,14,50,  59.1333,   4.2500, 280,  10,    9.070,  0,   32.230,  0
EX193000,  31,1930,05,23,14,50,  59.1333,   4.2500, 280,  20,    7.470,  0,   33.010,  0
EX193000,  31,1930,05,23,14,50,  59.1333,   4.2500, 280,  30,    6.640,  0,   33.090,  4
EX193000,  31,1930,05,23,14,50,  59.1333,   4.2500, 280,  40,    6.430,  0,   34.290,  0
EX193000,  31,1930,05,23,14,50,  59.1333,   4.2500, 280,  60,    6.440,  0,   34.630,  0
EX193000,  31,1930,05,23,14,50,  59.1333,   4.2500, 280,  80,    6.550,  0,   34.810,  0
EX193000,  31,1930,05,23,14,50,  59.1333,   4.2500, 280, 100,    6.550,  0,   34.910,  0
EX193000,  31,1930,05,23,14,50,  59.1333,   4.2500, 280, 150,    6.550,  0,   35.080,  0
EX193000,  31,1930,05,23,14,50,  59.1333,   4.2500, 280, 200,    6.660,  0,   35.250,  0
EX193000,  31,1930,05,23,14,50,  59.1333,   4.2500, 280, 275,    6.460,  0,   35.310,  0
EX193000,  32,1930,05,23,20,25,  58.9333,   4.8500, 248,   0,   10.040,  0,   27.320,  0
EX193000,  32,1930,05,23,20,25,  58.9333,   4.8500, 248,  10,    9.920,  0,   27.510,  4
EX193000,  32,1930,05,23,20,25,  58.9333,   4.8500, 248,  20,    8.380,  0,   30.800,  4
EX193000,  32,1930,05,23,20,25,  58.9333,   4.8500, 248,  30,    6.630,  0,   33.130,  4
EX193000,  32,1930,05,23,20,25,  58.9333,   4.8500, 248,  40,    6.320,  0,   34.340,  0
EX193000,  32,1930,05,23,20,25,  58.9333,   4.8500, 248,  60,    6.570,  0,   34.720,  0
EX193000,  32,1930,05,23,20,25,  58.9333,   4.8500, 248,  80,    6.710,  0,   34.900,  0
EX193000,  32,1930,05,23,20,25,  58.9333,   4.8500, 248, 100,    6.750,  0,   34.990,  0
EX193000,  32,1930,05,23,20,25,  58.9333,   4.8500, 248, 150,    6.890,  0,   35.170,  0
EX193000,  32,1930,05,23,20,25,  58.9333,   4.8500, 248, 200,    6.830,  0,   35.200,  0
EX193000,  32,1930,05,23,20,25,  58.9333,   4.8500, 248, 240,    6.680,  0,   35.260,  0
EX193100,   7,1931,06,25,08,15,  58.9333,   4.8500, 269,   0,   10.330,  0,   29.720,  0
EX193100,   7,1931,06,25,08,15,  58.9333,   4.8500, 269,  10,   10.110,  0,   30.050,  4
EX193100,   7,1931,06,25,08,15,  58.9333,   4.8500, 269,  20,    8.400,  0,   31.970,  4
EX193100,   7,1931,06,25,08,15,  58.9333,   4.8500, 269,  30,    6.410,  0,   34.290,  0
EX193100,   7,1931,06,25,08,15,  58.9333,   4.8500, 269,  40,    6.260,  0,   34.580,  0
EX193100,   7,1931,06,25,08,15,  58.9333,   4.8500, 269,  60,    6.040,  0,   34.760,  0
EX193100,   7,1931,06,25,08,15,  58.9333,   4.8500, 269,  80,    6.150,  0,   34.870,  0
EX193100,   7,1931,06,25,08,15,  58.9333,   4.8500, 269, 100,    6.320,  0,   34.980,  0
EX193100,   7,1931,06,25,08,15,  58.9333,   4.8500, 269, 200,    6.220,  0,   35.110,  0
EX193100,   7,1931,06,25,08,15,  58.9333,   4.8500, 269, 260,    5.940,  0,   35.250,  0
EX193100,   8,1931,06,27,15,30,  59.1500,   4.2333, 280,   0,   11.390,  0,   29.320,  0
EX193100,   8,1931,06,27,15,30,  59.1500,   4.2333, 280,  10,   11.290,  0,   29.400,  4
EX193100,   8,1931,06,27,15,30,  59.1500,   4.2333, 280,  20,    7.250,  0,   32.470,  4
EX193100,   8,1931,06,27,15,30,  59.1500,   4.2333, 280,  30,    5.640,  0,   33.870,  0
EX193100,   8,1931,06,27,15,30,  59.1500,   4.2333, 280,  40,    5.930,  0,   34.420,  0
EX193100,   8,1931,06,27,15,30,  59.1500,   4.2333, 280,  60,    5.820,  0,   34.730,  0
EX193100,   8,1931,06,27,15,30,  59.1500,   4.2333, 280,  80,    5.800,  0,   34.850,  0
EX193100,   8,1931,06,27,15,30,  59.1500,   4.2333, 280, 100,    5.970,  0,   34.930,  0
EX193100,   8,1931,06,27,15,30,  59.1500,   4.2333, 280, 200,    6.010,  0,   35.080,  0
EX193100,   8,1931,06,27,15,30,  59.1500,   4.2333, 280, 275,    5.640,  0,   35.300,  0
EX193300,  32,1933,07,11,13,45,  58.9333,   4.8500,  22,   0,   16.230,  0,   27.730,  0
EX193300,  32,1933,07,11,13,45,  58.9333,   4.8500,  22,   5,   16.240,  0,  -99.999,  9
EX193300,  32,1933,07,11,13,45,  58.9333,   4.8500,  22,  10,    9.610,  4,   33.030,  0
EX193300,  32,1933,07,11,13,45,  58.9333,   4.8500,  22,  20,    7.420,  0,   34.030,  0
EX193300,  32,1933,07,11,13,45,  58.9333,   4.8500,  22,  30,    6.420,  0,   34.280,  0
EX193300,  32,1933,07,11,13,45,  58.9333,   4.8500,  22,  40,    6.310,  0,   34.520,  0
EX193300,  32,1933,07,11,13,45,  58.9333,   4.8500,  22,  60,    6.340,  0,   34.970,  0
