Box Name: 04 Ork-Uts-fici
Data Source: SGMD
Data Contact: Bee Berx (barbara.berx@gov.scot); Berit Rabe (berit.rabe@gov.scot)
Comment/Note (incl. method description): HydCem Database Extraction - everything in polygon described by boundaries; only data from _db.hyd (CTD-based standard depths)
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,   0,   10.690,  1,   35.115,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,   5,   10.270,  1,   35.074,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,  10,    9.350,  1,   35.041,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,  15,    9.020,  1,   35.054,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,  20,    8.850,  1,   35.095,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,  25,    8.650,  1,   35.112,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,  30,    8.560,  1,   35.110,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,  35,    8.560,  1,   35.117,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,  40,    8.530,  1,   35.125,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,  45,    8.500,  1,   35.155,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,  50,    8.450,  1,   35.160,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,  60,    8.390,  1,   35.186,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,  70,    8.310,  1,   35.193,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,  81,    8.300,  1,   35.195,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110,  90,    8.300,  1,   35.193,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110, 100,    8.270,  1,   35.191,  1
SC198806, 221,1988,06,26,12,27,  59.2815,  -1.3410, 110, 105,    8.270,  1,   35.185,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,   0,   11.510,  1,   34.793,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,   5,   11.510,  1,   34.793,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,  10,   11.500,  1,   34.786,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,  15,   10.570,  1,   34.821,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,  20,    9.290,  1,   34.804,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,  25,    9.150,  1,   34.801,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,  30,    8.990,  1,   34.808,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,  35,    8.950,  1,   34.810,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,  41,    8.910,  1,   34.810,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,  46,    8.890,  1,   34.817,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,  50,    8.870,  1,   34.818,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,  61,    8.840,  1,   34.831,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,  70,    8.830,  1,   34.841,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,  81,    8.800,  1,   34.856,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108,  91,    8.720,  1,   34.903,  1
SC198806, 186,1988,06,24,16,37,  59.4985,  -1.9973, 108, 100,    8.640,  1,   34.957,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,   0,   11.630,  1,   34.737,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,   5,   11.560,  1,   34.759,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  10,   11.500,  1,   34.765,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  15,   11.450,  1,   34.768,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  20,   11.380,  1,   34.760,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  25,   11.040,  1,   34.755,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  30,   10.250,  1,   34.758,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  35,    9.680,  1,   34.752,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  40,    9.290,  1,   34.764,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  45,    9.150,  1,   34.809,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  51,    8.970,  1,   34.841,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  55,    8.900,  1,   34.862,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  60,    8.830,  1,   34.893,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  65,    8.820,  1,   34.900,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  70,    8.810,  1,   34.912,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  76,    8.810,  1,   34.913,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  80,    8.810,  1,   34.915,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  86,    8.820,  1,   34.916,  1
SC198806, 217,1988,06,26,08,54,  59.2833,  -1.9335,  96,  91,    8.820,  1,   34.915,  1
SC198806, 218,1988,06,26,09,40,  59.2837,  -1.7997,  79,   0,   11.760,  1,   34.792,  1
SC198806, 218,1988,06,26,09,40,  59.2837,  -1.7997,  79,   5,   11.640,  1,   34.801,  1
SC198806, 218,1988,06,26,09,40,  59.2837,  -1.7997,  79,  10,   11.550,  1,   34.809,  1
SC198806, 218,1988,06,26,09,40,  59.2837,  -1.7997,  79,  15,   11.460,  1,   34.798,  1
