Box Name: 11 Skag-ncw
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,01,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   30.658,  8
NaN, NaN,1993,01,01,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   30.700,  8
NaN, NaN,1993,01,02,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   31.258,  8
NaN, NaN,1993,01,02,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   31.291,  8
NaN, NaN,1993,01,03,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.207,  8
NaN, NaN,1993,01,03,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.226,  8
NaN, NaN,1993,01,04,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.734,  8
NaN, NaN,1993,01,04,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.739,  8
NaN, NaN,1993,01,05,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.977,  8
NaN, NaN,1993,01,05,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.981,  8
NaN, NaN,1993,01,06,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.914,  8
NaN, NaN,1993,01,06,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.915,  8
NaN, NaN,1993,01,07,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   34.086,  8
NaN, NaN,1993,01,07,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   34.086,  8
NaN, NaN,1993,01,08,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   34.231,  8
NaN, NaN,1993,01,08,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   34.231,  8
NaN, NaN,1993,01,09,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   34.230,  8
NaN, NaN,1993,01,09,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   34.231,  8
NaN, NaN,1993,01,10,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   34.065,  8
NaN, NaN,1993,01,10,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   34.066,  8
NaN, NaN,1993,01,11,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.690,  8
NaN, NaN,1993,01,11,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.691,  8
NaN, NaN,1993,01,12,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.236,  8
NaN, NaN,1993,01,12,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.237,  8
NaN, NaN,1993,01,13,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.656,  8
NaN, NaN,1993,01,13,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.657,  8
NaN, NaN,1993,01,14,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.071,  8
NaN, NaN,1993,01,14,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.072,  8
NaN, NaN,1993,01,15,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   31.918,  8
NaN, NaN,1993,01,15,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   31.919,  8
NaN, NaN,1993,01,16,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.187,  8
NaN, NaN,1993,01,16,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.188,  8
NaN, NaN,1993,01,17,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.452,  8
NaN, NaN,1993,01,17,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.452,  8
NaN, NaN,1993,01,18,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.932,  8
NaN, NaN,1993,01,18,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.932,  8
NaN, NaN,1993,01,19,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.863,  8
NaN, NaN,1993,01,19,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.875,  8
NaN, NaN,1993,01,20,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.682,  8
NaN, NaN,1993,01,20,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.686,  8
NaN, NaN,1993,01,21,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.816,  8
NaN, NaN,1993,01,21,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.817,  8
NaN, NaN,1993,01,22,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.332,  8
NaN, NaN,1993,01,22,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.332,  8
NaN, NaN,1993,01,23,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.365,  8
NaN, NaN,1993,01,23,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.367,  8
NaN, NaN,1993,01,24,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.147,  8
NaN, NaN,1993,01,24,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.157,  8
NaN, NaN,1993,01,25,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.217,  8
NaN, NaN,1993,01,25,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.222,  8
NaN, NaN,1993,01,26,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.093,  8
NaN, NaN,1993,01,26,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.103,  8
NaN, NaN,1993,01,27,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.752,  8
NaN, NaN,1993,01,27,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.782,  8
NaN, NaN,1993,01,28,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.638,  8
NaN, NaN,1993,01,28,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.684,  8
NaN, NaN,1993,01,29,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.606,  8
NaN, NaN,1993,01,29,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.625,  8
NaN, NaN,1993,01,30,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.180,  8
NaN, NaN,1993,01,30,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.183,  8
NaN, NaN,1993,01,31,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.224,  8
NaN, NaN,1993,01,31,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.232,  8
NaN, NaN,1993,02,01,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.404,  8
NaN, NaN,1993,02,01,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.410,  8
NaN, NaN,1993,02,02,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.754,  8
NaN, NaN,1993,02,02,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.759,  8
NaN, NaN,1993,02,03,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.293,  8
NaN, NaN,1993,02,03,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.294,  8
NaN, NaN,1993,02,04,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.642,  8
NaN, NaN,1993,02,04,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.643,  8
NaN, NaN,1993,02,05,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.717,  8
NaN, NaN,1993,02,05,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.717,  8
NaN, NaN,1993,02,06,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.334,  8
NaN, NaN,1993,02,06,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.337,  8
NaN, NaN,1993,02,07,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.775,  8
NaN, NaN,1993,02,07,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.777,  8
NaN, NaN,1993,02,08,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   32.297,  8
NaN, NaN,1993,02,08,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   32.304,  8
NaN, NaN,1993,02,09,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   31.815,  8
NaN, NaN,1993,02,09,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   31.847,  8
NaN, NaN,1993,02,10,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   31.492,  8
NaN, NaN,1993,02,10,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   31.555,  8
NaN, NaN,1993,02,11,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   31.294,  8
NaN, NaN,1993,02,11,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   31.348,  8
NaN, NaN,1993,02,12,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   31.299,  8
NaN, NaN,1993,02,12,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   31.309,  8
NaN, NaN,1993,02,13,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   31.309,  8
NaN, NaN,1993,02,13,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   31.329,  8
NaN, NaN,1993,02,14,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   31.303,  8
NaN, NaN,1993,02,14,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   31.326,  8
NaN, NaN,1993,02,15,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   31.635,  8
NaN, NaN,1993,02,15,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   31.641,  8
