Box Name: 07 Ork-Uts-nocc
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    6.705,  8,   33.540,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    6.708,  8,   33.541,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    5.925,  8,   34.208,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    5.929,  8,   34.209,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    5.297,  8,   34.551,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    5.301,  8,   34.551,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    5.813,  8,   34.642,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    5.764,  8,   34.642,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    9.085,  8,   34.199,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,    9.007,  8,   34.202,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   10.679,  8,   34.023,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,   10.547,  8,   34.023,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   12.187,  8,   33.702,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   12.100,  8,   33.703,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   14.119,  8,   32.217,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   14.102,  8,   32.226,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   0,   12.646,  8,   33.019,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   3,   12.644,  8,   33.020,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   0,   10.553,  8,   33.053,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   3,   10.561,  8,   33.054,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   0,    7.970,  8,   32.680,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   3,    7.981,  8,   32.681,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   0,    6.052,  8,   32.871,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   3,    6.067,  8,   32.873,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   0,    4.838,  8,   32.511,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   3,    4.848,  8,   32.515,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   0,    3.914,  8,   32.396,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   3,    3.941,  8,   32.404,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   0,    3.893,  8,   33.257,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   3,    3.894,  8,   33.258,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   0,    4.825,  8,   31.506,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   3,    4.817,  8,   31.510,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   0,    8.381,  8,   30.666,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   3,    8.284,  8,   30.674,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   0,   10.002,  8,   31.904,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   3,    9.943,  8,   31.913,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   0,   15.006,  8,   31.474,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   3,   14.822,  8,   31.506,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   0,   15.159,  8,   32.369,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   3,   15.086,  8,   32.377,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,   0,   14.204,  8,   31.831,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,   3,   14.201,  8,   31.839,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,   0,   10.590,  8,   33.117,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,   3,   10.596,  8,   33.118,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,   0,    9.157,  8,   33.051,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,   3,    9.163,  8,   33.051,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,   0,    7.841,  8,   33.285,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,   3,    7.846,  8,   33.286,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,   0,    6.666,  8,   33.978,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,   3,    6.671,  8,   33.979,  8
NaN, NaN,1995,02,15,12,00,      NaN,      NaN, NaN,   0,    5.255,  8,   33.102,  8
NaN, NaN,1995,02,15,12,00,      NaN,      NaN, NaN,   3,    5.262,  8,   33.104,  8
NaN, NaN,1995,03,15,12,00,      NaN,      NaN, NaN,   0,    4.457,  8,   31.226,  8
NaN, NaN,1995,03,15,12,00,      NaN,      NaN, NaN,   3,    4.461,  8,   31.230,  8
NaN, NaN,1995,04,15,12,00,      NaN,      NaN, NaN,   0,    5.741,  8,   32.346,  8
NaN, NaN,1995,04,15,12,00,      NaN,      NaN, NaN,   3,    5.726,  8,   32.357,  8
NaN, NaN,1995,05,15,12,00,      NaN,      NaN, NaN,   0,    7.917,  8,   31.173,  8
NaN, NaN,1995,05,15,12,00,      NaN,      NaN, NaN,   3,    7.879,  8,   31.185,  8
NaN, NaN,1995,06,15,12,00,      NaN,      NaN, NaN,   0,   11.125,  8,   30.342,  8
NaN, NaN,1995,06,15,12,00,      NaN,      NaN, NaN,   3,   11.065,  8,   30.359,  8
NaN, NaN,1995,07,15,12,00,      NaN,      NaN, NaN,   0,   13.265,  8,   32.153,  8
NaN, NaN,1995,07,15,12,00,      NaN,      NaN, NaN,   3,   13.049,  8,   32.179,  8
NaN, NaN,1995,08,15,12,00,      NaN,      NaN, NaN,   0,   14.066,  8,   32.595,  8
NaN, NaN,1995,08,15,12,00,      NaN,      NaN, NaN,   3,   13.910,  8,   32.616,  8
NaN, NaN,1995,09,15,12,00,      NaN,      NaN, NaN,   0,   13.587,  8,   32.917,  8
NaN, NaN,1995,09,15,12,00,      NaN,      NaN, NaN,   3,   13.563,  8,   32.928,  8
NaN, NaN,1995,10,15,12,00,      NaN,      NaN, NaN,   0,   11.617,  8,   32.223,  8
NaN, NaN,1995,10,15,12,00,      NaN,      NaN, NaN,   3,   11.623,  8,   32.230,  8
NaN, NaN,1995,11,15,12,00,      NaN,      NaN, NaN,   0,    9.375,  8,   32.903,  8
NaN, NaN,1995,11,15,12,00,      NaN,      NaN, NaN,   3,    9.386,  8,   32.904,  8
NaN, NaN,1995,12,15,12,00,      NaN,      NaN, NaN,   0,    7.422,  8,   33.977,  8
NaN, NaN,1995,12,15,12,00,      NaN,      NaN, NaN,   3,    7.436,  8,   33.978,  8
NaN, NaN,1996,01,15,12,00,      NaN,      NaN, NaN,   0,    6.121,  8,   34.627,  8
NaN, NaN,1996,01,15,12,00,      NaN,      NaN, NaN,   3,    6.129,  8,   34.627,  8
NaN, NaN,1996,02,15,12,00,      NaN,      NaN, NaN,   0,    5.281,  8,   34.829,  8
NaN, NaN,1996,02,15,12,00,      NaN,      NaN, NaN,   3,    5.288,  8,   34.829,  8
NaN, NaN,1996,03,15,12,00,      NaN,      NaN, NaN,   0,    4.657,  8,   34.703,  8
NaN, NaN,1996,03,15,12,00,      NaN,      NaN, NaN,   3,    4.658,  8,   34.704,  8
NaN, NaN,1996,04,15,12,00,      NaN,      NaN, NaN,   0,    5.471,  8,   34.854,  8
NaN, NaN,1996,04,15,12,00,      NaN,      NaN, NaN,   3,    5.442,  8,   34.855,  8
NaN, NaN,1996,05,15,12,00,      NaN,      NaN, NaN,   0,    6.987,  8,   34.616,  8
NaN, NaN,1996,05,15,12,00,      NaN,      NaN, NaN,   3,    6.960,  8,   34.619,  8
NaN, NaN,1996,06,15,12,00,      NaN,      NaN, NaN,   0,    9.500,  8,   34.076,  8
NaN, NaN,1996,06,15,12,00,      NaN,      NaN, NaN,   3,    9.459,  8,   34.079,  8
NaN, NaN,1996,07,15,12,00,      NaN,      NaN, NaN,   0,   11.878,  8,   33.464,  8
NaN, NaN,1996,07,15,12,00,      NaN,      NaN, NaN,   3,   11.834,  8,   33.466,  8
NaN, NaN,1996,08,15,12,00,      NaN,      NaN, NaN,   0,   15.152,  8,   33.339,  8
NaN, NaN,1996,08,15,12,00,      NaN,      NaN, NaN,   3,   15.113,  8,   33.340,  8
NaN, NaN,1996,09,15,12,00,      NaN,      NaN, NaN,   0,   14.239,  8,   33.500,  8
NaN, NaN,1996,09,15,12,00,      NaN,      NaN, NaN,   3,   14.229,  8,   33.501,  8
NaN, NaN,1996,10,15,12,00,      NaN,      NaN, NaN,   0,   11.640,  8,   33.815,  8
NaN, NaN,1996,10,15,12,00,      NaN,      NaN, NaN,   3,   11.644,  8,   33.816,  8
NaN, NaN,1996,11,15,12,00,      NaN,      NaN, NaN,   0,    9.469,  8,   34.006,  8
NaN, NaN,1996,11,15,12,00,      NaN,      NaN, NaN,   3,    9.482,  8,   34.007,  8
NaN, NaN,1996,12,15,12,00,      NaN,      NaN, NaN,   0,    6.607,  8,   32.325,  8
NaN, NaN,1996,12,15,12,00,      NaN,      NaN, NaN,   3,    6.635,  8,   32.333,  8
NaN, NaN,1997,01,15,12,00,      NaN,      NaN, NaN,   0,    5.146,  8,   32.552,  8
NaN, NaN,1997,01,15,12,00,      NaN,      NaN, NaN,   3,    5.161,  8,   32.555,  8
NaN, NaN,1997,02,15,12,00,      NaN,      NaN, NaN,   0,    5.779,  8,   33.814,  8
NaN, NaN,1997,02,15,12,00,      NaN,      NaN, NaN,   3,    5.782,  8,   33.815,  8
NaN, NaN,1997,03,15,12,00,      NaN,      NaN, NaN,   0,    5.244,  8,   34.284,  8
NaN, NaN,1997,03,15,12,00,      NaN,      NaN, NaN,   3,    5.246,  8,   34.284,  8
NaN, NaN,1997,04,15,12,00,      NaN,      NaN, NaN,   0,    5.479,  8,   34.272,  8
NaN, NaN,1997,04,15,12,00,      NaN,      NaN, NaN,   3,    5.468,  8,   34.273,  8
NaN, NaN,1997,05,15,12,00,      NaN,      NaN, NaN,   0,    8.124,  8,   33.233,  8
NaN, NaN,1997,05,15,12,00,      NaN,      NaN, NaN,   3,    8.041,  8,   33.254,  8
NaN, NaN,1997,06,15,12,00,      NaN,      NaN, NaN,   0,   11.575,  8,   32.463,  8
NaN, NaN,1997,06,15,12,00,      NaN,      NaN, NaN,   3,   11.494,  8,   32.473,  8
NaN, NaN,1997,07,15,12,00,      NaN,      NaN, NaN,   0,   16.350,  8,   30.811,  8
NaN, NaN,1997,07,15,12,00,      NaN,      NaN, NaN,   3,   16.237,  8,   30.824,  8
NaN, NaN,1997,08,15,12,00,      NaN,      NaN, NaN,   0,   18.460,  8,   31.142,  8
NaN, NaN,1997,08,15,12,00,      NaN,      NaN, NaN,   3,   18.313,  8,   31.161,  8
NaN, NaN,1997,09,15,12,00,      NaN,      NaN, NaN,   0,   13.879,  8,   33.156,  8
NaN, NaN,1997,09,15,12,00,      NaN,      NaN, NaN,   3,   13.881,  8,   33.156,  8
NaN, NaN,1997,10,15,12,00,      NaN,      NaN, NaN,   0,   11.474,  8,   33.721,  8
NaN, NaN,1997,10,15,12,00,      NaN,      NaN, NaN,   3,   11.481,  8,   33.721,  8
NaN, NaN,1997,11,15,12,00,      NaN,      NaN, NaN,   0,    9.300,  8,   33.690,  8
NaN, NaN,1997,11,15,12,00,      NaN,      NaN, NaN,   3,    9.308,  8,   33.691,  8
NaN, NaN,1997,12,15,12,00,      NaN,      NaN, NaN,   0,    7.355,  8,   34.128,  8
NaN, NaN,1997,12,15,12,00,      NaN,      NaN, NaN,   3,    7.367,  8,   34.129,  8
NaN, NaN,1998,01,15,12,00,      NaN,      NaN, NaN,   0,    5.459,  8,   32.581,  8
NaN, NaN,1998,01,15,12,00,      NaN,      NaN, NaN,   3,    5.466,  8,   32.583,  8
NaN, NaN,1998,02,15,12,00,      NaN,      NaN, NaN,   0,    4.842,  8,   32.185,  8
NaN, NaN,1998,02,15,12,00,      NaN,      NaN, NaN,   3,    4.842,  8,   32.189,  8
NaN, NaN,1998,03,15,12,00,      NaN,      NaN, NaN,   0,    5.459,  8,   33.967,  8
NaN, NaN,1998,03,15,12,00,      NaN,      NaN, NaN,   3,    5.460,  8,   33.968,  8
NaN, NaN,1998,04,15,12,00,      NaN,      NaN, NaN,   0,    5.619,  8,   33.853,  8
NaN, NaN,1998,04,15,12,00,      NaN,      NaN, NaN,   3,    5.586,  8,   33.856,  8
NaN, NaN,1998,05,15,12,00,      NaN,      NaN, NaN,   0,    8.708,  8,   30.925,  8
NaN, NaN,1998,05,15,12,00,      NaN,      NaN, NaN,   3,    8.605,  8,   30.994,  8
NaN, NaN,1998,06,15,12,00,      NaN,      NaN, NaN,   0,   10.879,  8,   31.552,  8
NaN, NaN,1998,06,15,12,00,      NaN,      NaN, NaN,   3,   10.766,  8,   31.569,  8
NaN, NaN,1998,07,15,12,00,      NaN,      NaN, NaN,   0,   12.846,  8,   30.656,  8
NaN, NaN,1998,07,15,12,00,      NaN,      NaN, NaN,   3,   12.754,  8,   30.677,  8
NaN, NaN,1998,08,15,12,00,      NaN,      NaN, NaN,   0,   14.091,  8,   31.011,  8
NaN, NaN,1998,08,15,12,00,      NaN,      NaN, NaN,   3,   14.053,  8,   31.023,  8
NaN, NaN,1998,09,15,12,00,      NaN,      NaN, NaN,   0,   13.819,  8,   30.972,  8
NaN, NaN,1998,09,15,12,00,      NaN,      NaN, NaN,   3,   13.818,  8,   30.988,  8
NaN, NaN,1998,10,15,12,00,      NaN,      NaN, NaN,   0,   11.640,  8,   30.528,  8
NaN, NaN,1998,10,15,12,00,      NaN,      NaN, NaN,   3,   11.654,  8,   30.538,  8
NaN, NaN,1998,11,15,12,00,      NaN,      NaN, NaN,   0,    7.837,  8,   30.503,  8
NaN, NaN,1998,11,15,12,00,      NaN,      NaN, NaN,   3,    7.889,  8,   30.528,  8
NaN, NaN,1998,12,15,12,00,      NaN,      NaN, NaN,   0,    6.863,  8,   33.440,  8
NaN, NaN,1998,12,15,12,00,      NaN,      NaN, NaN,   3,    6.869,  8,   33.441,  8
