Box Name: 15 SBrit-Coast
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    6.174,  8,   34.402,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    5.801,  8,   34.541,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    5.551,  8,   34.647,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    7.067,  8,   34.639,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    9.614,  8,   34.628,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   12.767,  8,   34.600,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   14.810,  8,   34.575,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   15.430,  8,   34.509,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   0,   14.770,  8,   34.485,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   0,   12.501,  8,   34.401,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   0,    9.800,  8,   34.416,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   0,    7.389,  8,   34.401,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   0,    6.302,  8,   34.242,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   0,    5.261,  8,   34.306,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   0,    5.614,  8,   34.394,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   0,    7.008,  8,   34.400,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   0,    9.532,  8,   34.410,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   0,   11.889,  8,   34.442,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   0,   15.588,  8,   34.438,  8
