Box Name: 16 Cont-Coast
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    5.115,  8,   33.217,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    4.388,  8,   33.230,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    4.283,  8,   32.949,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    6.232,  8,   32.925,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,   10.386,  8,   32.893,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   13.606,  8,   32.934,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   14.897,  8,   32.958,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   16.049,  8,   33.012,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   0,   15.082,  8,   33.105,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   0,   12.784,  8,   33.259,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   0,    9.017,  8,   33.309,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   0,    5.858,  8,   33.375,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   0,    4.963,  8,   32.850,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   0,    3.642,  8,   32.112,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   0,    4.075,  8,   32.418,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   0,    6.652,  8,   32.152,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   0,   10.211,  8,   31.746,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   0,   12.822,  8,   31.989,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   0,   18.268,  8,   31.864,  8
