Box Name: 20 WIS
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    9.786,  8,   35.426,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    9.788,  8,   35.426,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    9.791,  8,   35.426,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    9.793,  8,   35.426,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,    9.793,  8,   35.426,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  30,    9.794,  8,   35.426,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  50,    9.793,  8,   35.426,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  75,    9.790,  8,   35.427,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN, 100,    9.783,  8,   35.427,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    9.947,  8,   35.447,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    9.950,  8,   35.447,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    9.953,  8,   35.447,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    9.954,  8,   35.447,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,    9.954,  8,   35.447,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  30,    9.953,  8,   35.447,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  50,    9.934,  8,   35.447,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  75,    9.904,  8,   35.447,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN, 100,    9.875,  8,   35.448,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    9.673,  8,   35.448,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    9.675,  8,   35.448,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  10,    9.675,  8,   35.448,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  15,    9.673,  8,   35.448,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  20,    9.672,  8,   35.448,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  30,    9.668,  8,   35.448,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  50,    9.636,  8,   35.450,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  75,    9.597,  8,   35.452,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN, 100,    9.578,  8,   35.453,  8
