Box Name: 24 NorthScotShelf
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    7.695,  8,   35.204,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    7.697,  8,   35.204,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    7.701,  8,   35.204,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    7.703,  8,   35.205,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    7.684,  8,   35.239,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    7.686,  8,   35.239,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    7.690,  8,   35.239,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    7.691,  8,   35.240,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    7.455,  8,   35.266,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    7.458,  8,   35.266,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  10,    7.460,  8,   35.266,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  15,    7.460,  8,   35.266,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    7.852,  8,   35.266,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    7.834,  8,   35.267,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  10,    7.787,  8,   35.268,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  15,    7.754,  8,   35.269,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    8.777,  8,   35.319,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,    8.733,  8,   35.320,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  10,    8.587,  8,   35.322,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  15,    8.477,  8,   35.326,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,    9.779,  8,   35.235,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,    9.748,  8,   35.237,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  10,    9.640,  8,   35.240,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  15,    9.547,  8,   35.245,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   10.955,  8,   35.207,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   10.921,  8,   35.207,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  10,   10.775,  8,   35.209,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  15,   10.593,  8,   35.210,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   11.585,  8,   35.215,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   11.557,  8,   35.216,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  10,   11.454,  8,   35.217,  8
