Box Name: 25 NIS
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    7.715,  8,   34.172,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    7.717,  8,   34.173,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    6.897,  8,   34.067,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    6.899,  8,   34.069,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    6.800,  8,   34.164,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    6.800,  8,   34.164,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    7.401,  8,   34.083,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    7.385,  8,   34.085,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    8.796,  8,   34.041,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,    8.739,  8,   34.044,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   10.638,  8,   34.106,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,   10.566,  8,   34.109,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   11.748,  8,   34.083,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   11.712,  8,   34.086,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   12.575,  8,   34.146,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   12.548,  8,   34.147,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   0,   13.048,  8,   34.165,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   3,   13.043,  8,   34.166,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   0,   12.706,  8,   34.247,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   3,   12.712,  8,   34.247,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   0,   11.568,  8,   34.360,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   3,   11.575,  8,   34.360,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   0,    9.545,  8,   34.363,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   3,    9.550,  8,   34.363,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   0,    7.787,  8,   34.329,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   3,    7.792,  8,   34.329,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   0,    6.587,  8,   34.373,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   3,    6.591,  8,   34.373,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   0,    6.096,  8,   34.368,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   3,    6.097,  8,   34.368,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   0,    6.576,  8,   34.151,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   3,    6.560,  8,   34.158,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   0,    7.975,  8,   34.277,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   3,    7.939,  8,   34.278,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   0,    9.583,  8,   34.244,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   3,    9.528,  8,   34.247,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   0,   11.395,  8,   34.232,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   3,   11.308,  8,   34.236,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   0,   12.894,  8,   34.216,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   3,   12.811,  8,   34.218,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,   0,   12.918,  8,   34.243,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,   3,   12.910,  8,   34.243,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,   0,   12.482,  8,   34.249,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,   3,   12.485,  8,   34.249,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,   0,   11.769,  8,   34.168,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,   3,   11.773,  8,   34.168,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,   0,   10.353,  8,   34.097,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,   3,   10.357,  8,   34.097,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,   0,    8.636,  8,   34.017,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,   3,    8.640,  8,   34.017,  8
NaN, NaN,1995,02,15,12,00,      NaN,      NaN, NaN,   0,    7.619,  8,   33.970,  8
NaN, NaN,1995,02,15,12,00,      NaN,      NaN, NaN,   3,    7.623,  8,   33.970,  8
NaN, NaN,1995,03,15,12,00,      NaN,      NaN, NaN,   0,    7.011,  8,   33.938,  8
NaN, NaN,1995,03,15,12,00,      NaN,      NaN, NaN,   3,    7.013,  8,   33.938,  8
NaN, NaN,1995,04,15,12,00,      NaN,      NaN, NaN,   0,    7.546,  8,   33.727,  8
NaN, NaN,1995,04,15,12,00,      NaN,      NaN, NaN,   3,    7.521,  8,   33.740,  8
NaN, NaN,1995,05,15,12,00,      NaN,      NaN, NaN,   0,    8.750,  8,   33.968,  8
NaN, NaN,1995,05,15,12,00,      NaN,      NaN, NaN,   3,    8.727,  8,   33.970,  8
NaN, NaN,1995,06,15,12,00,      NaN,      NaN, NaN,   0,   10.837,  8,   33.986,  8
NaN, NaN,1995,06,15,12,00,      NaN,      NaN, NaN,   3,   10.676,  8,   33.989,  8
NaN, NaN,1995,07,15,12,00,      NaN,      NaN, NaN,   0,   12.378,  8,   34.014,  8
NaN, NaN,1995,07,15,12,00,      NaN,      NaN, NaN,   3,   12.284,  8,   34.017,  8
NaN, NaN,1995,08,15,12,00,      NaN,      NaN, NaN,   0,   14.278,  8,   34.042,  8
NaN, NaN,1995,08,15,12,00,      NaN,      NaN, NaN,   3,   14.055,  8,   34.043,  8
NaN, NaN,1995,09,15,12,00,      NaN,      NaN, NaN,   0,   14.073,  8,   34.069,  8
NaN, NaN,1995,09,15,12,00,      NaN,      NaN, NaN,   3,   14.056,  8,   34.070,  8
NaN, NaN,1995,10,15,12,00,      NaN,      NaN, NaN,   0,   13.689,  8,   34.043,  8
NaN, NaN,1995,10,15,12,00,      NaN,      NaN, NaN,   3,   13.692,  8,   34.044,  8
NaN, NaN,1995,11,15,12,00,      NaN,      NaN, NaN,   0,   12.732,  8,   34.042,  8
NaN, NaN,1995,11,15,12,00,      NaN,      NaN, NaN,   3,   12.737,  8,   34.042,  8
NaN, NaN,1995,12,15,12,00,      NaN,      NaN, NaN,   0,   11.013,  8,   34.175,  8
NaN, NaN,1995,12,15,12,00,      NaN,      NaN, NaN,   3,   11.021,  8,   34.175,  8
NaN, NaN,1996,01,15,12,00,      NaN,      NaN, NaN,   0,    9.179,  8,   34.473,  8
NaN, NaN,1996,01,15,12,00,      NaN,      NaN, NaN,   3,    9.183,  8,   34.473,  8
NaN, NaN,1996,02,15,12,00,      NaN,      NaN, NaN,   0,    7.808,  8,   34.533,  8
NaN, NaN,1996,02,15,12,00,      NaN,      NaN, NaN,   3,    7.813,  8,   34.533,  8
NaN, NaN,1996,03,15,12,00,      NaN,      NaN, NaN,   0,    7.150,  8,   34.507,  8
NaN, NaN,1996,03,15,12,00,      NaN,      NaN, NaN,   3,    7.149,  8,   34.508,  8
NaN, NaN,1996,04,15,12,00,      NaN,      NaN, NaN,   0,    7.396,  8,   34.595,  8
NaN, NaN,1996,04,15,12,00,      NaN,      NaN, NaN,   3,    7.389,  8,   34.596,  8
NaN, NaN,1996,05,15,12,00,      NaN,      NaN, NaN,   0,    8.397,  8,   34.558,  8
NaN, NaN,1996,05,15,12,00,      NaN,      NaN, NaN,   3,    8.359,  8,   34.559,  8
NaN, NaN,1996,06,15,12,00,      NaN,      NaN, NaN,   0,   10.110,  8,   34.540,  8
NaN, NaN,1996,06,15,12,00,      NaN,      NaN, NaN,   3,   10.027,  8,   34.541,  8
