Station Description:,M3 Marine Weather Buoy,,,
Region:,Celtic Seas,,,
Latitude:,51.22 N,,,
Longitude:,10.55 W,,,
Measurement Depth/Range:,Surface,,,
Sampling Frequency:,hourly,,,
Notes:,SB16+ sensor ,,,
Data Source: ,Marine Institute Ireland,,,
Contact Name (email):,Eoghan Daly (eoghan.daly@marine.ie),,,
Location of source datasets:,Marine Institute Ireland,,,
Data Protection:,Include on ICES website for free distribution. ,,,
Monthly Mean Statistics,,,,
Long Term Averaging Period:,2003-2020,,,
Month,Temperature °C,SD,Min,Max
0.5,11.1,0.37,10.0,12.2
1.5,10.7,0.33,9.9,11.5
2.5,10.7,0.35,9.7,11.4
3.5,11.1,0.56,10.1,13.2
4.5,12.2,0.78,10.7,14.8
5.5,14.3,1.09,11.8,17.7
6.5,15.7,1.04,13.6,18.2
7.5,16.2,0.77,13.9,18.3
8.5,15.7,0.93,13.2,17.9
9.5,14.0,0.92,11.6,16.6
10.5,12.5,0.85,10.7,14.6
11.5,11.4,0.60,10.1,12.7
Measured Data for year 2017,,,,
Month,Temperature °C,,,
0.5,11.01,,,
1.5,10.85,,,
2.5,10.65,,,
3.5,11.44,,,
4.5,12.49,,,
5.5,14.23,,,
6.5,15.34,,,
7.5,,,,
8.5,,,,
9.5,13.79,,,
10.5,13.54,,,
11.5,11.66,,,
Measured Data for year 2018,,,,
Month,Temperature °C,,,
0.5,10.86,,,
1.5,10.34,,,
2.5,,,,
3.5,11.01,,,
4.5,11.76,,,
5.5,,,,
6.5,17.64,,,
7.5,16.46,,,
8.5,15.20,,,
9.5,13.77,,,
10.5,12.70,,,
11.5,,,,
Measured Data for year 2019,,,,
Month,Temperature °C,,,
0.5,11.28,,,
1.5,10.72,,,
2.5,,,,
3.5,11.09,,,
4.5,12.33,,,
5.5,13.81,,,
6.5,16.88,,,
7.5,16.21,,,
8.5,15.67,,,
9.5,13.83,,,
10.5,11.48,,,
11.5,10.65,,,
Measured Data for year 2020,,,,
Month,Temperature °C,,,
0.5,10.59,,,
1.5,,,,
2.5,,,,
3.5,10.88,,,
4.5,12.23,,,
5.5,13.64,,,
6.5,14.76,,,
7.5,16.50,,,
8.5,15.36,,,
9.5,12.95,,,
10.5,12.24,,,
11.5,11.22,,,
Measured Data for year 2021,,,,
Month,Temperature °C,,,
0.5,10.25,,,
1.5,10.26,,,
2.5,10.63,,,
3.5,10.96,,,
4.5,11.81,,,
5.5,13.73,,,
6.5,16.40,,,
7.5,16.68,,,
8.5,16.77,,,
9.5,14.52,,,
10.5,12.45,,,
11.5,11.31,,,
Measured Data for year 2022,,,,
Month,Temperature °C,,,
0.5,11.26,,,
1.5,11.22,,,   
2.5,11.05,,,   
3.5,11.56,,,		
4.5,13.18,,,		
5.5,14.53,,,			
6.5,15.81,,,		
7.5,17.16,,,		
8.5,16.72,,,
9.5,15.07,,,
10.5,13.16,,,
11.5,11.88,,,
Measured Data for year 2023,,,,
Month,Temperature °C,,,
0.5,11.39,,,
1.5,11.22,,,
2.5,11.01,,,
3.5,11.2,,,
4.5,13.2,,,
5.5,16.69,,,
6.5,16.43,,,
7.5,16.09,,,
8.5,16.35,,,
9.5,14.45,,,
10.5,12.44,,,
11.5,11.52,,,
Measured Data for year 2024,,,,
Month,Temperature °C,,,
0.5,11.2,,,
1.5,11.22,,,
2.5,10.77,,,
3.5,11.04,,,
4.5,13.26,,,
5.5,13.85,,,
6.5,14.8,,,
7.5,16.14,,,
8.5,15.03,,,
9.5,14.22,,,
10.5,13.28,,,
11.5,12.03,,,
