Index:,13,,,
Station Description:,Malin Head Weather Station,,,
Region:,Celtic Seas,,,
Latitude:,55.37 N,,,
Longitude:,7.34 W,,,
Measurement Depth/Range:,Surface,,,
Sampling Frequency:,twice daily historically but every 30 mins since 2008,,,
Notes:,SBE39 sensor,,,
Data Source:,Marine Institute Ireland,,,
Contact Name (email):,Eoghan Daly (eoghan.daly@marine.ie),,,
Location of source datasets:,Marine Institute Ireland,,,
Data Protection:,Include on ICES website for free distribution. ,,,
Monthly Mean Statistics,,,,
Long Term Averaging Period:,1991-2020,,,
Month,Temperature °C,SD,Min,Max
0.5,7.8,0.76,6,9.5
1.5,7.4,0.75,4.8,9.2
2.5,7.6,0.83,5.3,9.7
3.5,8.6,0.92,6,12.4
4.5,10.1,0.92,7.9,13.1
5.5,12,0.93,9.6,14.4
6.5,13.9,0.94,10.7,16.3
7.5,14.9,0.69,13.2,16.6
8.5,14.5,0.74,11.8,16.2
9.5,12.8,0.88,9.6,14.7
10.5,10.7,0.98,7.5,13.3
11.5,9,0.82,6.5,11.1
Measured Data for year 2016,,,,
Month,Temperature °C,,,
0.5,8.71,,,
1.5,8.01,,,
2.5,8.18,,,
3.5,8.72,,,
4.5,10.3,,,
5.5,11.71,,,
6.5,14.42,,,
7.5,15.35,,,
8.5,15.22,,,
9.5,13.44,,,
10.5,11.25,,,
11.5,9.79,,,
Measured Data for year 2017,,,,
Month,Temperature °C,,,
0.5,8.76,,,
1.5,7.89,,,
2.5,8.27,,,
3.5,9.44,,,
4.5,11.18,,,
5.5,13.51,,,
6.5,14.51,,,
7.5,15.36,,,
8.5,14.64,,,
9.5,13.15,,,
10.5,11.13,,,
11.5,9.17,,,
Measured Data for year 2018,,,,
Month,Temperature °C,,,
0.5,7.94,,,
1.5,7.16,,,
2.5,6.38,,,
3.5,7.86,,,
4.5,10.35,,,
5.5,12.26,,,
6.5,14.28,,,
7.5,15.71,,,
8.5,14.29,,,
9.5,12.62,,,
10.5,10.51,,,
11.5,9.21,,,
Measured Data for year 2019,,,,
Month,Temperature °C,,,
0.5,8.8,,,
1.5,8.18,,,
2.5,8.52,,,
3.5,9.14,,,
4.5,10.66,,,
5.5,12.72,,,
6.5,14.74,,,
7.5,15.82,,,
8.5,15.03,,,
9.5,13.25,,,
10.5,11.01,,,
11.5,9.21,,,
Measured Data for year 2020,,,,
Month,Temperature °C,,,
0.5,8.39,,,
1.5,7.57,,,
2.5,7.59,,,
3.5,8.98,,,
4.5,10.45,,,
5.5,12.17,,,
6.5,13.73,,,
7.5,14.71,,,
8.5,14.53,,,
9.5,12.92,,,
10.5,11.17,,,
11.5,9.32,,,
Measured Data for year 2021,,,,
Month,Temperature °C,,,
0.5,7.78,,,
1.5,6.96,,,
2.5,7.84,,,
3.5,8.91,,,
4.5,10.05,,,
5.5,12.55,,,
6.5,13.53,,,
7.5,14.71,,,
8.5,14.98,,,
9.5,13.79,,,
10.5,11.98,,,
11.5,9.67,,,
Measured Data for year 2022,,,,
Month,Temperature °C,,,
0.5,8.9,,,
1.5,8.38,,,
2.5,8.45,,,
3.5,9.21,,,
4.5,11.38,,,
5.5,13.31,,,
6.5,14.72,,,
7.5,15.83,,,
8.5,15.38,,,
9.5,13.54,,,
10.5,11.93,,,
11.5,9.59,,,
Measured Data for year 2023,,,,
Month,Temperature °C,,,
0.5,8.48,,,
1.5,8.62,,,
2.5,8.54,,,
3.5,9.52,,,
4.5,11.43,,,
5.5,13.34,,,
6.5,16,,,
7.5,15.97,,,
8.5,15.62,,,
9.5,13.78,,,
10.5,11.69,,,
11.5,10.29,,,
Measured Data for year 2024,,,,
Month,Temperature °C,,,
0.5,8.94,,,
1.5,8.65,,,
2.5,8.46,,,
3.5,9.43,,,
4.5,11.02,,,
5.5,12.86,,,
6.5,14.2,,,
7.5,15.21,,,
8.5,14.45,,,
9.5,12.79,,,
10.5,11.63,,,
11.5,9.94,,,
