Station Description:,38a Oceanographic Mooring,,
Region:,Celtic Seas,,
Latitude:,53.78301 N,,
Longitude:,5.62524 W,,
Measurement Depth/Range:,Seabed,,
Long Term Averaging Period:,1996-2020,,
Long Term Mean:,10.45941377,,
Standard Deviation:,0.599231104,,
Averaging method:,,,
Notes:,,,
Data Source:,AFBI Northern Ireland,,
Contact Name (email):,Billy Hunter (billy.hunter@afbini.gov.uk),,
Location of source datasets:,AFBI Northern Ireland,,
Data Protection:,Include on ICES website for free distribution.,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C
1996,9.06,-1.4,-2.34
1997,10.44,-0.02,-0.04
1998,10.67,0.21,0.35
1999,11.2,0.75,1.24
2000,10.79,0.33,0.56
2001,10.02,-0.44,-0.74
2002,10.47,0.01,0.02
2003,10.62,0.16,0.27
2004,10.55,0.09,0.15
2005,10.32,-0.14,-0.23
2006,10.83,0.37,0.62
2007,11.01,0.55,0.92
2008,10.57,0.11,0.18
2009,10.49,0.03,0.05
2010,9.89,-0.57,-0.96
2011,10.52,0.06,0.1
2012,11.87,1.41,2.36
2013,9.69,-0.77,-1.28
2014,9.32,-1.14,-1.9
2015,9.97,-0.49,-0.81
2016,10.77,0.31,0.52
2017,10.83,0.37,0.62
2018,9.96,-0.5,-0.83
2019,10.99,0.53,0.89
2020,10.61,0.15,0.25
2021,10.44,-0.02,-0.03
2022,11.14,0.69,
2023,10.48,0.03,
