Station Description:,38a Oceanographic Mooring,,
Region:,Celtic Seas,,
Latitude:,53.78301 N,,
Longitude:,5.62524 W,,
Measurement Depth/Range:,Surface,,
Long Term Averaging Period:,1996-2020,,
Long Term Mean:,11.76818385,,
Standard Deviation:,0.307967541,,
Averaging method:,,,
Notes:,,,
Data Source:,AFBI Northern Ireland,,
Contact Name (email):,Billy Hunter (billy.hunter@afbini.gov.uk),,
Location of source datasets:,AFBI Northern Ireland,,
Data Protection:,Include on ICES website for free distribution.,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C
1996,11.85,0.08,0.26
1997,11.81,0.04,0.13
1998,11.81,0.04,0.14
1999,11.78,0.01,0.05
2000,12.2,0.43,1.4
2001,11.54,-0.23,-0.75
2002,11.83,0.07,0.21
2003,11.88,0.11,0.36
2004,11.96,0.2,0.64
2005,11.9,0.14,0.44
2006,12.46,0.7,2.26
2007,11.71,-0.06,-0.18
2008,11.52,-0.25,-0.8
2009,11.4,-0.37,-1.21
2010,11.46,-0.31,-0.99
2011,11.55,-0.22,-0.72
2012,11.55,-0.22,-0.72
2013,11.11,-0.66,-2.14
2014,12.18,0.41,1.34
2015,11.33,-0.44,-1.43
2016,11.99,0.22,0.72
2017,12.12,0.35,1.14
2018,11.64,-0.13,-0.41
2019,12.01,0.25,0.8
2020,11.6,-0.17,-0.54
2021,12.31,0.54,1.75
2022,12.52,0.75,
2023,12.93,1.16,
