Index:,31,,,,,
Station Description:,Fair Isle Current Water (Waters entering North Sea from Atlantic),,,,,
Region:,North Sea,,,,,
Latitude:,59 N,,,,,
Longitude:,2 W,,,,,
Measurement Depth/Range:,0-100 m,,,,,
"Area:,""LINESTRING(-2.233 59.283, -1.933 59.283)"",,,,,"
Spatial Coverage:,Data are collected from the first two standard stations on the JONSIS line,,,,,
Vertical Coverage:,Average over the depth range,,,,,
Temporal Coverage:,Sampling typically occurs 3 times a year  (April/May then  Sep/Oct and Dec) however periods with higher or lower temporal coverage exist.,,,,,
Seasonal Cycle:,Seasonal cycle of temperature is described for each depth level and removed.,,,,,
Reference:,The Scottish Ocean Climate Status Report. Hughes S.L. (ed.) Marine Scotland Report.,,,,,
Notes:,Mean T and S in first two stations on Jonsis Line,,,,,
Data Source:,MSS - Marine Scotland Science - Aberdeen - UK,,,,,
Contact Name (email):,Bee Berx (b.berx@marlab.ac.uk),,,,,
Location of source datasets:,MSS - Marine Scotland Science - Aberdeen - UK,,,,,
Data Protection:,Include on ICES website for free distribution.,,,,,
Long Term Averaging Period:,1991-2020,1991-2020,,,,
Long Term Mean:,10.148,34.870,,,,
Decimal Year,Temperature °C,Temperature Anomaly °C,Salinity,Salinity Anomaly
  1960.464,     7.33,    -0.38,   35.179,   -0.102
  1960.724,     7.88,    -1.30,   35.290,   -0.035
  1960.790,     9.50,     0.64,   35.316,    0.049
  1960.954,     8.59,    -0.34,   35.202,    0.001
  1961.274,     6.97,    -0.23,   35.118,   -0.111
  1961.444,     7.87,    -0.59,   35.057,   -0.214
  1961.458,     7.01,     0.29,   35.129,   -0.074
  1964.738,     8.80,    -0.72,   35.301,   -0.023
  1968.492,     6.61,    -0.77,   35.329,    0.101
  1969.482,     6.61,    -0.92,   35.216,   -0.022
  1970.477,     6.37,    -0.76,   35.278,    0.045
  1970.759,    10.15,     0.70,   35.278,   -0.030
  1970.805,     8.28,    -0.50,   35.274,    0.020
  1971.436,     7.18,    -0.11,   35.271,    0.031
  1972.115,     6.99,    -0.34,   35.236,    0.019
  1972.391,     7.04,    -0.61,   35.266,   -0.001
  1972.508,     7.16,    -0.46,   35.268,    0.046
  1972.754,     9.04,     0.28,   35.240,   -0.039
  1973.329,     7.07,    -0.25,   35.214,   -0.031
  1973.433,     7.39,    -0.01,   35.210,   -0.035
  1973.860,     8.76,    -0.21,   35.210,   -0.015
  1974.090,     7.06,    -0.38,   35.224,    0.006
  1974.510,     7.60,     0.13,   35.204,   -0.016
  1974.622,     9.00,     0.01,   35.249,   -0.028
  1975.137,     7.11,    -0.11,   35.163,   -0.041
  1975.315,     6.53,    -0.63,   35.200,   -0.038
  1975.340,     6.70,    -0.54,   35.205,   -0.023
  1975.496,     6.96,    -0.42,   35.176,   -0.050
  1975.501,     7.21,    -0.35,   35.205,   -0.022
  1975.858,     9.56,     0.19,   35.162,   -0.069
  1975.967,     8.29,    -0.43,   35.195,    0.012
  1976.208,     6.27,    -0.54,   35.185,   -0.018
  1976.402,     6.38,    -0.53,   35.103,   -0.086
  1976.568,     7.64,     0.05,   35.155,   -0.045
  1976.648,     7.71,    -0.38,   35.162,   -0.081
  1977.153,     6.45,    -0.87,   35.140,   -0.041
  1977.195,     6.39,    -0.66,   35.161,   -0.028
  1977.422,     6.62,    -0.69,   35.192,   -0.044
  1977.496,     6.59,    -0.79,   35.175,   -0.051
  1977.534,     6.45,    -0.51,   35.136,   -0.050
  1977.616,     7.38,    -0.73,   35.152,   -0.082
  1977.945,     8.26,    -0.69,   35.122,   -0.070
  1977.959,     8.28,    -0.50,   35.086,   -0.096
  1978.444,     6.54,    -0.82,   35.104,   -0.140
  1978.548,     6.54,    -0.80,   35.008,   -0.185
  1978.641,     7.03,    -1.08,   35.162,   -0.085
