Station Description:,Modelled North Sea Inflow,,
Region:,8&9,,
Latitude:,59 N,,
Longitude:,1 E,,
Measurement Depth/Range:,Depth Averaged,,
Long Term Averaging Period:,1985-2010,,
Long Term Mean:,-1.2020,1.5224,0.3205
Standard Deviation:,0.1149,0.1371,0.0310
Averaging method:,Annual Mean Modelled Volume Transport between Orkney - Scotland and Utsira - Norway ,,
Notes:,Modelled Volume Transport between Orkney - Scotland and Utsira - Norway (-Inflow is flow in a southwards direction. +Outflow is flow in a northward direction, +NetFlow is flow in a northward direction) Units Svedrup 10^6m^3/s,
Data Source:,IMR - Institute of Marine Research - Norway,,
Contact Name (email):,Jon Albretsen (jon.albretsen@imr.no),,
Location of source datasets:,IMR - Institute of Marine Research - Norway,,
Data Protection:,Include on ICES website for free distribution.,,
Year,Inflow (Sv),Outflow (Sv),Net Flow (Sv)
1985,-1.164,1.492,0.328
1986,-1.345,1.694,0.349
1987,-1.167,1.481,0.314
1988,-1.278,1.603,0.325
1989,-1.459,1.784,0.325
1990,-1.460,1.798,0.338
1991,-1.336,1.679,0.343
1992,-1.360,1.711,0.351
1993,-1.348,1.689,0.341
1994,-1.344,1.705,0.361
1995,-1.230,1.566,0.336
1996,-1.147,1.488,0.341
1997,-1.232,1.578,0.346
1998,-1.250,1.589,0.339
1999,-1.262,1.610,0.348
2000,-1.233,1.603,0.370
2001,-1.145,1.473,0.329
2002,-1.237,1.597,0.360
2003,-1.262,1.568,0.306
2004,-1.283,1.607,0.324
2005,-1.322,1.638,0.316
2006,-1.343,1.694,0.351
2007,-1.091,1.335,0.244
2008,-1.061,1.344,0.283
2009,-1.125,1.399,0.274
2010,-0.935,1.202,0.267
2011,-1.323,1.638,0.314
2012,-1.001,1.304,0.303
2013,-1.148,1.452,0.304
2014,-1.124,1.472,0.349
2015,-1.258,1.585,0.327
2016,-1.036,1.331,0.295
2017,-1.177,1.468,0.291
2018,-1.137,1.448,0.311
2019,-1.044,1.336,0.292
2020,-1.267,1.567,0.301
2021,-1.079,1.349,0.270
