Station Description:,North Sea Utsira A,,,,,
Region:,8&9,,,,,
Latitude:,59 N,,,,,
Longitude:,0.5 E,,,,,
Measurement Depth/Range:,Nearbed,,,,,
Long Term Averaging Period:,1991-2020,1991-2020,,,,
Long Term Mean:,6.91,35.224,,,,
Standard Deviation:,0.51,0.068,,,,
Averaging Method:,,,,,,
Notes:,Nearbed temperature minimum and salinity at northwestern part of the north sea.,,,,,
Data Source:,IMR - Institute of Marine Research - Norway,,,,,
Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,,,,
Location of source datasets:,IMR - Institute of Marine Research - Norway,,,,,
Data Protection:,Include on ICES website for free distribution.,,,,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C,Salinity,Salinity Anomaly,Salinity Anomaly Normalised
1970,5.90,-1.01,-1.98,35.230,0.007,0.096
1971,6.70,-0.21,-0.41,35.250,0.027,0.391
1972,6.75,-0.16,-0.31,35.280,0.057,0.834
1973,6.95,0.04,0.08,35.140,-0.083,-1.232
1974,6.60,-0.31,-0.61,35.200,-0.023,-0.347
1975,6.60,-0.31,-0.61,35.140,-0.083,-1.232
1976,6.20,-0.71,-1.39,35.000,-0.223,-3.298
1977,6.30,-0.61,-1.20,35.170,-0.053,-0.789
1978,6.30,-0.61,-1.20,35.180,-0.043,-0.642
1979,5.95,-0.96,-1.88,35.155,-0.068,-1.011
1980,,,,,,
1981,6.25,-0.66,-1.29,35.180,-0.043,-0.642
1982,6.55,-0.36,-0.71,35.145,-0.078,-1.158
1983,6.65,-0.26,-0.51,35.195,-0.028,-0.421
1984,6.05,-0.86,-1.69,35.320,0.097,1.424
1985,6.55,-0.36,-0.71,35.245,0.022,0.317
1986,6.04,-0.87,-1.71,35.135,-0.088,-1.306
1987,5.97,-0.94,-1.85,35.191,-0.032,-0.480
1988,6.61,-0.30,-0.59,35.170,-0.053,-0.789
1989,7.42,0.51,0.99,35.215,-0.008,-0.125
1990,7.41,0.50,0.99,35.236,0.013,0.184
1991,7.10,0.19,0.37,35.241,0.018,0.258
1992,7.12,0.21,0.41,35.253,0.030,0.435
1993,6.52,-0.39,-0.77,35.157,-0.066,-0.981
1994,5.81,-1.10,-2.15,35.105,-0.118,-1.748
1995,6.53,-0.38,-0.75,35.205,-0.018,-0.273
1996,6.03,-0.88,-1.73,35.149,-0.074,-1.099
1997,7.13,0.22,0.43,35.191,-0.032,-0.480
1998,7.14,0.23,0.45,35.335,0.112,1.645
1999,7.34,0.43,0.84,35.313,0.090,1.321
2000,6.80,-0.11,-0.22,35.210,-0.013,-0.199
2001,6.61,-0.30,-0.59,35.189,-0.034,-0.509
2002,6.96,0.05,0.09,35.175,-0.048,-0.716
2003,7.06,0.15,0.30,35.188,-0.035,-0.524
2004,7.56,0.65,1.28,35.327,0.104,1.527
2005,7.03,0.12,0.24,35.313,0.090,1.321
2006,6.80,-0.11,-0.22,35.294,0.071,1.040
2007,7.31,0.40,0.78,35.233,0.010,0.140
2008,6.83,-0.08,-0.15,35.247,0.024,0.347
2009,7.28,0.37,0.73,35.315,0.092,1.350
2010,6.71,-0.20,-0.39,35.248,0.025,0.361
2011,6.39,-0.52,-1.02,35.269,0.046,0.671
2012,7.56,0.65,1.28,35.328,0.105,1.542
2013,6.03,-0.88,-1.72,35.256,0.033,0.480
2014,6.94,0.03,0.06,35.124,-0.099,-1.468
2015,7.27,0.36,0.71,35.222,-0.001,-0.022
2016,7.12,0.21,0.40,35.225,0.002,0.022
2017,7.64,0.73,1.43,35.124,-0.099,-1.468
2018,5.80,-1.11,-2.18,35.170,-0.053,-0.789
2019,7.45,0.54,1.06,35.160,-0.063,-0.937
2020,7.43,0.52,1.02,35.139,-0.084,-1.247
2021,6.84,-0.07,-0.13,35.028,-0.195,-2.885
2022,7.12,0.21,0.42,35.151,-0.072,-1.070
2023,7.44,0.53,1.05,35.144,-0.079,-1.173
2024,7.01,0.10,0.19,35.148,-0.075,-1.114
