Station Description:,North Sea Utsira B,,,,,
Region:,8&9,,,,,
Latitude:,59 N,,,,,
Longitude:,4 E,,,,,
Measurement Depth/Range:,,,,,,
Long Term Averaging Period:,1991-2020,1991-2020,,,,
Long Term Mean:,8.34,35.332,,,,
Standard Deviation:,0.57,0.048,,,,
Averaging Method:,,,,,,
Notes:,High salinity core of Atlantic Water at western edge of Norwegian Trench.,,,,,
Data Source:,IMR - Institute of Marine Research - Norway,,,,,
Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,,,,
Location of source datasets:,IMR - Institute of Marine Research - Norway,,,,,
Data Protection:,Include on ICES website for free distribution.,,,,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C,Salinity,Salinity Anomaly,Salinity Anomaly Normalised
1970,7.30,-1.04,-1.82,35.300,-0.032,-0.657
1971,8.15,-0.19,-0.33,35.345,0.013,0.271
1972,7.95,-0.39,-0.68,35.200,-0.132,-2.719
1973,7.90,-0.44,-0.77,35.290,-0.042,-0.863
1974,8.35,0.01,0.02,35.310,-0.022,-0.451
1975,7.70,-0.64,-1.12,35.220,-0.112,-2.307
1976,6.95,-1.39,-2.43,35.000,-0.332,-6.843
1977,7.90,-0.44,-0.77,35.200,-0.132,-2.719
1978,7.45,-0.89,-1.56,35.290,-0.042,-0.863
1979,7.45,-0.89,-1.56,35.280,-0.052,-1.070
1980,8.05,-0.29,-0.51,35.300,-0.032,-0.657
1981,8.75,0.41,0.72,35.320,-0.012,-0.245
1982,8.35,0.01,0.02,35.330,-0.002,-0.038
1983,8.15,-0.19,-0.33,35.260,-0.072,-1.482
1984,8.25,-0.09,-0.15,35.400,0.068,1.405
1985,8.15,-0.19,-0.33,35.350,0.018,0.374
1986,8.32,-0.02,-0.03,35.318,-0.014,-0.286
1987,7.85,-0.49,-0.86,35.293,-0.039,-0.801
1988,8.19,-0.15,-0.27,35.298,-0.034,-0.698
1989,8.23,-0.11,-0.19,35.337,0.005,0.106
1990,8.30,-0.04,-0.07,35.365,0.033,0.683
1991,7.85,-0.49,-0.86,35.332,0.000,0.003
1992,8.01,-0.33,-0.57,35.360,0.028,0.580
1993,7.54,-0.80,-1.41,35.294,-0.038,-0.781
1994,7.21,-1.13,-1.98,35.251,-0.081,-1.668
1995,7.45,-0.89,-1.55,35.298,-0.034,-0.698
1996,8.44,0.10,0.18,35.300,-0.032,-0.657
1997,8.17,-0.17,-0.30,35.341,0.009,0.188
1998,8.30,-0.04,-0.06,35.429,0.097,2.003
1999,8.66,0.32,0.57,35.325,-0.007,-0.142
2000,7.98,-0.36,-0.63,35.320,-0.012,-0.245
2001,8.18,-0.16,-0.28,35.295,-0.037,-0.760
2002,9.49,1.15,2.01,35.372,0.040,0.828
2003,9.48,1.14,2.00,35.410,0.078,1.611
2004,9.12,0.78,1.37,35.360,0.028,0.580
2005,9.03,0.69,1.21,35.376,0.044,0.910
2006,7.91,-0.43,-0.75,35.372,0.040,0.828
2007,8.63,0.29,0.50,35.339,0.007,0.147
2008,8.32,-0.02,-0.03,35.349,0.017,0.353
2009,7.84,-0.50,-0.87,35.307,-0.025,-0.513
2010,8.85,0.51,0.89,35.374,0.042,0.869
2011,8.56,0.22,0.39,35.389,0.057,1.178
2012,8.52,0.18,0.32,35.399,0.067,1.384
2013,7.58,-0.76,-1.34,35.347,0.015,0.312
2014,8.92,0.58,1.02,35.327,-0.005,-0.100
2015,8.31,-0.03,-0.05,35.351,0.019,0.395
2016,7.93,-0.41,-0.72,35.261,-0.071,-1.461
2017,8.48,0.14,0.25,35.276,-0.056,-1.152
2018,8.41,0.07,0.13,35.230,-0.102,-2.101
2019,8.92,0.58,1.02,35.298,-0.034,-0.698
2020,8.06,-0.28,-0.48,35.274,-0.058,-1.193
2021,8.52,0.18,0.31,35.295,-0.037,-0.760
2022,8.38,0.05,0.08,35.299,-0.033,-0.678
2023,8.83,0.49,0.85,35.290,-0.042,-0.863
2024,8.72,0.38,0.67,35.357,0.025,0.518
