# Index:,NWES_015,,,,,
# Station Description:,Central Skagerrak,,,,,
# Region Code:,NWES,,,,,
# Latitude:,57.933 N,,,,,
# Longitude:,9.450 E,,,,,
# Detailed Location (WKT):,,,,,,
# Measurement Depth/Range:,Deep-water,,,,,
# Sampling Frequency:,monthly,,,,,
# Long Term Averaging Period:,1991-2020,,,,,
# Long Term Mean:,7.287,35.095,,,,
# Long Term Standard Deviation:,0.845,0.121,,,,
# Calculation Methodology:,,,,,,
# Data Source:,IMR - Institute of Marine Research - Norway,,,,,
# Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,,,,
# Notes:,"Skagerrak deep-water (100-200m) properties (Atlantic inflow north of Jutland)",,,,,
# Reference:,,,,,,
# DOI:,,,,,,
# Website:,,,,,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C,Salinity,Salinity Anomaly,Salinity Anomaly Normalised
1952,,,,,,
1953,,,,,,
1954,,,,,,
1955,,,,,,
1956,,,,,,
1957,,,,,,
1958,,,,,,
1959,7.203,-0.094,-0.112,35.133,0.036,0.297
1960,7.073,-0.224,-0.265,35.084,-0.014,-0.112
1961,,,,,,
1962,,,,,,
1963,5.120,-2.178,-2.578,35.012,-0.085,-0.706
1964,,,,,,
1965,6.835,-0.463,-0.548,35.118,0.020,0.169
1966,6.339,-0.958,-1.135,35.054,-0.044,-0.364
1967,7.118,-0.180,-0.213,35.070,-0.027,-0.225
1968,6.429,-0.869,-1.028,35.135,0.038,0.313
1969,,,,,,
1970,6.079,-1.218,-1.443,35.088,-0.009,-0.078
1971,6.971,-0.326,-0.387,35.148,0.051,0.421
1972,6.981,-0.316,-0.374,35.062,-0.035,-0.291
1973,7.210,-0.088,-0.104,35.119,0.021,0.175
1974,6.764,-0.534,-0.632,35.111,0.014,0.113
1975,7.300,0.003,0.003,35.110,0.013,0.104
1976,6.763,-0.535,-0.633,35.063,-0.034,-0.285
1977,6.289,-1.008,-1.194,34.954,-0.144,-1.189
1978,6.679,-0.618,-0.732,34.944,-0.154,-1.271
1979,5.917,-1.380,-1.634,34.934,-0.164,-1.355
1980,5.984,-1.313,-1.555,34.869,-0.228,-1.890
1981,6.501,-0.797,-0.943,35.015,-0.082,-0.680
1982,6.418,-0.879,-1.041,34.997,-0.100,-0.828
1983,7.195,-0.102,-0.121,35.078,-0.020,-0.165
1984,6.691,-0.607,-0.718,35.024,-0.074,-0.609
1985,6.528,-0.770,-0.912,35.076,-0.021,-0.176
1986,6.146,-1.152,-1.364,35.050,-0.047,-0.390
1987,,,,,,
1988,6.848,-0.449,-0.532,34.926,-0.172,-1.422
1989,7.854,0.557,0.659,35.091,-0.007,-0.055
1990,7.801,0.504,0.596,35.116,0.018,0.152
1991,7.513,0.215,0.255,35.160,0.063,0.519
1992,7.755,0.458,0.542,35.145,0.048,0.394
1993,6.872,-0.426,-0.504,35.132,0.034,0.286
1994,6.403,-0.894,-1.059,34.936,-0.161,-1.336
1995,6.999,-0.299,-0.353,35.116,0.018,0.152
1996,6.716,-0.581,-0.688,35.015,-0.082,-0.681
1997,7.273,-0.024,-0.029,35.125,0.028,0.229
1998,7.340,0.042,0.050,35.087,-0.011,-0.087
1999,7.105,-0.192,-0.228,35.105,0.008,0.065
2000,7.151,-0.146,-0.173,35.100,0.002,0.018
2001,6.801,-0.496,-0.587,35.046,-0.052,-0.430
2002,7.423,0.126,0.149,35.085,-0.012,-0.102
2003,7.434,0.137,0.162,35.124,0.027,0.220
2004,7.574,0.276,0.327,35.129,0.032,0.263
2005,7.446,0.148,0.176,35.246,0.148,1.228
2006,6.944,-0.354,-0.419,35.153,0.055,0.457
2007,7.846,0.548,0.649,35.114,0.017,0.137
2008,7.542,0.244,0.289,35.128,0.030,0.250
2009,7.343,0.046,0.054,35.139,0.042,0.346
2010,7.011,-0.287,-0.340,35.106,0.008,0.067
2011,6.658,-0.640,-0.757,35.106,0.008,0.068
2012,7.662,0.364,0.431,35.125,0.027,0.226
2013,6.720,-0.577,-0.683,35.109,0.012,0.096
2014,7.535,0.238,0.282,35.064,-0.034,-0.278
2015,7.813,0.516,0.611,35.053,-0.044,-0.368
2016,7.759,0.462,0.547,35.098,0.001,0.007
2017,8.005,0.708,0.838,35.092,-0.006,-0.047
2018,7.118,-0.180,-0.213,35.019,-0.078,-0.647
2019,7.425,0.127,0.151,34.997,-0.100,-0.828
2020,7.739,0.441,0.522,35.070,-0.027,-0.223
2021,,,,,,
2022,7.730,0.432,0.512,35.060,-0.037,-0.309
2023,8.022,0.724,0.858,34.994,-0.103,-0.853
2024,7.635,0.337,0.399,34.988,-0.109,-0.905
2025,8.175,0.877,1.039,35.102,0.004,0.036
