# Index:,NWES_015,
# Station Description:,Central Skagerrak,
# Region Code:,NWES,
# Latitude:,57.933 N,
# Longitude:,9.450 E,
# Detailed Location (WKT):,,
# Measurement Depth/Range:,Deep-water,
# Sampling Frequency:,monthly,
# Data Source:,IMR - Institute of Marine Research - Norway,
# Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),
# Notes:,"Skagerrak deep-water (100-200m) properties (Atlantic inflow north of Jutland",
# Reference:,,
# DOI:,,
# Website:,,
Decimal Year,Temperature °C,Salinity
1952.0417,6.810,34.905
1952.1250,,
1952.2083,,
1952.2917,,
1952.3750,5.940,35.100
1952.4583,,
1952.5417,,
1952.6250,6.850,34.840
1952.7083,,
1952.7917,,
1952.8750,8.380,34.990
1952.9583,,
1953.0417,,
1953.1250,6.850,34.990
1953.2083,6.245,35.080
1953.2917,,
1953.3750,6.515,34.975
1953.4583,,
1953.5417,,
1953.6250,,
1953.7083,,
1953.7917,,
1953.8750,7.920,35.050
1953.9583,,
1954.0417,,
1954.1250,,
1954.2083,,
1954.2917,,
1954.3750,,
1954.4583,,
1954.5417,,
1954.6250,6.985,35.055
1954.7083,,
1954.7917,7.295,35.060
1954.8750,8.560,34.740
1954.9583,,
1955.0417,7.705,35.165
1955.1250,,
1955.2083,,
1955.2917,5.930,34.850
1955.3750,,
1955.4583,6.235,35.140
1955.5417,,
1955.6250,6.650,34.990
1955.7083,,
1955.7917,,
1955.8750,,
1955.9583,,
1956.0417,,
1956.1250,6.350,34.700
1956.2083,,
1956.2917,,
1956.3750,,
1956.4583,5.520,35.100
1956.5417,,
1956.6250,5.930,35.120
1956.7083,6.340,35.230
1956.7917,,
1956.8750,,
1956.9583,7.910,34.700
1957.0417,7.040,34.720
1957.1250,,
1957.2083,6.190,35.190
1957.2917,,
1957.3750,,
1957.4583,,
1957.5417,,
1957.6250,,
1957.7083,7.600,35.140
1957.7917,,
1957.8750,,
1957.9583,,
1958.0417,,
1958.1250,,
1958.2083,4.035,34.875
1958.2917,6.460,35.090
1958.3750,5.293,35.070
1958.4583,5.680,35.190
1958.5417,,
1958.6250,,
1958.7083,,
1958.7917,,
1958.8750,7.110,35.120
1958.9583,,
1959.0417,6.740,34.950
1959.1250,,
1959.2083,,
