# Index:,NWES_017,,,,,
# Station Description:,Cooled Atlantic Water (Atlantic Water below the seasonal thermocline in central Northern North Sea),,,,,
# Region Code:,NWES,,,,,
# Latitude:,59 N,,,,,
# Longitude:,0.5 W,,,,,
# Detailed Location (WKT):,"LINESTRING(-1.332 59.283,  0.000 59.283)",,,,,
# Measurement Depth/Range:,50-100 m,,,,,
# Sampling Frequency:,,,,,,
# Long Term Averaging Period:,1991-2020,1991-2020,,,,
# Long Term Mean:,8.44,35.234,,,,
# Long Term Standard Deviation:,0.48,0.070,,,,
# Calculation Methodology:,"Annual data is extracted from filtered dataset using 2 year running mean,: The mean temperature and salinity at all standard pressures below 50 dbar,Average over the depth range,Sampling typically occurs 3 times a year  (April/May then  Sep/Oct and Dec) however periods with higher or lower temporal coverage exist.",,,,,
# Data Source:,SGMD - Scottish Government Marine Directorate - Aberdeen - UK,,,,,
# Contact Name (email):,Bee Berx & Berit Rabe (MD.Oceanography@gov.scot),,,,,
# Notes:,"Mean T and S close to the seabed at the eastern end of the Jonsis Line",,,,,
# Reference:,"Hughes et al. (2018) The Scottish Ocean Climate Status Report. doi:10.7489/12086-1",,,,,
# DOI:,,,,,,
# Website:,,,,,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised,Salinity,Salinity Anomaly,Salinity Anomaly Normalised 
1960,8.17,-0.27,-0.57,35.165,-0.069,-0.985
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,,,,,,
1965,,,,,,
1966,,,,,,
1967,,,,,,
1968,7.60,-0.84,-1.76,35.274,0.040,0.563
1969,7.61,-0.84,-1.74,35.246,0.012,0.165
1970,8.28,-0.17,-0.35,35.251,0.016,0.233
1971,8.27,-0.17,-0.36,35.242,0.008,0.108
1972,8.21,-0.23,-0.49,35.227,-0.007,-0.099
1973,8.27,-0.17,-0.36,35.223,-0.011,-0.162
1974,8.18,-0.27,-0.56,35.209,-0.026,-0.364
1975,8.15,-0.29,-0.60,35.200,-0.035,-0.490
1976,7.99,-0.45,-0.94,35.191,-0.043,-0.612
1977,7.84,-0.60,-1.25,35.168,-0.066,-0.940
1978,7.65,-0.80,-1.66,35.133,-0.102,-1.442
1979,7.65,-0.79,-1.65,35.131,-0.104,-1.470
1980,7.70,-0.74,-1.54,35.180,-0.054,-0.772
1981,7.72,-0.72,-1.50,35.214,-0.020,-0.288
1982,7.99,-0.46,-0.95,35.220,-0.014,-0.202
1983,8.04,-0.40,-0.84,35.256,0.022,0.309
1984,7.97,-0.47,-0.98,35.270,0.036,0.507
1985,7.96,-0.48,-1.00,35.243,0.008,0.116
1986,7.91,-0.53,-1.11,35.209,-0.026,-0.367
1987,8.15,-0.29,-0.61,35.186,-0.048,-0.685
1988,8.49,0.05,0.10,35.203,-0.032,-0.450
1989,8.70,0.26,0.53,35.233,-0.001,-0.018
1990,8.64,0.19,0.40,35.248,0.014,0.192
1991,8.31,-0.13,-0.28,35.239,0.005,0.068
1992,8.12,-0.33,-0.68,35.237,0.003,0.038
1993,7.74,-0.70,-1.45,35.220,-0.014,-0.204
1994,7.52,-0.93,-1.93,35.197,-0.037,-0.529
1995,8.12,-0.33,-0.68,35.176,-0.058,-0.829
1996,8.06,-0.38,-0.79,35.179,-0.056,-0.788
1997,8.23,-0.21,-0.44,35.192,-0.042,-0.600
1998,8.44,-0.00,-0.00,35.263,0.028,0.400
1999,8.28,-0.17,-0.34,35.261,0.026,0.373
2000,8.23,-0.21,-0.44,35.216,-0.019,-0.266
2001,8.32,-0.13,-0.26,35.186,-0.048,-0.686
2002,8.48,0.03,0.07,35.203,-0.032,-0.452
2003,8.67,0.23,0.48,35.257,0.023,0.322
2004,8.79,0.35,0.72,35.313,0.078,1.113
2005,8.59,0.14,0.30,35.324,0.090,1.274
2006,8.43,-0.01,-0.02,35.293,0.059,0.835
2007,8.48,0.04,0.07,35.274,0.040,0.565
2008,8.42,-0.02,-0.05,35.295,0.061,0.863
2009,8.46,0.02,0.03,35.307,0.073,1.036
2010,8.54,0.10,0.21,35.292,0.057,0.816
2011,8.81,0.37,0.77,35.303,0.069,0.976
2012,8.81,0.37,0.77,35.299,0.064,0.914
2013,8.26,-0.18,-0.38,35.217,-0.017,-0.248
2014,8.37,-0.07,-0.15,35.196,-0.039,-0.548
2015,8.57,0.13,0.27,35.223,-0.011,-0.155
2016,8.88,0.44,0.91,35.194,-0.040,-0.570
2017,8.82,0.38,0.79,35.163,-0.072,-1.020
2018,8.71,0.27,0.56,35.156,-0.079,-1.116
2019,8.71,0.27,0.56,35.160,-0.074,-1.053
2020,8.43,-0.01,-0.02,35.161,-0.073,-1.036
2021,8.47,0.03,0.06,35.135,-0.099,-1.410
2022,8.82,0.37,0.78,35.156,-0.079,-1.116
2023,8.74,0.29,0.61,35.161,-0.073,-1.039
2024,8.45,0.01,0.02,35.185,-0.050,-0.707
