Index:,33,,,,,,, 
Station Description:,North Sea - Helgoland Roads,,,,,,, 
Region:,North Sea,,,,,,, 
Latitude:,54.1833 N,,,,,,, 
Longitude:,7.9 E,,,,,,, 
Measurement Depth/Range:,Surface,,,,,,, 
Long Term Averaging Period:,1991-2020,1991-2020,,,,,, 
Long Term Mean:,10.68,32.387,,,,,, 
Standard Deviation:,0.67,0.409,,,,,, 
Spatial Coverage:,Point measurement from bucket samples,,,,,,, 
Vertical Coverage:,surface,,,,,,, 
Temporal Coverage:,original data is work-daily - weather permitting,,,,,,, 
Averaging Method:,monthly means of work-daily data,,,,,,, 
Seasonal Cycle:,Seasonal cycle has not been removed.,,,,,,, 
Reference:,Wiltshire et al. (2010) - https://doi.org/10.1007/s12237-009-9228-y; de Amorim et al. (2023) - https://doi.org/10.1016/j.pocean.2023.103080,,,,,,, 
Notes:,Data processing (source data) by AWI (inga.kirstein@awi.de) and monthly means by BSH (manuela.koellner@bsh.de). Data from the 1950s partly stem from various sources and stations nearby. They are merged with HR data via correlation analysis done by BSH,,,,,,, 
Data Source:,Alfred-Wegener-Institut (AWI) - Helmholtz-Zentrum für Polar- und Meeresforschung,,,,,,, 
Contact Name (email):,Inga Kirstein (inga.kirstein@awi.de),,,,,,, 
Location of source datasets:,Alfred-Wegener-Institut (AWI) - Helmholtz-Zentrum für Polar- und Meeresforschung,,,,,,, 
Data Protection:,Include on ICES website for free distribution.,,,,,,, 
Monthly Mean Statistics,,,,,,,, 
Month,Temperature °C,SD,Min,Max,Salinity,SD,Min,Max 
0.5,5.37,0.93,3.15,7.52,32.754,0.796,30.676,33.971
1.5,4.31,1.19,0.72,6.21,32.429,1.048,29.790,34.075
2.5,4.63,1.32,0.81,6.69,32.305,1.061,28.820,34.069
3.5,6.67,1.21,3.63,9.03,31.840,1.052,28.893,33.469
4.5,9.72,0.89,7.21,11.63,32.038,0.639,30.026,32.944
5.5,13.38,0.79,11.28,14.81,31.989,0.810,29.943,33.519
6.5,16.35,0.73,14.33,17.57,31.980,0.761,29.429,33.742
7.5,17.79,0.66,16.29,18.93,32.211,0.489,31.263,33.526
8.5,16.95,0.78,15.29,18.79,32.428,0.529,31.286,33.568
9.5,14.26,0.88,12.70,16.30,32.766,0.607,31.277,33.578
10.5,10.96,1.00,8.78,13.17,32.934,0.729,31.010,33.798
