Index:,33,,,,,
Station Description:,North Sea - Helgoland Roads,,,,,
Region:,North Sea,,,,,
Latitude:,54.1833 N,,,,,
Longitude:,7.9 E,,,,,
Measurement Depth/Range:,Surface,,,,,
Long Term Averaging Period:,1991-2020,1991-2020,,,,
Long Term Mean:,10.68,32.387,,,,
Standard Deviation:,0.67,0.409,,,,
Spatial Coverage:,Point measurement from bucket sample,,,,,
Vertical Coverage:,surface,,,,,
Temporal Coverage:,original data is work-daily, weather permitting,,,,,
Averaging Method:,Average of monthly means,,,,,
Seasonal Cycle:,Seasonal cycle has not been removed.,,,,,
Reference:,""Wiltshire, K. H, et al. (2010), Helgoland roads, North Sea: 45 years of change. Estuaries and Coasts, 33, 295-310,https://doi.org/10.1007/s12237-009-9228-y"",,,,,
Notes:,""Data processing (monthly means) by BSH (manuela.koellner@bsh.de). Data from the 1950s partly stem from various sources and stations nearby, merged with HR data via correlation analysis done by BSH"",,,,,
Data Source:,Alfred-Wegener-Institut (AWI) - Helmholtz-Zentrum für Polar- und Meeresforschung,,,,,
Contact Name (email):,Inga Kirstein (inga.kirstein@awi.de),,,,,
Location of source datasets:,Alfred-Wegener-Institut (AWI) - Helmholtz-Zentrum für Polar- und Meeresforschung,,,,,
Data Protection:,Include on ICES website for free distribution.,,,,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C,Salinity,Salinity Anomaly,Salinity Anomaly Normalised
1950,10.30,-0.38,-0.57,32.796,0.409,1.000
1951,9.71,-0.97,-1.46,32.691,0.304,0.745
1952,9.50,-1.18,-1.77,32.025,-0.362,-0.886
1953,10.08,-0.60,-0.90,31.927,-0.460,-1.124
1954,8.94,-1.74,-2.61,32.731,0.344,0.841
1955,9.18,-1.50,-2.25,31.543,-0.844,-2.065
1956,8.87,-1.81,-2.71,31.224,-1.163,-2.846
1957,9.89,-0.79,-1.19,31.745,-0.642,-1.570
1958,9.56,-1.12,-1.68,31.813,-0.574,-1.404
1959,10.37,-0.31,-0.47,32.388,0.001,0.002
1960,10.02,-0.67,-1.00,32.883,0.496,1.214
1961,10.66,-0.02,-0.04,31.151,-1.236,-3.024
1962,9.34,-1.34,-2.00,31.495,-0.892,-2.181
1963,8.30,-2.38,-3.57,32.690,0.303,0.741
1964,9.40,-1.28,-1.91,32.735,0.348,0.852
1965,9.48,-1.20,-1.80,31.571,-0.816,-1.997
1965,9.67,-1.01,-1.51,31.652,-0.735,-1.799
1966,10.37,-0.31,-0.46,31.213,-1.174,-2.873
1968,9.85,-0.83,-1.24,31.872,-0.516,-1.261
1969,9.37,-1.31,-1.97,31.761,-0.626,-1.532
1970,9.22,-1.46,-2.18,31.295,-1.092,-2.672
1971,9.77,-0.91,-1.36,32.275,-0.112,-0.275
1972,9.62,-1.06,-1.58,32.877,0.490,1.198
1973,10.14,-0.54,-0.81,32.212,-0.175,-0.429
1974,9.99,-0.70,-1.04,32.566,0.179,0.437
1975,10.64,-0.05,-0.07,31.821,-0.566,-1.385
1976,9.90,-0.78,-1.17,32.227,-0.160,-0.392
1977,9.86,-0.82,-1.23,32.607,0.220,0.537
1978,9.70,-0.98,-1.47,32.258,-0.129,-0.315
1979,8.55,-2.13,-3.18,32.215,-0.172,-0.421
1980,9.57,-1.11,-1.67,31.620,-0.767,-1.876
1981,9.39,-1.29,-1.93,30.754,-1.633,-3.996
1982,9.86,-0.83,-1.24,31.503,-0.884,-2.163
1983,10.10,-0.59,-0.88,31.208,-1.179,-2.884
1984,9.57,-1.11,-1.66,32.059,-0.328,-0.803
1985,8.98,-1.71,-2.55,31.909,-0.478,-1.168
1986,8.90,-1.78,-2.66,32.088,-0.299,-0.730
1987,8.90,-1.78,-2.66,30.855,-1.532,-3.747
