Station Description:,North Sea SST,,,
Region:,North Sea,,,
Latitude:,55.99 N,,,
Longitude:,3.201 E,,,
Measurement Depth/Range:,Surface,,,
Area:,"POLYGON((-3.95 51.17, 10.36 51.17, 10.36 60.81, -3.95 60.81, -3.95 51.17))",,,
Spatial Coverage:,Data is collected from variable number of stations within a fixed area.
Vertical Coverage:,Data is averaged from 0 - 5 m.
Temporal Coverage:,Merged data hourly to weekly (in-situ and remote sensing).
Seasonal Cycle:,Seasonal cycle has not been removed.
Annual Calculations:,The annual calculation is an annual mean, calculated from monthly values.
Reference:,Loewe, P. (Ed.), G. Becker, U. Brockmann, A. Frohse, K. Herklotz, H. Klein, A. Schulz, 2003: Nordsee und Deutsche Bucht 2002. Ozeanographischer Zustandsbericht. Berichte des Bundesamtes für Seeschifffahrt und Hydrographie, Nr. 33, 89pp.
Notes:,https://www.bsh.de/EN/DATA/Climate-and-Sea/Sea_temperatures/Sea_surface_temperatures/sea_surface_temperatures_node.html
Data Source:,BSH - German Federal Maritime and Hydrographic Agency,,
Contact Name (email):,Dagmar Kieke (dagmar.kieke@bsh.de),Tim Kruschke (tim.kruschke@bsh.de),
Location of source datasets:,BSH - German Federal Maritime and Hydrographic Agency,,
Data Protection:,Include on ICES website for free distribution.,,
Monthly Mean Statistics,,,,
Long Term Averaging Period:,1991-2020,,,
Month,Temperature °C,SD,Min,Max
0.5,7.06,0.63,5.68,8.27
1.5,6.28,0.64,4.76,7.17
2.5,6.16,0.72,4.42,7.15
3.5,7.17,0.63,5.62,8.41
4.5,9.55,0.71,7.38,10.82
5.5,12.43,0.88,10.59,14.21
6.5,14.93,0.77,13.27,16.40
7.5,16.10,0.86,14.13,17.65
8.5,14.86,0.69,13.24,16.25
9.5,12.72,0.64,11.13,14.25
10.5,10.47,0.69,8.83,11.82
11.5,8.50,0.65,7.00,9.54
Measured Data for year 2021,,,,
Month,Temperature °C,,,
0.5,7.34,,,
1.5,5.65,,,
2.5,5.94,,,
3.5,6.81,,,
4.5,8.81,,,
5.5,13.19,,,
6.5,15.91,,,
7.5,16.34,,,
8.5,15.68
9.5,13.15,,,
10.5,10.96,,,
11.5,8.25,,,
Measured Data for year 2022,,,,
Month,Temperature °C,,,
0.5,7.53,,,
1.5,6.87,,,
2.5,6.72,,,
3.5,7.52,,,
4.5,10.38,,,
5.5,13.06,,,
6.5,15.39,,,
7.5,17.07,,,
8.5,16.01
9.5,13.40,,,
10.5,11.79,,,
11.5,9.06,,,
Measured Data for year 2023,,,,
Month,Temperature °C,,,
0.5,7.81,,,
1.5,7.11,,,
2.5,6.70,,,
3.5,7.65,,,
4.5,9.74,,,
5.5,13.70,,,
6.5,15.72,,,
7.5,16.15,,,
8.5,16.24
9.5,13.24,,,
10.5,10.81,,,
11.5,8.37,,,
Measured Data for year 2024,,,,
Month,Temperature °C,,,
0.5,6.84,,,
1.5,6.68,,,		   
2.5,6.75,,,
3.5,7.85,,,			
4.5,11.12,,,		   
5.5,13.44,,,
6.5,15.25,,,
7.5,16.38,,,
8.5,15.25
9.5,13.09,,,
10.5,10.93,,,
11.5,9.10,,,
