Station Description:,Central Skagerrak,,,,,,,
Region:,9,,,,,,,
Latitude:,57.9333 N,,,,,,,
Longitude:,9.4500 E,,,,,,,
Measurement Depth/Range:,Deep-water,100-200m,,,,,,
Long Term Averaging Period:,1991-2020,,,,,,,
Notes:,Skagerrak deep-water (100-200m) properties (Atlantic inflow north of Jutland,,,,,,,
Data Source:,IMR - Institute of Marine Research - Norway,,,,,,,
Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,,,,,,
Location of source datasets:,IMR - Institute of Marine Research - Norway,,,,,,,
Data Protection:,Include on ICES website for free distribution.,,,,,,,
Month,Temperature C,SD,Min,Max,Salinity,SD,Min,Max
0.5,7.44,0.77,5.58,8.84,34.99,0.16,34.62,35.25
1.5,6.89,0.51,6.11,8.16,35.01,0.11,34.79,35.24
2.5,6.46,0.82,4.25,7.97,35.04,0.10,34.81,35.21
3.5,6.54,0.68,4.68,7.57,35.10,0.08,34.87,35.24
4.5,6.72,0.48,5.49,7.58,35.12,0.06,34.97,35.23
5.5,7.01,0.50,5.96,7.79,35.15,0.07,34.94,35.25
6.5,7.28,0.51,6.16,8.01,35.14,0.07,34.99,35.30
7.5,7.42,0.51,6.45,8.50,35.14,0.07,34.99,35.30
8.5,7.58,0.42,6.31,8.21,35.16,0.07,35.04,35.32
9.5,7.75,0.48,6.75,8.87,35.13,0.08,34.93,35.29
10.5,8.32,0.71,7.19,10.72,35.10,0.15,34.67,35.28
11.5,8.53,0.72,7.11,10.06,35.03,0.20,34.64,35.33
Measured data for year 2022,,,,,,,,
Month,Temperature C,Salinity,,,,,,
0.5,,,,,,,,
1.5,,,,,,,,
2.5,6.86,34.97,,,,,,
3.5,,,,,,,,
4.5,7.09,35.12,,,,,,
5.5,7.41,35.10,,,,,,
6.5,7.54,35.12,,,,,,
7.5,,,,,,,,
8.5,,,,,,,,
9.5,,,,,,,,
10.5,9.20,34.97,,,,,,
11.5,8.29,35.08,,,,,,
Measured data for year 2023,,,,,,,,
Month,Temperature C,Salinity,,,,,,
0.5,7.90,34.71,,,,,,
1.5,7.74,35.02,,,,,,
2.5,7.75,35.09,,,,,,
3.5,7.38,35.04,,,,,,
4.5,,,,,,,,
5.5,,,,,,,,
6.5,8.18,34.99,,,,,,
7.5,7.82,35.11,,,,,,
8.5,7.99,35.09,,,,,,
9.5,8.27,35.02,,,,,,
10.5,8.54,34.88,,,,,,
11.5,8.65,35.00,,,,,,
Measured data for year 2024,,,,,,,,
Month,Temperature C,Salinity,,,,,,
0.5,8.39,34.90,,,,,,
1.5,6.39,34.71,,,,,,
2.5,7.24,34.97,,,,,,
3.5,,,,,,,,
4.5,6.96,35.02,,,,,,
5.5,,,,,,,,
6.5,7.33,34.94,,,,,,
7.5,7.56,35.08,,,,,,
8.5,7.80,35.12,,,,,,
9.5,8.05,35.09,,,,,,
10.5,8.99,35.06,,,,,,
11.5,,,,,,,,
