Station Description:,Central Skagerrak,,,,,
Region:,9,,,,,
Latitude:,58.1333 N,,,,,
Longitude:,9.1833 E,,,,,
Measurement Depth/Range:,Bottom-water,600m,,,,
Long Term Averaging Period:,1991-2020,,,,,
Long Term Mean:,6.118,35.147,,,,
Standard Deviation:,0.507,0.052,,,,
Notes:,Skagerrak bottom-water properties (600m),,,,,
Data Source:,IMR - Institute of Marine Research - Norway,,,,,
Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,,,,
Location of source datasets:,IMR - Institute of Marine Research - Norway,,,,,
Data Protection:,Include on ICES website for free distribution.,,,,,
Year,Temperature C,Temperature Anomaly C,Temperature Anomaly Normalized,Salinity,Salinity Anomaly,Salinity Anomaly Normalized
1952,,,,,,
1953,,,,,,
1954,,,,,,
1955,,,,,,
1956,5.225,-0.893,-1.761,35.150,0.003,0.065
1957,,,,,,
1958,,,,,,
1959,,,,,,
1960,5.822,-0.296,-0.584,35.186,0.040,0.766
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,,,,,,
1965,5.088,-1.030,-2.032,35.129,-0.017,-0.334
1966,,,,,,
1967,4.823,-1.295,-2.553,35.050,-0.097,-1.874
1968,5.653,-0.465,-0.917,35.167,0.020,0.392
1969,,,,,,
1970,4.589,-1.529,-3.016,35.022,-0.125,-2.414
1971,4.933,-1.185,-2.337,35.078,-0.069,-1.331
1972,5.457,-0.660,-1.303,35.107,-0.040,-0.771
1973,5.770,-0.348,-0.686,35.135,-0.012,-0.232
1974,5.979,-0.139,-0.275,35.126,-0.021,-0.398
1975,6.025,-0.093,-0.183,35.121,-0.026,-0.497
1976,6.077,-0.040,-0.080,35.157,0.011,0.208
1977,,,,,,
1978,5.678,-0.440,-0.869,35.055,-0.092,-1.781
1979,5.092,-1.026,-2.024,35.026,-0.120,-2.335
1980,5.004,-1.114,-2.198,34.987,-0.160,-3.097
1981,5.469,-0.649,-1.280,35.096,-0.050,-0.978
1982,5.037,-1.081,-2.132,35.080,-0.067,-1.290
1983,5.316,-0.801,-1.581,35.102,-0.045,-0.866
1984,5.607,-0.511,-1.008,35.147,-0.000,-0.003
1985,5.306,-0.812,-1.601,35.142,-0.005,-0.094
1986,5.101,-1.017,-2.006,35.110,-0.037,-0.715
1987,,,,,,
1988,5.093,-1.024,-2.021,35.051,-0.095,-1.848
1989,5.401,-0.717,-1.415,35.058,-0.088,-1.712
1990,6.112,-0.005,-0.011,35.088,-0.059,-1.139
1991,6.470,0.352,0.694,35.208,0.061,1.190
1992,6.566,0.449,0.885,35.207,0.061,1.177
1993,6.338,0.220,0.434,35.163,0.016,0.319
1994,5.773,-0.345,-0.680,35.147,0.001,0.013
1995,5.743,-0.374,-0.739,35.160,0.013,0.257
1996,5.438,-0.680,-1.340,35.091,-0.056,-1.087
1997,5.657,-0.461,-0.909,35.090,-0.056,-1.094
1998,6.073,-0.044,-0.088,35.095,-0.052,-1.003
1999,6.389,0.271,0.535,35.131,-0.016,-0.305
2000,6.763,0.645,1.272,35.198,0.052,1.005
2001,6.193,0.076,0.149,35.109,-0.037,-0.727
2002,6.170,0.052,0.103,35.090,-0.057,-1.108
2003,6.557,0.439,0.866,35.137,-0.009,-0.179
2004,6.553,0.435,0.859,35.162,0.015,0.298
2005,5.558,-0.560,-1.105,35.176,0.029,0.565
2006,5.740,-0.378,-0.746,35.176,0.030,0.575
2007,6.040,-0.078,-0.154,35.163,0.016,0.310
2008,6.519,0.401,0.791,35.180,0.033,0.643
2009,6.341,0.224,0.441,35.170,0.024,0.460
2010,5.016,-1.102,-2.173,35.017,-0.130,-2.512
2011,5.631,-0.487,-0.961,35.109,-0.037,-0.723
2012,6.101,-0.016,-0.032,35.157,0.010,0.193
2013,5.575,-0.543,-1.071,35.183,0.036,0.697
2014,5.704,-0.414,-0.817,35.188,0.042,0.807
2015,6.188,0.070,0.138,35.186,0.040,0.768
2016,6.735,0.617,1.216,35.188,0.042,0.810
2017,6.989,0.871,1.719,35.178,0.031,0.598
2018,6.193,0.075,0.148,35.124,-0.023,-0.439
2019,6.119,0.001,0.001,35.135,-0.011,-0.223
2020,6.355,0.238,0.469,35.122,-0.024,-0.472
2021,6.706,0.588,1.161,35.121,-0.026,-0.506
2022,6.843,0.725,1.430,35.119,-0.027,-0.532
2023,7.088,0.970,1.913,35.137,-0.009,-0.183
2024,7.227,1.109,2.188,35.123,-0.024,-0.456
