Station Description:,Central Skagerrak,,,
Region:,9,,,
Latitude:,58.1333 N,,,
Longitude:,9.1833 E,,,
Measurement Depth/Range:,Bottom-water,600m,,
Notes:,Skagerrak bottom-water properties (600m),,,
Data Source:,IMR - Institute of Marine Research - Norway,,,
Contact Name (email):,Jon Albretsen (jon.albretsen@hi.no),,,
Location of source datasets:,IMR - Institute of Marine Research - Norway,,,
Data Protection:,Include on ICES website for free distribution.,,,
Decimal Year,Temperature C,Salinity
1952.0417,5.810,35.070
1952.1250,,
1952.2083,,
1952.2917,5.730,35.080
1952.3750,,
1952.4583,,
1952.5417,,
1952.6250,5.780,34.870
1952.7083,,
1952.7917,,
1952.8750,5.910,35.080
1952.9583,,
1953.0417,,
1953.1250,,
1953.2083,5.840,35.080
1953.2917,,
1953.3750,5.790,34.990
1953.4583,,
1953.5417,,
1953.6250,,
1953.7083,5.840,35.050
1953.7917,,
1953.8750,6.190,35.050
1953.9583,,
1954.0417,,
1954.1250,,
1954.2083,,
1954.2917,,
1954.3750,,
1954.4583,,
1954.5417,,
1954.6250,,
1954.7083,,
1954.7917,3.810,34.920
1954.8750,3.910,34.870
1954.9583,,
1955.0417,5.190,35.210
1955.1250,,
1955.2083,,
1955.2917,4.840,35.070
1955.3750,,
1955.4583,4.600,35.080
1955.5417,,
1955.6250,,
1955.7083,,
1955.7917,,
1955.8750,,
1955.9583,,
1956.0417,,
1956.1250,4.990,34.990
1956.2083,5.050,34.870
1956.2917,,
1956.3750,5.060,35.300
1956.4583,,
1956.5417,,
1956.6250,5.380,35.260
1956.7083,5.410,35.250
1956.7917,,
1956.8750,,
1956.9583,5.460,35.230
1957.0417,5.430,35.070
1957.1250,,
1957.2083,5.490,35.190
1957.2917,,
1957.3750,,
1957.4583,,
1957.5417,,
1957.6250,,
1957.7083,,
1957.7917,,
1957.8750,,
1957.9583,,
1958.0417,,
1958.1250,,
1958.2083,5.910,35.230
1958.2917,,
1958.3750,5.135,35.110
1958.4583,5.270,35.230
1958.5417,,
1958.6250,,
1958.7083,,
1958.7917,,
1958.8750,5.340,35.210
1958.9583,,
1959.0417,5.360,35.210
1959.1250,,
1959.2083,,
1959.2917,5.380,35.230
1959.3750,5.430,35.180
1959.4583,,
1959.5417,,
1959.6250,5.570,35.190
1959.7083,5.410,35.200
1959.7917,,
1959.8750,,
1959.9583,,
1960.0417,5.610,35.180
1960.1250,,
1960.2083,5.730,35.210
1960.2917,5.900,35.240
1960.3750,,
1960.4583,5.820,35.178
1960.5417,,
1960.6250,,
1960.7083,6.010,35.121
1960.7917,,
1960.8750,,
1960.9583,5.860,35.188
1961.0417,6.030,35.175
1961.1250,5.940,35.153
1961.2083,,
1961.2917,5.990,35.182
1961.3750,,
1961.4583,5.970,35.171
1961.5417,,
1961.6250,6.080,35.149
1961.7083,,
1961.7917,,
1961.8750,,
1961.9583,,
1962.0417,6.090,35.125
1962.1250,,
1962.2083,,
1962.2917,,
1962.3750,,
1962.4583,5.570,35.047
1962.5417,,
1962.6250,,
1962.7083,5.740,35.120
1962.7917,,
1962.8750,,
1962.9583,,
1963.0417,6.180,35.136
1963.1250,,
1963.2083,,
1963.2917,4.940,35.072
1963.3750,3.940,34.976
1963.4583,4.120,35.010
1963.5417,,
1963.6250,,
1963.7083,,
1963.7917,4.120,35.012
1963.8750,,
1963.9583,,
1964.0417,,
1964.1250,,
1964.2083,,
1964.2917,4.390,35.046
1964.3750,,
1964.4583,4.590,35.107
1964.5417,4.570,35.074
1964.6250,4.660,35.079
1964.7083,4.800,35.090
1964.7917,,
1964.8750,,
1964.9583,,
1965.0417,4.860,35.124
1965.1250,,
1965.2083,5.120,35.167
1965.2917,5.100,35.167
1965.3750,5.020,35.102
1965.4583,5.060,35.120
1965.5417,,
1965.6250,5.120,35.112
1965.7083,5.050,35.111
1965.7917,5.260,35.139
1965.8750,,
1965.9583,5.200,35.123
1966.0417,,
1966.1250,,
1966.2083,4.060,34.964
1966.2917,,
1966.3750,,
1966.4583,3.920,34.926
1966.5417,,
1966.6250,,
1966.7083,4.050,34.947
1966.7917,,
1966.8750,4.030,34.998
1966.9583,4.180,34.999
1967.0417,4.500,35.013
1967.1250,,
1967.2083,,
1967.2917,,
1967.3750,4.610,35.063
1967.4583,,
1967.5417,4.970,35.055
1967.6250,4.680,35.022
1967.7083,,
1967.7917,5.000,35.064
1967.8750,,
1967.9583,5.180,35.083
1968.0417,5.720,35.138
1968.1250,,
1968.2083,5.410,35.089
1968.2917,5.470,35.135
1968.3750,,
1968.4583,5.690,35.175
1968.5417,,
1968.6250,5.750,35.208
1968.7083,,
1968.7917,5.770,35.203
1968.8750,,
1968.9583,5.760,35.220
1969.0417,,
1969.1250,,
1969.2083,,
1969.2917,,
1969.3750,5.120,35.095
1969.4583,5.090,35.130
1969.5417,,
1969.6250,,
1969.7083,,
1969.7917,,
1969.8750,5.400,35.146
1969.9583,5.490,35.151
1970.0417,,
1970.1250,,
1970.2083,5.160,35.102
1970.2917,4.300,34.994
1970.3750,,
1970.4583,4.300,34.988
1970.5417,4.910,34.992
1970.6250,4.430,35.013
1970.7083,,
1970.7917,4.540,35.036
1970.8750,4.520,35.030
1970.9583,4.550,35.022
1971.0417,4.650,35.047
1971.1250,,
1971.2083,4.660,35.035
1971.2917,4.990,35.100
1971.3750,4.930,35.085
1971.4583,4.900,35.087
1971.5417,,
1971.6250,4.900,35.079
1971.7083,,
1971.7917,4.910,35.088
1971.8750,5.390,35.094
1971.9583,5.070,35.087
1972.0417,,
1972.1250,5.150,35.089
1972.2083,5.220,35.089
1972.2917,5.420,35.096
1972.3750,5.250,35.092
1972.4583,,
1972.5417,,
1972.6250,5.420,35.124
1972.7083,,
1972.7917,5.430,35.100
1972.8750,6.290,35.143
1972.9583,5.480,35.122
1973.0417,5.470,35.121
1973.1250,5.500,35.118
1973.2083,5.560,35.126
1973.2917,,
1973.3750,5.630,35.118
1973.4583,,
1973.5417,,
1973.6250,5.570,35.124
1973.7083,6.890,35.201
1973.7917,,
1973.8750,,
1973.9583,,
1974.0417,,
1974.1250,6.010,35.143
1974.2083,6.000,35.145
1974.2917,5.920,34.996
1974.3750,6.010,35.150
1974.4583,,
1974.5417,,
1974.6250,5.940,35.157
1974.7083,,
1974.7917,6.000,35.152
1974.8750,5.970,35.140
1974.9583,,
1975.0417,,
1975.1250,6.085,35.141
1975.2083,,
1975.2917,6.070,35.138
1975.3750,,
1975.4583,,
1975.5417,,
1975.6250,5.970,35.126
1975.7083,5.980,35.030
1975.7917,5.980,35.132
1975.8750,6.030,35.146
1975.9583,6.060,35.134
1976.0417,6.140,35.118
1976.1250,6.120,35.140
1976.2083,6.160,35.138
1976.2917,6.030,35.171
1976.3750,6.040,35.193
1976.4583,,
1976.5417,,
1976.6250,6.050,35.192
1976.7083,6.050,35.197
1976.7917,,
1976.8750,6.030,35.110
1976.9583,,
1977.0417,6.040,35.181
1977.1250,,
1977.2083,,
1977.2917,,
1977.3750,,
1977.4583,,
1977.5417,,
1977.6250,6.040,35.164
1977.7083,6.050,35.173
1977.7917,6.060,35.164
1977.8750,,
1977.9583,6.030,35.181
1978.0417,6.010,35.132
1978.1250,5.960,35.033
1978.2083,,
1978.2917,5.990,35.102
1978.3750,5.380,35.029
1978.4583,,
1978.5417,,
1978.6250,5.480,35.030
1978.7083,5.470,35.018
1978.7917,5.590,35.047
1978.8750,,
1978.9583,5.540,35.047
1979.0417,6.090,35.047
1979.1250,5.650,35.030
1979.2083,5.340,35.010
1979.2917,4.680,34.965
1979.3750,4.870,35.024
1979.4583,4.870,35.004
1979.5417,,
1979.6250,4.850,35.084
1979.7083,,
1979.7917,4.860,34.990
1979.8750,4.840,35.130
1979.9583,4.870,34.978
1980.0417,4.900,34.990
1980.1250,4.930,34.978
1980.2083,4.910,34.965
1980.2917,4.940,34.978
1980.3750,4.960,34.980
1980.4583,4.940,34.978
1980.5417,,
1980.6250,5.150,35.012
1980.7083,4.980,34.965
1980.7917,5.000,34.992
1980.8750,5.030,34.994
1980.9583,5.300,35.024
1981.0417,,
1981.1250,5.370,35.031
1981.2083,5.530,35.069
