Box Number,p1_lon,p1_lat,p2_lon,p2_lat,p3_lon,p3_lat,p4_lon,p4_lat,Alias
A,6.97,54.28,7.25,54.28,7.25,54.45,6.97,54.45,German-Bight
B,-0.3,55.27,0,55.27,0,55.43,-0.3,55.43,Teeside
C,5.17,56.55,5.47,56.55,5.47,56.72,5.17,56.72,Fischer
D,-0.73,57.8,-1.07,57.8,-1.07,57.97,-0.73,57.97,Buchan
E,4.67,53.83,4.95,53.83,4.95,54.00,4.67,54.00,off-NL
F,2.42,52.38,2.68,52.38,2.68,52.55,2.42,52.55,Gabbard
H,2.33,56.33,2.63,56.33,2.63,56.50,2.33,56.50,North-Dogger
K,6.30,55.42,6.60,55.42,6.60,55.58,6.30,55.58,Danish-Bight
L,2.38,58.67,2.72,58.67,2.72,58.83,2.38,58.83,Utsira-A
M,2.37,60.28,2.70,60.28,2.70,60.45,2.37,60.45,Feie-offshore
N,7.50,54.72,7.80,54.72,7.80,54.88,7.50,54.88,off-Sylt
P,4.67,55.17,4.97,55.17,4.97,55.33,4.67,55.33,Ducksbill
