Box Number,p1_lon,p1_lat,p2_lon,p2_lat,p3_lon,p3_lat,p4_lon,p4_lat,Alias
1,0,59.75,1,59.75,1,61.25,0,61.25,Shet-Fei-esai
2,2.0,59.75,3.5,59.75,3.5,61.25,2.0,61.25,Shet-Fei-noti
3,4,59.75,5.5,59.75,5.5,61.25,4,61.25,Shet-Fei-nocc
4,-2,58.67,-1,58.67,-1,59.5,-2,59.5,Ork-Uts-fici
5,-0.5,58.67,0.5,58.67,0.5,59.5,-0.5,59.5,Ork-Uts-esai
6,2.38,58.67,3.5,58.67,3.5,59.5,2.38,59.5,Ork-Uts-noti
7,4,58.67,5.5,58.67,5.5,59.5,4,59.5,Ork-Uts-nocc
8,-0.5,56.55,0.5,56.55,0.5,57.25,-0.5,57.25,Abd-Han-west
9,2,56.55,4,56.55,4,57.25,2,57.25,Abd-Han-cent
10,5,56.55,7,56.55,7,57.25,5,57.25,Abd-Han-east
11,7.9,57.75,9.5,58.45,9.5,58.9,7.9,58.2,Skag-ncw
12,7.9,57.3,10,57.9,10,58.2,7.9,57.6,Skag-AW
13,7.9,57.2,10,57.8,10.2,57.5,7.9,56.8,Skag-SNSW
14,2.33,55.75,4.5,55.75,4.5,56.50,2.33,56.50,Cen-Nsea
15,0,51.75,2.75,51.75,2.75,54.25,0,54.25,SBrit-Coast
16,4.67,53.75,8.5,53.75,8.5,55.58,4.67,55.58,Cont-Coast
17,-1.2846,50.39627435,0.898042,50.75366592,1.063973,50.06441074,-1.131432,49.65596323,EC_east
18,-4.45,48.90,-4.45,50.1,-2.53547,50.345218,-2.127023,49.285808,EC_west
19,-10.6,49.15,-10.6,51.25,-6.9,51.25,-6.9,49.15,CS
20,-12.04,52.49,-12.04,53.49,-10.75,53.49,-10.75,52.49,WIS
21,-14.26,52.88,-14.26,53.38,-13.25,53.38,-13.25,52.88,PB
22,-9,56.5,-9,58.75,-7.5,58.75,-7.5,56.5,HS
23,-7.4,56.35,-6.25,56.35,-5,58.55,-6,58.55,Minch
24,-2.7980,60.5327,-1.75,60,-4.0000,58.7500,-5.600,59.3920,NorthScotShelf
25,-5.228671,54.3212,-6.373951,55.376492,-6.028731,55.674329,-4.877999,54.652208,NIS
26,-4.2,53.4,-4.2,54.05,-3.2,54.05,-3.2,53.4,LB
27,-5.975364,53.300081,-5.975364,54.027628,-4.896807,54.027628,-4.896807,53.300081,ISJ
28,-6.610866,51.931064,-5.913658,52.777191,-5.067531,52.249208,-5.642898,51.328622,SIS
29,-0.75,54.26,0.25,54.26,0.25,55.43,-0.75,55.43,Teeside
30,-1.20,57.80,-0.25,57.80,-0.25,58.20,-1.20,58.20,Goldeneye
