Box Name: 01 Shet-Fei-esai
Data Source: BSH
Data Contact: sst@bsh.de (Tim Kruschke)
Comment/Note: Values given below represent SST for grid boxes averaged over spatial extent and weekly periods. Each given time stamp represents the central date of a 7-day period. Given geographical coordinates are grid box centres. Each grid box is 20 km x 20 km in a Lambert azimuthal equal area projection centered at 56°N, 4°.
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag
NaN,NaN,1995,1,7,12,0,59.8165, 0.2430,NaN,NaN, 8.00,8
NaN,NaN,1995,1,7,12,0,59.8259, 0.6002,NaN,NaN, 7.80,8
NaN,NaN,1995,1,7,12,0,59.8344, 0.9576,NaN,NaN, 7.71,8
NaN,NaN,1995,1,7,12,0,59.9962, 0.2228,NaN,NaN, 8.08,8
NaN,NaN,1995,1,7,12,0,60.0056, 0.5819,NaN,NaN, 7.97,8
NaN,NaN,1995,1,7,12,0,60.0142, 0.9412,NaN,NaN, 7.92,8
NaN,NaN,1995,1,7,12,0,60.1758, 0.2024,NaN,NaN, 8.26,8
NaN,NaN,1995,1,7,12,0,60.1854, 0.5634,NaN,NaN, 8.14,8
NaN,NaN,1995,1,7,12,0,60.1940, 0.9247,NaN,NaN, 8.05,8
NaN,NaN,1995,1,7,12,0,60.3555, 0.1817,NaN,NaN, 8.40,8
NaN,NaN,1995,1,7,12,0,60.3651, 0.5447,NaN,NaN, 8.26,8
NaN,NaN,1995,1,7,12,0,60.3738, 0.9079,NaN,NaN, 8.21,8
NaN,NaN,1995,1,7,12,0,60.5353, 0.1607,NaN,NaN, 8.45,8
NaN,NaN,1995,1,7,12,0,60.5449, 0.5257,NaN,NaN, 8.39,8
NaN,NaN,1995,1,7,12,0,60.5536, 0.8909,NaN,NaN, 8.38,8
NaN,NaN,1995,1,7,12,0,60.7150, 0.1394,NaN,NaN, 8.41,8
NaN,NaN,1995,1,7,12,0,60.7247, 0.5065,NaN,NaN, 8.45,8
NaN,NaN,1995,1,7,12,0,60.7334, 0.8737,NaN,NaN, 8.54,8
NaN,NaN,1995,1,14,12,0,59.8165, 0.2430,NaN,NaN, 7.66,8
NaN,NaN,1995,1,14,12,0,59.8259, 0.6002,NaN,NaN, 7.80,8
NaN,NaN,1995,1,14,12,0,59.8344, 0.9576,NaN,NaN, 7.95,8
NaN,NaN,1995,1,14,12,0,59.9962, 0.2228,NaN,NaN, 7.85,8
NaN,NaN,1995,1,14,12,0,60.0056, 0.5819,NaN,NaN, 7.95,8
NaN,NaN,1995,1,14,12,0,60.0142, 0.9412,NaN,NaN, 8.06,8
NaN,NaN,1995,1,14,12,0,60.1758, 0.2024,NaN,NaN, 8.25,8
NaN,NaN,1995,1,14,12,0,60.1854, 0.5634,NaN,NaN, 8.22,8
NaN,NaN,1995,1,14,12,0,60.1940, 0.9247,NaN,NaN, 8.31,8
NaN,NaN,1995,1,14,12,0,60.3555, 0.1817,NaN,NaN, 8.58,8
NaN,NaN,1995,1,14,12,0,60.3651, 0.5447,NaN,NaN, 8.51,8
NaN,NaN,1995,1,14,12,0,60.3738, 0.9079,NaN,NaN, 8.60,8
NaN,NaN,1995,1,14,12,0,60.5353, 0.1607,NaN,NaN, 8.69,8
NaN,NaN,1995,1,14,12,0,60.5449, 0.5257,NaN,NaN, 8.64,8
NaN,NaN,1995,1,14,12,0,60.5536, 0.8909,NaN,NaN, 8.69,8
NaN,NaN,1995,1,14,12,0,60.7150, 0.1394,NaN,NaN, 8.67,8
NaN,NaN,1995,1,14,12,0,60.7247, 0.5065,NaN,NaN, 8.69,8
NaN,NaN,1995,1,14,12,0,60.7334, 0.8737,NaN,NaN, 8.68,8
NaN,NaN,1995,1,21,12,0,59.8165, 0.2430,NaN,NaN, 7.74,8
NaN,NaN,1995,1,21,12,0,59.8259, 0.6002,NaN,NaN, 7.64,8
NaN,NaN,1995,1,21,12,0,59.8344, 0.9576,NaN,NaN, 7.62,8
NaN,NaN,1995,1,21,12,0,59.9962, 0.2228,NaN,NaN, 7.98,8
NaN,NaN,1995,1,21,12,0,60.0056, 0.5819,NaN,NaN, 7.93,8
NaN,NaN,1995,1,21,12,0,60.0142, 0.9412,NaN,NaN, 8.01,8
NaN,NaN,1995,1,21,12,0,60.1758, 0.2024,NaN,NaN, 8.15,8
NaN,NaN,1995,1,21,12,0,60.1854, 0.5634,NaN,NaN, 8.13,8
NaN,NaN,1995,1,21,12,0,60.1940, 0.9247,NaN,NaN, 8.27,8
NaN,NaN,1995,1,21,12,0,60.3555, 0.1817,NaN,NaN, 8.41,8
NaN,NaN,1995,1,21,12,0,60.3651, 0.5447,NaN,NaN, 8.33,8
NaN,NaN,1995,1,21,12,0,60.3738, 0.9079,NaN,NaN, 8.30,8
NaN,NaN,1995,1,21,12,0,60.5353, 0.1607,NaN,NaN, 8.52,8
NaN,NaN,1995,1,21,12,0,60.5449, 0.5257,NaN,NaN, 8.51,8
NaN,NaN,1995,1,21,12,0,60.5536, 0.8909,NaN,NaN, 8.54,8
NaN,NaN,1995,1,21,12,0,60.7150, 0.1394,NaN,NaN, 8.47,8
