Box Name:,15,,,,,,,,,,,,,,,,,,
Data Source:,Cefas,,,,,,,,,,,,,,,,,,
Data Contact:,lianne.harrison@cefas.gov.uk,,,,,,,,,,,,,,,,,,
Comment/Note (incl. method description):,Hybridised timeseries from bottle data taken along oportunistic ferry route and West Gabbard smartbuoy. Regression ananlysis used to determine relationship between two datasets and compute ferry bottle data at West Gabbard site.  ,,,,,,,,,,,,,,,,,,
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag,Param ..,Param Flag,,,
West Gabbard,West Gabbard,1971,1,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1971,2,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1971,3,15,0,0,51.9528,2.1089,0,NaN,6.448694286,2,34.90308457,2,,,,,
West Gabbard,West Gabbard,1971,4,15,0,0,51.9528,2.1089,0,NaN,6.959291705,2,34.76269025,2,,,,Fill Value = NaN,
West Gabbard,West Gabbard,1971,5,15,0,0,51.9528,2.1089,0,NaN,9.266799269,2,34.64347273,2,,,,,
West Gabbard,West Gabbard,1971,6,15,0,0,51.9528,2.1089,0,NaN,12.4776715,2,34.54307902,2,,,,,
West Gabbard,West Gabbard,1971,7,15,0,0,51.9528,2.1089,0,NaN,14.89319005,2,34.77210216,2,,,,0,no qc
West Gabbard,West Gabbard,1971,8,15,0,0,51.9528,2.1089,0,NaN,16.83738791,2,34.86700559,2,,,,1,ok
West Gabbard,West Gabbard,1971,9,15,0,0,51.9528,2.1089,0,NaN,16.92576054,2,34.89837862,2,,,,2,prob ok
West Gabbard,West Gabbard,1971,10,15,0,0,51.9528,2.1089,0,NaN,16.04203424,2,34.85053474,2,,,,3,prob bad
West Gabbard,West Gabbard,1971,11,15,0,0,51.9528,2.1089,0,NaN,12.45803313,2,34.69445391,2,,,,4,bad
West Gabbard,West Gabbard,1971,12,15,0,0,51.9528,2.1089,0,NaN,9.708662419,2,34.58464829,2,,,,5,interp
West Gabbard,West Gabbard,1972,1,15,0,0,51.9528,2.1089,0,NaN,8.333977062,2,34.81837738,2,,,,6,below lod
West Gabbard,West Gabbard,1972,2,15,0,0,51.9528,2.1089,0,NaN,7.52880421,2,35.14544125,2,,,,7,above lod
West Gabbard,West Gabbard,1972,3,15,0,0,51.9528,2.1089,0,NaN,7.332420587,2,35.12661743,2,,,,8,derived
West Gabbard,West Gabbard,1972,4,15,0,0,51.9528,2.1089,0,NaN,8.481264779,2,34.99563502,2,,,,9,missing
West Gabbard,West Gabbard,1972,5,15,0,0,51.9528,2.1089,0,NaN,10.53347363,2,34.89602564,2,,,,,
West Gabbard,West Gabbard,1972,6,15,0,0,51.9528,2.1089,0,NaN,12.19291524,2,35.08975412,2,,,,,
West Gabbard,West Gabbard,1972,7,15,0,0,51.9528,2.1089,0,NaN,14.50042281,2,35.03485131,2,,,,,
West Gabbard,West Gabbard,1972,8,15,0,0,51.9528,2.1089,0,NaN,16.68028102,2,34.95955603,2,,,,,
West Gabbard,West Gabbard,1972,9,15,0,0,51.9528,2.1089,0,NaN,15.72782045,2,34.81524008,2,,,,,
West Gabbard,West Gabbard,1972,10,15,0,0,51.9528,2.1089,0,NaN,14.10765556,2,34.86857424,2,,,,,
West Gabbard,West Gabbard,1972,11,15,0,0,51.9528,2.1089,0,NaN,10.49419691,2,34.81759306,2,,,,,
West Gabbard,West Gabbard,1972,12,15,0,0,51.9528,2.1089,0,NaN,10.69058053,2,35.21759922,2,,,,,
West Gabbard,West Gabbard,1973,1,15,0,0,51.9528,2.1089,0,NaN,8.333977062,2,35.11485254,2,,,,,
West Gabbard,West Gabbard,1973,2,15,0,0,51.9528,2.1089,0,NaN,7.518985029,2,35.09289142,2,,,,,
West Gabbard,West Gabbard,1973,3,15,0,0,51.9528,2.1089,0,NaN,7.037845154,2,35.09132277,2,,,,,
West Gabbard,West Gabbard,1973,4,15,0,0,51.9528,2.1089,0,NaN,7.302963044,2,34.97053659,2,,,,,
West Gabbard,West Gabbard,1973,5,15,0,0,51.9528,2.1089,0,NaN,9.473002072,2,34.90465322,2,,,,,
West Gabbard,West Gabbard,1973,6,15,0,0,51.9528,2.1089,0,NaN,13.37121698,2,35.05132215,2,,,,,
West Gabbard,West Gabbard,1973,7,15,0,0,51.9528,2.1089,0,NaN,16.03221506,2,34.96034036,2,,,,,
West Gabbard,West Gabbard,1973,8,15,0,0,51.9528,2.1089,0,NaN,16.8472071,2,34.97053659,2,,,,,
West Gabbard,West Gabbard,1973,9,15,0,0,51.9528,2.1089,0,NaN,17.43635796,2,35.22857979,2,,,,,
West Gabbard,West Gabbard,1973,10,15,0,0,51.9528,2.1089,0,NaN,14.15675147,2,34.91484946,2,,,,,
West Gabbard,West Gabbard,1973,11,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1973,12,15,0,0,51.9528,2.1089,0,NaN,8.137593439,2,34.83327958,2,,,,,
West Gabbard,West Gabbard,1974,1,15,0,0,51.9528,2.1089,0,NaN,7.941209817,2,35.0528908,2,,,,,
West Gabbard,West Gabbard,1974,2,15,0,0,51.9528,2.1089,0,NaN,8.333977062,2,35.21524625,2,,,,,
West Gabbard,West Gabbard,1974,3,15,0,0,51.9528,2.1089,0,NaN,7.744826195,2,35.24818793,2,,,,,
West Gabbard,West Gabbard,1974,4,15,0,0,51.9528,2.1089,0,NaN,8.726744307,2,35.11563687,2,,,,,
West Gabbard,West Gabbard,1974,5,15,0,0,51.9528,2.1089,0,NaN,10.19962148,2,34.90935918,2,,,,,
West Gabbard,West Gabbard,1974,6,15,0,0,51.9528,2.1089,0,NaN,12.97844973,2,34.96034036,2,,,,,
West Gabbard,West Gabbard,1974,7,15,0,0,51.9528,2.1089,0,NaN,15.25649975,2,34.9768112,2,,,,,
West Gabbard,West Gabbard,1974,8,15,0,0,51.9528,2.1089,0,NaN,16.72937692,2,35.01289019,2,,,,,
West Gabbard,West Gabbard,1974,9,15,0,0,51.9528,2.1089,0,NaN,15.40378747,2,35.03955726,2,,,,,
West Gabbard,West Gabbard,1974,10,15,0,0,51.9528,2.1089,0,NaN,13.047184,2,34.95798738,2,,,,,
West Gabbard,West Gabbard,1974,11,15,0,0,51.9528,2.1089,0,NaN,10.56293118,2,34.84033851,2,,,,,
West Gabbard,West Gabbard,1974,12,15,0,0,51.9528,2.1089,0,NaN,9.394448623,2,35.14308827,2,,,,,
West Gabbard,West Gabbard,1975,1,15,0,0,51.9528,2.1089,0,NaN,8.923127929,2,35.0042626,2,,,,,
West Gabbard,West Gabbard,1975,2,15,0,0,51.9528,2.1089,0,NaN,8.068859172,2,34.8552407,2,,,,,
West Gabbard,West Gabbard,1975,3,15,0,0,51.9528,2.1089,0,NaN,7.155675327,2,34.8826921,2,,,,,
West Gabbard,West Gabbard,1975,4,15,0,0,51.9528,2.1089,0,NaN,7.332420587,2,34.70151284,2,,,,,
West Gabbard,West Gabbard,1975,5,15,0,0,51.9528,2.1089,0,NaN,9.512278797,2,34.60582509,2,,,,,
West Gabbard,West Gabbard,1975,6,15,0,0,51.9528,2.1089,0,NaN,9.905046042,2,34.45601886,2,,,,,
West Gabbard,West Gabbard,1975,7,15,0,0,51.9528,2.1089,0,NaN,14.9717435,2,34.32111482,2,,,,,
West Gabbard,West Gabbard,1975,8,15,0,0,51.9528,2.1089,0,NaN,17.39708124,2,34.6607279,2,,,,,
West Gabbard,West Gabbard,1975,9,15,0,0,51.9528,2.1089,0,NaN,17.49527305,2,34.75406267,2,,,,,
West Gabbard,West Gabbard,1975,10,15,0,0,51.9528,2.1089,0,NaN,14.8146366,2,34.84269149,2,,,,,
West Gabbard,West Gabbard,1975,11,15,0,0,51.9528,2.1089,0,NaN,12.45803313,2,34.81367143,2,,,,,
West Gabbard,West Gabbard,1975,12,15,0,0,51.9528,2.1089,0,NaN,9.050777284,2,34.75876862,2,,,,,
West Gabbard,West Gabbard,1976,1,15,0,0,51.9528,2.1089,0,NaN,7.450250761,2,34.71170907,2,,,,,
West Gabbard,West Gabbard,1976,2,15,0,0,51.9528,2.1089,0,NaN,5.810447513,2,34.65445329,2,,,,,
West Gabbard,West Gabbard,1976,3,15,0,0,51.9528,2.1089,0,NaN,7.057483516,2,34.99249772,2,,,,,
West Gabbard,West Gabbard,1976,4,15,0,0,51.9528,2.1089,0,NaN,8.068859172,2,35.00269395,2,,,,,
West Gabbard,West Gabbard,1976,5,15,0,0,51.9528,2.1089,0,NaN,10.10142966,2,34.90308457,2,,,,,
West Gabbard,West Gabbard,1976,6,15,0,0,51.9528,2.1089,0,NaN,14.56915707,2,34.9799485,2,,,,,
West Gabbard,West Gabbard,1976,7,15,0,0,51.9528,2.1089,0,NaN,17.36762369,2,35.00034097,2,,,,,
West Gabbard,West Gabbard,1976,8,15,0,0,51.9528,2.1089,0,NaN,18.12370064,2,35.03328266,2,,,,,
West Gabbard,West Gabbard,1976,9,15,0,0,51.9528,2.1089,0,NaN,17.31852779,2,34.92583002,2,,,,,
West Gabbard,West Gabbard,1976,10,15,0,0,51.9528,2.1089,0,NaN,15.60017109,2,35.09289142,2,,,,,
West Gabbard,West Gabbard,1976,11,15,0,0,51.9528,2.1089,0,NaN,14.22548574,2,34.94857547,2,,,,,
West Gabbard,West Gabbard,1976,12,15,0,0,51.9528,2.1089,0,NaN,9.021319741,2,35.16975535,2,,,,,
West Gabbard,West Gabbard,1977,1,15,0,0,51.9528,2.1089,0,NaN,7.695730289,2,35.06073406,2,,,,,
West Gabbard,West Gabbard,1977,2,15,0,0,51.9528,2.1089,0,NaN,7.941209817,2,35.04504755,2,,,,,
West Gabbard,West Gabbard,1977,3,15,0,0,51.9528,2.1089,0,NaN,8.3143387,2,34.96975227,2,,,,,
West Gabbard,West Gabbard,1977,4,15,0,0,51.9528,2.1089,0,NaN,8.481264779,2,34.89053536,2,,,,,
West Gabbard,West Gabbard,1977,5,15,0,0,51.9528,2.1089,0,NaN,9.934503585,2,34.93681058,2,,,,,
West Gabbard,West Gabbard,1977,6,15,0,0,51.9528,2.1089,0,NaN,11.77069045,2,34.81837738,2,,,,,
West Gabbard,West Gabbard,1977,7,15,0,0,51.9528,2.1089,0,NaN,14.32367755,2,34.31640886,2,,,,,
West Gabbard,West Gabbard,1977,8,15,0,0,51.9528,2.1089,0,NaN,16.77847283,2,34.60896239,2,,,,,
West Gabbard,West Gabbard,1977,9,15,0,0,51.9528,2.1089,0,NaN,16.06167261,2,34.91877109,2,,,,,
West Gabbard,West Gabbard,1977,10,15,0,0,51.9528,2.1089,0,NaN,14.52006117,2,34.95720305,2,,,,,
West Gabbard,West Gabbard,1977,11,15,0,0,51.9528,2.1089,0,NaN,11.93761653,2,34.81602441,2,,,,,
West Gabbard,West Gabbard,1977,12,15,0,0,51.9528,2.1089,0,NaN,10.10142966,2,34.72190531,2,,,,,
West Gabbard,West Gabbard,1978,1,15,0,0,51.9528,2.1089,0,NaN,7.126217784,2,34.81210278,2,,,,,
West Gabbard,West Gabbard,1978,2,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1978,3,15,0,0,51.9528,2.1089,0,NaN,6.517428554,2,34.93445761,2,,,,,
West Gabbard,West Gabbard,1978,4,15,0,0,51.9528,2.1089,0,NaN,6.173757215,2,34.27091797,2,,,,,
West Gabbard,West Gabbard,1978,5,15,0,0,51.9528,2.1089,0,NaN,9.414086985,2,34.63013919,2,,,,,
West Gabbard,West Gabbard,1978,6,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1978,7,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1978,8,15,0,0,51.9528,2.1089,0,NaN,15.99293834,2,34.63327649,2,,,,,
West Gabbard,West Gabbard,1978,9,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1978,10,15,0,0,51.9528,2.1089,0,NaN,14.61825298,2,34.60268779,2,,,,,
West Gabbard,West Gabbard,1978,11,15,0,0,51.9528,2.1089,0,NaN,11.57430683,2,34.64504138,2,,,,,
West Gabbard,West Gabbard,1978,12,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1979,1,15,0,0,51.9528,2.1089,0,NaN,3.522578312,2,34.26934932,2,,,,,
West Gabbard,West Gabbard,1979,2,15,0,0,51.9528,2.1089,0,NaN,4.308112802,2,34.89994727,2,,,,,
West Gabbard,West Gabbard,1979,3,15,0,0,51.9528,2.1089,0,NaN,4.583049873,2,34.4936665,2,,,,,
West Gabbard,West Gabbard,1979,4,15,0,0,51.9528,2.1089,0,NaN,6.713812177,2,34.91014351,2,,,,,
West Gabbard,West Gabbard,1979,5,15,0,0,51.9528,2.1089,0,NaN,9.060596465,2,34.52347088,2,,,,,
West Gabbard,West Gabbard,1979,6,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1979,7,15,0,0,51.9528,2.1089,0,NaN,15.89474653,2,34.62543323,2,,,,,
West Gabbard,West Gabbard,1979,8,15,0,0,51.9528,2.1089,0,NaN,16.87666464,2,34.69602256,2,,,,,
West Gabbard,West Gabbard,1979,9,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1979,10,15,0,0,51.9528,2.1089,0,NaN,14.96192432,2,34.90622188,2,,,,,
West Gabbard,West Gabbard,1979,11,15,0,0,51.9528,2.1089,0,NaN,12.35984132,2,34.99641934,2,,,,,
West Gabbard,West Gabbard,1979,12,15,0,0,51.9528,2.1089,0,NaN,11.08334778,2,34.98779176,2,,,,,
West Gabbard,West Gabbard,1980,1,15,0,0,51.9528,2.1089,0,NaN,7.253867138,2,35.03171401,2,,,,,
West Gabbard,West Gabbard,1980,2,15,0,0,51.9528,2.1089,0,NaN,6.939653343,2,35.00504693,2,,,,,
West Gabbard,West Gabbard,1980,3,15,0,0,51.9528,2.1089,0,NaN,6.399598381,2,34.82543632,2,,,,,
West Gabbard,West Gabbard,1980,4,15,0,0,51.9528,2.1089,0,NaN,7.126217784,2,34.29131044,2,,,,,
West Gabbard,West Gabbard,1980,5,15,0,0,51.9528,2.1089,0,NaN,8.039401628,2,34.29523207,2,,,,,
West Gabbard,West Gabbard,1980,6,15,0,0,51.9528,2.1089,0,NaN,12.94899219,2,34.46386212,2,,,,,
West Gabbard,West Gabbard,1980,7,15,0,0,51.9528,2.1089,0,NaN,14.64771052,2,34.76739621,2,,,,,
West Gabbard,West Gabbard,1980,8,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1980,9,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1980,10,15,0,0,51.9528,2.1089,0,NaN,14.71644479,2,34.79249463,2,,,,,
West Gabbard,West Gabbard,1980,11,15,0,0,51.9528,2.1089,0,NaN,10.64148463,2,34.82308334,2,,,,,
West Gabbard,West Gabbard,1980,12,15,0,0,51.9528,2.1089,0,NaN,6.861099894,2,34.52033358,2,,,,,
West Gabbard,West Gabbard,1981,1,15,0,0,51.9528,2.1089,0,NaN,5.388222725,2,34.47170538,2,,,,,
West Gabbard,West Gabbard,1981,2,15,0,0,51.9528,2.1089,0,NaN,5.290030914,2,34.55562824,2,,,,,
West Gabbard,West Gabbard,1981,3,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1981,4,15,0,0,51.9528,2.1089,0,NaN,7.253867138,2,34.22699572,2,,,,,
West Gabbard,West Gabbard,1981,5,15,0,0,51.9528,2.1089,0,NaN,11.18153959,2,34.36974302,2,,,,,
West Gabbard,West Gabbard,1981,6,15,0,0,51.9528,2.1089,0,NaN,13.34175943,2,34.58621694,2,,,,,
West Gabbard,West Gabbard,1981,7,15,0,0,51.9528,2.1089,0,NaN,15.89474653,2,34.54072605,2,,,,,
West Gabbard,West Gabbard,1981,8,15,0,0,51.9528,2.1089,0,NaN,17.22033598,2,34.48347026,2,,,,,
West Gabbard,West Gabbard,1981,9,15,0,0,51.9528,2.1089,0,NaN,17.36762369,2,34.4026847,2,,,,,
West Gabbard,West Gabbard,1981,10,15,0,0,51.9528,2.1089,0,NaN,15.47252174,2,34.79484761,2,,,,,
West Gabbard,West Gabbard,1981,11,15,0,0,51.9528,2.1089,0,NaN,11.57430683,2,34.82622064,2,,,,,
West Gabbard,West Gabbard,1981,12,15,0,0,51.9528,2.1089,0,NaN,NaN,2,34.76661188,2,,,,,
West Gabbard,West Gabbard,1982,1,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1982,2,15,0,0,51.9528,2.1089,0,NaN,7.646634383,2,34.53288279,2,,,,,
West Gabbard,West Gabbard,1982,3,15,0,0,51.9528,2.1089,0,NaN,7.518985029,2,34.69210093,2,,,,,
West Gabbard,West Gabbard,1982,4,15,0,0,51.9528,2.1089,0,NaN,10.69058053,2,34.89131969,2,,,,,
West Gabbard,West Gabbard,1982,5,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1982,6,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1982,7,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1982,8,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1982,9,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1982,10,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1982,11,15,0,0,51.9528,2.1089,0,NaN,NaN,2,34.68033604,2,,,,,
West Gabbard,West Gabbard,1982,12,15,0,0,51.9528,2.1089,0,NaN,10.78877234,2,34.90465322,2,,,,,
West Gabbard,West Gabbard,1983,1,15,0,0,51.9528,2.1089,0,NaN,NaN,2,NaN,2,,,,,
West Gabbard,West Gabbard,1983,2,15,0,0,51.9528,2.1089,0,NaN,3.817153746,2,34.37680195,2,,,,,
West Gabbard,West Gabbard,1983,3,15,0,0,51.9528,2.1089,0,NaN,5.290030914,2,34.43562639,2,,,,,
West Gabbard,West Gabbard,1983,4,15,0,0,51.9528,2.1089,0,NaN,7.420793218,2,34.58151099,2,,,,,
West Gabbard,West Gabbard,1983,5,15,0,0,51.9528,2.1089,0,NaN,10.0817913,2,34.74935671,2,,,,,
