Box Name: 02 Shet-Fei-noti
Data Source: SGMD
Data Contact: Bee Berx (barbara.berx@gov.scot); Berit Rabe (berit.rabe@gov.scot)
Comment/Note (incl. method description): HydCem Database Extraction - everything in polygon described by boundaries; exclude data from _db.hyd
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
EX192400,  50,1924,07,29,14,45,  60.7500,   3.0000, 197, 190,    7.770,  0,   35.330,  0
EX192400,  50,1924,07,29,14,45,  60.7500,   3.0000, 197, 150,    8.200,  0,   35.310,  0
EX192400,  50,1924,07,29,14,45,  60.7500,   3.0000, 197, 100,    8.700,  0,   35.350,  0
EX192400,  50,1924,07,29,14,45,  60.7500,   3.0000, 197,  80,    8.870,  0,   35.350,  0
EX192400,  50,1924,07,29,14,45,  60.7500,   3.0000, 197,  60,    8.940,  0,   35.330,  0
EX192400,  50,1924,07,29,14,45,  60.7500,   3.0000, 197,  40,    8.990,  0,   35.280,  0
EX192400,  50,1924,07,29,14,45,  60.7500,   3.0000, 197,  30,    9.070,  0,   35.170,  0
EX192400,  50,1924,07,29,14,45,  60.7500,   3.0000, 197,  20,    9.450,  0,   35.040,  0
EX192400,  50,1924,07,29,14,45,  60.7500,   3.0000, 197,  10,   11.240,  0,   34.710,  0
EX192400,  50,1924,07,29,14,45,  60.7500,   3.0000, 197,   0,   13.650,  0,   32.470,  0
EX192600,   8,1926,09,14,21,45,  60.7500,   2.5000, 124,   0,   12.070,  0,   35.260,  0
EX192600,   8,1926,09,14,21,45,  60.7500,   2.5000, 124,  10,   12.080,  0,   35.370,  0
EX192600,   8,1926,09,14,21,45,  60.7500,   2.5000, 124,  20,   12.080,  0,   35.350,  0
EX192600,   8,1926,09,14,21,45,  60.7500,   2.5000, 124,  30,   12.050,  0,   35.350,  0
EX192600,   8,1926,09,14,21,45,  60.7500,   2.5000, 124,  40,   11.880,  0,   35.350,  0
EX192600,   8,1926,09,14,21,45,  60.7500,   2.5000, 124,  60,    9.220,  0,   35.430,  0
EX192600,   8,1926,09,14,21,45,  60.7500,   2.5000, 124,  80,    8.900,  0,   35.350,  0
EX192600,   8,1926,09,14,21,45,  60.7500,   2.5000, 124, 120,    7.700,  0,   35.280,  0
EX192800,  25,1928,06,08,17,00,  60.5833,   2.6000, 118,   0,    9.310,  0,   33.820,  0
EX192800,  25,1928,06,08,17,00,  60.5833,   2.6000, 118,  10,    9.310,  0,   33.780,  0
EX192800,  25,1928,06,08,17,00,  60.5833,   2.6000, 118,  20,    9.110,  0,   33.910,  4
EX192800,  25,1928,06,08,17,00,  60.5833,   2.6000, 118,  30,    8.280,  0,   35.320,  0
