Box Name: 03 Shet-Fei-nocc
Data Source: SGMD
Data Contact: Bee Berx (barbara.berx@gov.scot); Berit Rabe (berit.rabe@gov.scot)
Comment/Note (incl. method description): HydCem Database Extraction - everything in polygon described by boundaries; exclude data from _db.hyd
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
EX192600,   7,1926,09,14,13,30,  60.7000,   4.2500, 333,   0,   12.910,  0,   34.750,  0
EX192600,   7,1926,09,14,13,30,  60.7000,   4.2500, 333,  10,   12.560,  0,   32.030,  4
EX192600,   7,1926,09,14,13,30,  60.7000,   4.2500, 333,  20,   12.570,  0,   33.370,  4
EX192600,   7,1926,09,14,13,30,  60.7000,   4.2500, 333,  30,   11.300,  0,   34.660,  0
EX192600,   7,1926,09,14,13,30,  60.7000,   4.2500, 333,  40,    8.210,  0,   34.600,  0
EX192600,   7,1926,09,14,13,30,  60.7000,   4.2500, 333,  60,    8.940,  0,   35.220,  0
EX192600,   7,1926,09,14,13,30,  60.7000,   4.2500, 333, 100,    9.060,  0,   35.340,  0
EX192600,   7,1926,09,14,13,30,  60.7000,   4.2500, 333, 200,    8.450,  0,   35.290,  0
EX192600,   7,1926,09,14,13,30,  60.7000,   4.2500, 333, 300,    6.640,  0,   35.140,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284,   0,    8.640,  0,   33.260,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284,  10,    7.880,  0,   33.310,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284,  20,    7.680,  0,   33.390,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284,  30,    7.260,  0,   33.490,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284,  35,    7.210,  0,  -99.999,  9
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284,  40,    6.290,  0,   34.190,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284,  60,    6.340,  0,   34.610,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284,  80,    6.540,  0,   34.730,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284, 100,    6.730,  0,   34.880,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284, 120,    6.840,  0,   34.970,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284, 140,    6.980,  0,   35.070,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284, 180,    7.220,  0,   35.170,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284, 200,    7.100,  0,   35.430,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284, 250,    6.910,  0,   35.200,  0
EX192700,  21,1927,06,02,20,00,  59.8000,   4.5333, 284, 280,    6.910,  0,   35.170,  0
EX192700,  22,1927,06,05,21,25,  60.6167,   4.5167, 330,   0,    9.100,  0,   33.110,  0
EX192700,  22,1927,06,05,21,25,  60.6167,   4.5167, 330,  10,    8.560,  0,   33.150,  0
EX192700,  22,1927,06,05,21,25,  60.6167,   4.5167, 330,  20,    7.010,  0,   33.290,  0
EX192700,  22,1927,06,05,21,25,  60.6167,   4.5167, 330,  30,    7.010,  0,   33.290,  0
EX192700,  22,1927,06,05,21,25,  60.6167,   4.5167, 330,  40,    6.310,  0,   34.040,  0
EX192700,  22,1927,06,05,21,25,  60.6167,   4.5167, 330,  60,    6.220,  0,   34.400,  0
EX192700,  22,1927,06,05,21,25,  60.6167,   4.5167, 330,  80,    6.900,  0,   34.610,  0
EX192700,  22,1927,06,05,21,25,  60.6167,   4.5167, 330, 100,    6.710,  0,   34.820,  0
EX192700,  22,1927,06,05,21,25,  60.6167,   4.5167, 330, 200,    7.230,  0,   35.150,  0
EX192700,  22,1927,06,05,21,25,  60.6167,   4.5167, 330, 300,    6.890,  0,   35.130,  0
EX193400,  55,1934,07,12,17,15,  60.1167,   4.2167, 294,   0,   13.070,  0,   32.150,  0
EX193400,  55,1934,07,12,17,15,  60.1167,   4.2167, 294,  10,   12.560,  0,   32.160,  0
EX193400,  55,1934,07,12,17,15,  60.1167,   4.2167, 294,  20,   10.700,  0,   32.720,  4
EX193400,  55,1934,07,12,17,15,  60.1167,   4.2167, 294,  30,    7.480,  0,   34.490,  0
EX193400,  55,1934,07,12,17,15,  60.1167,   4.2167, 294,  40,    7.230,  0,   34.880,  0
EX193400,  55,1934,07,12,17,15,  60.1167,   4.2167, 294,  60,    7.970,  0,   35.170,  0
EX193400,  55,1934,07,12,17,15,  60.1167,   4.2167, 294,  80,    8.430,  0,   35.370,  0
EX193400,  55,1934,07,12,17,15,  60.1167,   4.2167, 294, 100,    8.650,  0,   35.280,  0
EX193400,  55,1934,07,12,17,15,  60.1167,   4.2167, 294, 150,    8.030,  0,   35.300,  0
EX193400,  55,1934,07,12,17,15,  60.1167,   4.2167, 294, 200,    7.640,  0,   35.300,  0
EX193400,  55,1934,07,12,17,15,  60.1167,   4.2167, 294, 290,    7.230,  0,  -99.999,  9
EX193500,  37,1935,04,15,08,30,  60.1167,   4.2167, 295,   0,    4.800,  0,   33.280,  0
EX193500,  37,1935,04,15,08,30,  60.1167,   4.2167, 295,  10,    5.200,  0,   33.730,  0
EX193500,  37,1935,04,15,08,30,  60.1167,   4.2167, 295,  20,    5.670,  0,   34.080,  0
EX193500,  37,1935,04,15,08,30,  60.1167,   4.2167, 295,  30,    6.010,  0,   34.310,  0
EX193500,  37,1935,04,15,08,30,  60.1167,   4.2167, 295,  40,    6.100,  0,   34.420,  0
EX193500,  37,1935,04,15,08,30,  60.1167,   4.2167, 295,  60,    6.800,  0,   34.690,  0
EX193500,  37,1935,04,15,08,30,  60.1167,   4.2167, 295,  80,    7.540,  0,   34.870,  0
EX193500,  37,1935,04,15,08,30,  60.1167,   4.2167, 295, 100,    7.510,  0,   35.090,  0
EX193500,  37,1935,04,15,08,30,  60.1167,   4.2167, 295, 200,    7.440,  0,   35.330,  0
EX193500,  37,1935,04,15,08,30,  60.1167,   4.2167, 295, 290,    7.450,  0,   35.370,  0
EX193600,  48,1936,04,11,01,20,  59.9333,   4.2167, 370,   0,    4.900,  0,   33.100,  0
EX193600,  48,1936,04,11,01,20,  59.9333,   4.2167, 370,  10,    4.900,  0,   33.100,  0
EX193600,  48,1936,04,11,01,20,  59.9333,   4.2167, 370,  20,    4.900,  0,   33.110,  0
EX193600,  48,1936,04,11,01,20,  59.9333,   4.2167, 370,  30,    5.000,  0,   33.280,  0
EX193600,  48,1936,04,11,01,20,  59.9333,   4.2167, 370,  40,    5.600,  0,   34.140,  0
EX193600,  48,1936,04,11,01,20,  59.9333,   4.2167, 370,  60,    6.300,  0,   34.640,  0
EX193600,  48,1936,04,11,01,20,  59.9333,   4.2167, 370,  80,    6.400,  0,   34.880,  0
EX193600,  48,1936,04,11,01,20,  59.9333,   4.2167, 370, 100,    6.410,  0,   34.970,  0
EX193600,  48,1936,04,11,01,20,  59.9333,   4.2167, 370, 200,  -99.990,  9,  -99.999,  9
EX193600,  48,1936,04,11,01,20,  59.9333,   4.2167, 370, 360,    6.230,  0,   35.440,  0
EX194700,   3,1947,07,16,19,10,  60.0667,   4.0167, 289,   0,   16.020,  0,   33.960,  0
EX194700,   3,1947,07,16,19,10,  60.0667,   4.0167, 289,  10,   14.290,  0,   34.200,  0
EX194700,   3,1947,07,16,19,10,  60.0667,   4.0167, 289,  20,    9.770,  0,   34.580,  0
EX194700,   3,1947,07,16,19,10,  60.0667,   4.0167, 289,  30,    9.160,  0,   34.580,  0
EX194700,   3,1947,07,16,19,10,  60.0667,   4.0167, 289,  40,    9.240,  0,   35.160,  0
EX194700,   3,1947,07,16,19,10,  60.0667,   4.0167, 289,  60,    8.750,  0,   35.230,  0
EX194700,   3,1947,07,16,19,10,  60.0667,   4.0167, 289,  80,    8.480,  0,   35.230,  0
EX194700,   3,1947,07,16,19,10,  60.0667,   4.0167, 289, 100,    8.520,  0,   35.300,  0
EX194700,   3,1947,07,16,19,10,  60.0667,   4.0167, 289, 150,    8.530,  0,   35.260,  0
EX194700,   3,1947,07,16,19,10,  60.0667,   4.0167, 289, 200,    7.740,  0,   35.390,  0
EX194700,   3,1947,07,16,19,10,  60.0667,   4.0167, 289, 285,    4.830,  0,   35.030,  0
EX194700,   4,1947,07,16,22,30,  60.0667,   4.5000, 293,   0,   17.060,  0,   32.430,  0
EX194700,   4,1947,07,16,22,30,  60.0667,   4.5000, 293,  10,   12.810,  0,   33.400,  4
EX194700,   4,1947,07,16,22,30,  60.0667,   4.5000, 293,  20,    8.730,  0,   34.400,  0
EX194700,   4,1947,07,16,22,30,  60.0667,   4.5000, 293,  30,    8.430,  0,   34.920,  0
EX194700,   4,1947,07,16,22,30,  60.0667,   4.5000, 293,  40,    7.420,  0,   34.850,  0
EX194700,   4,1947,07,16,22,30,  60.0667,   4.5000, 293,  60,    8.650,  0,   35.240,  0
EX194700,   4,1947,07,16,22,30,  60.0667,   4.5000, 293,  80,    8.700,  0,   35.250,  0
EX194700,   4,1947,07,16,22,30,  60.0667,   4.5000, 293, 100,    8.480,  0,   35.230,  0
EX194700,   4,1947,07,16,22,30,  60.0667,   4.5000, 293, 150,    8.480,  0,   35.230,  0
EX194700,   4,1947,07,16,22,30,  60.0667,   4.5000, 293, 200,    8.260,  0,   35.160,  0
EX194700,   4,1947,07,16,22,30,  60.0667,   4.5000, 293, 290,    4.980,  0,   34.960,  0
EX194700,   5,1947,07,17,01,30,  60.0833,   5.0000, 160,   0,   16.850,  0,   30.730,  0
EX194700,   5,1947,07,17,01,30,  60.0833,   5.0000, 160,  10,   15.590,  0,   31.040,  4
EX194700,   5,1947,07,17,01,30,  60.0833,   5.0000, 160,  20,   11.570,  0,   32.120,  4
EX194700,   5,1947,07,17,01,30,  60.0833,   5.0000, 160,  30,    7.330,  0,   33.730,  0
EX194700,   5,1947,07,17,01,30,  60.0833,   5.0000, 160,  40,    6.940,  0,   34.070,  0
EX194700,   5,1947,07,17,01,30,  60.0833,   5.0000, 160, 600,    6.440,  0,  -99.999,  9
EX194700,   5,1947,07,17,01,30,  60.0833,   5.0000, 160,  80,    6.220,  0,   34.610,  0
EX194700,   5,1947,07,17,01,30,  60.0833,   5.0000, 160, 100,    6.080,  0,   34.620,  0
EX194700,   5,1947,07,17,01,30,  60.0833,   5.0000, 160, 155,    6.330,  0,   34.920,  0
EX194700,   6,1947,07,21,17,10,  61.0167,   4.5000, 110,   0,   18.160,  0,  -99.999,  9
EX194700,   6,1947,07,21,17,10,  61.0167,   4.5000, 110,  10,   15.160,  0,   31.220,  0
EX194700,   6,1947,07,21,17,10,  61.0167,   4.5000, 110,  20,   10.130,  0,   32.920,  4
EX194700,   6,1947,07,21,17,10,  61.0167,   4.5000, 110,  30,    8.230,  0,   34.090,  0
EX194700,   6,1947,07,21,17,10,  61.0167,   4.5000, 110,  40,    7.830,  0,   34.440,  0
EX194700,   6,1947,07,21,17,10,  61.0167,   4.5000, 110,  60,    8.230,  0,  -99.999,  9
EX194700,   6,1947,07,21,17,10,  61.0167,   4.5000, 110,  80,    7.380,  0,   34.940,  0
EX194700,   6,1947,07,21,17,10,  61.0167,   4.5000, 110, 100,    7.590,  0,   35.010,  0
EX194700,   7,1947,07,21,19,50,  61.0167,   4.0000, 345,   0,   17.980,  0,   33.090,  0
EX194700,   7,1947,07,21,19,50,  61.0167,   4.0000, 345,  10,   16.460,  0,   32.970,  4
EX194700,   7,1947,07,21,19,50,  61.0167,   4.0000, 345,  20,   12.350,  0,   34.130,  0
EX194700,   7,1947,07,21,19,50,  61.0167,   4.0000, 345,  30,    8.890,  0,   34.360,  0
EX194700,   7,1947,07,21,19,50,  61.0167,   4.0000, 345,  40,    7.620,  0,   34.630,  0
EX194700,   7,1947,07,21,19,50,  61.0167,   4.0000, 345,  60,    7.910,  0,   34.940,  0
EX194700,   7,1947,07,21,19,50,  61.0167,   4.0000, 345,  80,    8.490,  0,   35.230,  0
EX194700,   7,1947,07,21,19,50,  61.0167,   4.0000, 345, 100,    8.250,  0,   35.160,  0
EX194700,   7,1947,07,21,19,50,  61.0167,   4.0000, 345, 150,    7.360,  0,   35.080,  0
EX194700,   7,1947,07,21,19,50,  61.0167,   4.0000, 345, 200,    7.550,  0,   35.160,  0
EX194700,   7,1947,07,21,19,50,  61.0167,   4.0000, 345, 330,    4.490,  0,   34.960,  0
EX194800,  24,1948,09,05,15,00,  61.0167,   4.5000, 155,   0,   14.660,  0,   32.190,  0
EX194800,  24,1948,09,05,15,00,  61.0167,   4.5000, 155,  10,   14.660,  0,   32.190,  0
EX194800,  24,1948,09,05,15,00,  61.0167,   4.5000, 155,  20,   14.660,  0,   32.280,  0
EX194800,  24,1948,09,05,15,00,  61.0167,   4.5000, 155,  30,   14.450,  0,  -99.999,  9
EX194800,  24,1948,09,05,15,00,  61.0167,   4.5000, 155,  40,   13.550,  0,   33.310,  0
EX194800,  24,1948,09,05,15,00,  61.0167,   4.5000, 155,  60,    9.930,  0,   34.480,  0
EX194800,  24,1948,09,05,15,00,  61.0167,   4.5000, 155,  80,    9.240,  0,   34.570,  0
EX194800,  24,1948,09,05,15,00,  61.0167,   4.5000, 155, 100,    8.300,  0,   34.840,  0
EX194800,  24,1948,09,05,15,00,  61.0167,   4.5000, 155, 150,    7.970,  0,   35.000,  0
EX194800,  25,1948,09,05,17,05,  61.0167,   4.0000, 350,   0,   12.850,  0,   33.350,  0
EX194800,  25,1948,09,05,17,05,  61.0167,   4.0000, 350,  10,   12.850,  0,   33.350,  0
EX194800,  25,1948,09,05,17,05,  61.0167,   4.0000, 350,  20,   12.650,  0,   33.510,  4
EX194800,  25,1948,09,05,17,05,  61.0167,   4.0000, 350,  30,   10.260,  0,   35.060,  0
EX194800,  25,1948,09,05,17,05,  61.0167,   4.0000, 350,  40,    9.140,  0,   35.080,  0
EX194800,  25,1948,09,05,17,05,  61.0167,   4.0000, 350,  60,    9.500,  0,   35.360,  0
EX194800,  25,1948,09,05,17,05,  61.0167,   4.0000, 350,  80,    9.280,  0,   35.360,  0
EX194800,  25,1948,09,05,17,05,  61.0167,   4.0000, 350, 100,    9.130,  0,   35.360,  0
EX194800,  25,1948,09,05,17,05,  61.0167,   4.0000, 350, 150,    8.860,  0,   35.360,  0
EX194800,  25,1948,09,05,17,05,  61.0167,   4.0000, 350, 200,  -99.990,  9,   35.360,  0
EX194800,  25,1948,09,05,17,05,  61.0167,   4.0000, 350, 300,    7.910,  0,   35.270,  0
EX194800,  25,1948,09,05,17,05,  61.0167,   4.0000, 350, 345,    6.950,  0,   35.220,  0
EX194900,  41,1949,06,12,03,55,  60.0667,   4.0167, 284,   0,   10.570,  0,   33.740,  0
EX194900,  41,1949,06,12,03,55,  60.0667,   4.0167, 284,  10,   10.440,  0,   34.330,  0
EX194900,  41,1949,06,12,03,55,  60.0667,   4.0167, 284,  20,    9.310,  0,   34.880,  0
EX194900,  41,1949,06,12,03,55,  60.0667,   4.0167, 284,  30,    8.890,  0,   35.050,  0
EX194900,  41,1949,06,12,03,55,  60.0667,   4.0167, 284,  40,    7.730,  0,   34.920,  0
EX194900,  41,1949,06,12,03,55,  60.0667,   4.0167, 284,  50,    8.160,  0,   35.130,  0
