Box Name: 10 Abd-Han-east
Data Source: SGMD
Data Contact: Bee Berx (barbara.berx@gov.scot); Berit Rabe (berit.rabe@gov.scot)
Comment/Note (incl. method description): HydCem Database Extraction - everything in polygon described by boundaries; exclude data from _db.hyd
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
EX192900,  49,1929,09,12,21,50,  56.7667,   6.5167,  48,   0,   14.580,  0,   34.340,  0
EX192900,  49,1929,09,12,21,50,  56.7667,   6.5167,  48,  10,   14.580,  0,   34.370,  0
EX192900,  49,1929,09,12,21,50,  56.7667,   6.5167,  48,  20,   14.580,  0,   34.400,  0
EX192900,  49,1929,09,12,21,50,  56.7667,   6.5167,  48,  30,   14.420,  0,   34.450,  0
EX192900,  49,1929,09,12,21,50,  56.7667,   6.5167,  48,  45,    9.650,  0,   34.270,  0
EX194900,  30,1949,07,26,11,15,  56.8333,   5.1667,  57,   0,   15.770,  0,   32.560,  0
EX194900,  30,1949,07,26,11,15,  56.8333,   5.1667,  57,  10,   15.490,  0,   32.750,  0
EX194900,  30,1949,07,26,11,15,  56.8333,   5.1667,  57,  20,   14.410,  0,   33.150,  4
EX194900,  30,1949,07,26,11,15,  56.8333,   5.1667,  57,  30,   11.440,  0,   34.790,  0
EX194900,  30,1949,07,26,11,15,  56.8333,   5.1667,  57,  40,    8.100,  0,   34.820,  0
EX194900,  30,1949,07,26,11,15,  56.8333,   5.1667,  57,  50,    7.930,  0,   34.830,  0
SC194900,  10,1949,04,01,08,45,  56.8333,   5.1667,  61,   0,    5.480,  0,   34.850,  0
SC194900,  10,1949,04,01,08,45,  56.8333,   5.1667,  61,  10,    5.440,  0,   34.840,  0
SC194900,  10,1949,04,01,08,45,  56.8333,   5.1667,  61,  20,    5.470,  0,   34.880,  0
SC194900,  10,1949,04,01,08,45,  56.8333,   5.1667,  61,  30,    5.490,  0,   34.930,  0
SC194900,  10,1949,04,01,08,45,  56.8333,   5.1667,  61,  40,    5.550,  0,   34.910,  0
SC194900,  10,1949,04,01,08,45,  56.8333,   5.1667,  61,  55,    5.400,  0,   34.980,  0
EX195400,  18,1954,07,04,18,50,  57.0000,   5.0000,  62,   0,   13.000,  0,   34.820,  0
EX195400,  18,1954,07,04,18,50,  57.0000,   5.0000,  62,  10,   12.910,  0,  -99.999,  9
EX195400,  18,1954,07,04,18,50,  57.0000,   5.0000,  62,  20,   12.220,  0,   35.080,  0
EX195400,  18,1954,07,04,18,50,  57.0000,   5.0000,  62,  30,    7.360,  0,  -99.999,  9
EX195400,  18,1954,07,04,18,50,  57.0000,   5.0000,  62,  40,    6.820,  0,  -99.999,  9
EX195400,  18,1954,07,04,18,50,  57.0000,   5.0000,  62,  50,    6.800,  0,  -99.999,  9
EX195400,  18,1954,07,04,18,50,  57.0000,   5.0000,  62,  60,    6.780,  0,   35.080,  0
SC195400,  33,1954,03,15,22,25,  57.0000,   5.0000,  53,   0,    5.070,  0,   35.170,  0
SC195400,  33,1954,03,15,22,25,  57.0000,   5.0000,  53,  10,    5.070,  0,  -99.999,  9
SC195400,  33,1954,03,15,22,25,  57.0000,   5.0000,  53,  50,    5.070,  0,   35.170,  0
EX195500,   7,1955,06,25,08,20,  57.0000,   5.0000,  51,   0,   11.180,  0,   35.250,  0
EX195500,   7,1955,06,25,08,20,  57.0000,   5.0000,  51,  48,    6.190,  0,   35.040,  0
EX195500,  34,1955,03,12,19,15,  57.0000,   5.0000,  55,   0,    4.300,  0,   35.050,  0
EX195500,  34,1955,03,12,19,15,  57.0000,   5.0000,  55,  10,    4.310,  0,   35.030,  0
EX195500,  34,1955,03,12,19,15,  57.0000,   5.0000,  55,  20,    4.280,  0,   35.040,  0
EX195500,  34,1955,03,12,19,15,  57.0000,   5.0000,  55,  30,    4.250,  0,   35.050,  0
EX195500,  34,1955,03,12,19,15,  57.0000,   5.0000,  55,  40,    4.250,  0,   35.060,  0
EX195500,  34,1955,03,12,19,15,  57.0000,   5.0000,  55,  50,    4.260,  0,   35.120,  0
EX195500,  89,1955,05,23,01,10,  57.0000,   5.0000,  54,   0,    6.220,  0,   35.080,  0
EX195500,  89,1955,05,23,01,10,  57.0000,   5.0000,  54,  50,    6.100,  0,   35.080,  0
EX195600,  10,1956,04,24,14,15,  57.0000,   5.0000,  54,   0,    5.340,  0,   34.870,  0
EX195600,  10,1956,04,24,14,15,  57.0000,   5.0000,  54,  50,    3.880,  0,   34.900,  0
EX195600,  11,1956,04,24,17,45,  57.0000,   5.0000,  82,   0,    5.880,  0,   34.870,  0
EX195600,  11,1956,04,24,17,45,  57.0000,   5.0000,  82,  50,    5.620,  0,   35.080,  0
EX196508, 245,1965,10,21,05,15,  56.7500,   5.7500,  55,   0,   12.070,  1,   34.567,  1
EX196508, 245,1965,10,21,05,15,  56.7500,   5.7500,  55,  47,    6.770,  1,   34.973,  1
SC196509, 234,1965,10,15,02,30,  57.2500,   5.5000,  68,   0,   11.880,  1,   33.922,  1
