Box Name: 12 Skag-AW
Data Source: SGMD
Data Contact: Bee Berx (barbara.berx@gov.scot); Berit Rabe (berit.rabe@gov.scot)
Comment/Note (incl. method description): HydCem Database Extraction - everything in polygon described by boundaries; exclude data from _db.hyd
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
SC196108, 293,1961,10,24,13,35,  57.6083,   8.7000,  91,   0,   13.560,  2,   34.219,  1
SC196108, 293,1961,10,24,13,35,  57.6083,   8.7000,  91,  85,   13.270,  2,   34.553,  1
SC196502,   9,1965,03,20,07,20,  57.6617,   9.1417,  26,   0,    4.310,  1,   34.147,  1
SC196502,   9,1965,03,20,07,20,  57.6617,   9.1417,  26,  45,    4.190,  0,   34.372,  0
SC196509, 239,1965,10,16,10,50,  57.7500,   8.5000, 415,   0,   12.330,  1,   29.161,  1
SC196509, 242,1965,10,16,19,00,  58.0000,  10.0000, 115,   0,   11.980,  0,   28.396,  0
SC196603,  59,1966,05,02,15,15,  58.0000,  10.0000,  95,   0,    6.700,  0,   26.680,  0
SC197003,  68,1970,05,16,22,00,  57.7500,   8.5000, 351,   0,    8.810,  1,   30.805,  1
SC197003,  68,1970,05,16,22,00,  57.7500,   8.5000, 351, 352,    5.300,  0,   35.047,  0
SC197003,  69,1970,05,17,01,40,  57.5000,   8.0000, 161,   0,    6.450,  1,   31.040,  1
SC197003,  69,1970,05,17,01,40,  57.5000,   8.0000, 161, 161,    5.110,  0,   34.983,  0
MF198901,   7,1989,04,12,19,20,  57.5707,   8.4788, 105,   0,    7.210,  1,   35.028,  2
MF198901,   7,1989,04,12,19,20,  57.5707,   8.4788, 105,  10,    7.140,  1,   35.046,  2
MF198901,   7,1989,04,12,19,20,  57.5707,   8.4788, 105,  20,    7.120,  1,   35.039,  1
MF198901,   7,1989,04,12,19,20,  57.5707,   8.4788, 105,  40,    7.070,  1,   35.041,  1
MF198901,   7,1989,04,12,19,20,  57.5707,   8.4788, 105,  60,    7.050,  1,   35.039,  1
MF198901,   7,1989,04,12,19,20,  57.5707,   8.4788, 105, 102,    7.050,  1,   35.052,  1
