Box Name: 16 Cont-Coast
Data Source: SGMD
Data Contact: Bee Berx (barbara.berx@gov.scot); Berit Rabe (berit.rabe@gov.scot)
Comment/Note (incl. method description): HydCem Database Extraction - everything in polygon described by boundaries; exclude data from _db.hyd
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
SC196007, 205,1960,08,19,15,25,  54.6083,   6.3833,  37,   0,   16.390,  1,   34.615,  1
SC196007, 205,1960,08,19,15,25,  54.6083,   6.3833,  37,  10,   16.380,  1,   34.632,  1
SC196007, 205,1960,08,19,15,25,  54.6083,   6.3833,  37,  20,   16.380,  1,   34.636,  1
SC196007, 205,1960,08,19,15,25,  54.6083,   6.3833,  37,  30,   16.380,  1,   34.638,  1
SC196108, 288,1961,10,16,11,30,  54.5167,   6.2667,  38,   0,   15.640,  1,   34.411,  1
SC196108, 288,1961,10,16,11,30,  54.5167,   6.2667,  38,  35,   15.640,  1,   34.421,  1
SC196108, 289,1961,10,16,16,35,  54.6667,   5.6500,  40,   0,   15.530,  2,   34.582,  1
SC196108, 289,1961,10,16,16,35,  54.6667,   5.6500,  40,  35,   15.500,  2,   34.583,  1
EX196408, 125,1964,09,27,14,55,  55.1667,   5.7167,  40,   0,   14.060,  1,   34.650,  1
EX196408, 125,1964,09,27,14,55,  55.1667,   5.7167,  40,  35,   13.490,  1,   34.733,  1
EX196508, 239,1965,10,19,21,30,  55.1667,   5.7167,  40,   0,   13.140,  1,   34.793,  1
EX196508, 239,1965,10,19,21,30,  55.1667,   5.7167,  40,  37,   13.140,  1,   34.799,  1
EX196508, 240,1965,10,20,06,00,  54.6333,   6.6333,  37,   0,   13.970,  1,   34.413,  1
EX196508, 240,1965,10,20,06,00,  54.6333,   6.6333,  37,  35,   14.090,  1,   34.442,  1
EX196508, 241,1965,10,20,12,00,  54.8667,   6.2000,  37,   0,   13.890,  1,   34.566,  1
EX196508, 241,1965,10,20,12,00,  54.8667,   6.2000,  37,  35,   13.930,  1,   34.596,  1
EX196508, 242,1965,10,20,13,30,  55.0833,   6.1333,  37,   0,   13.770,  1,   34.655,  1
EX196508, 242,1965,10,20,13,30,  55.0833,   6.1333,  37,  35,   13.580,  1,   34.707,  1
EX196607, 142,1966,08,30,06,15,  54.6333,   6.6333,  37,   0,   16.080,  1,   33.661,  1
EX196607, 142,1966,08,30,06,15,  54.6333,   6.6333,  37,  34,   15.040,  1,   34.269,  1
EX196607, 143,1966,08,30,10,15,  54.8667,   6.2000,  37,   0,   15.540,  1,   34.187,  1
EX196607, 143,1966,08,30,10,15,  54.8667,   6.2000,  37,  34,   13.340,  1,   34.476,  1
EX196607, 144,1966,08,30,14,15,  55.0833,   6.1333,  40,   0,   14.770,  1,   34.468,  1
EX196607, 144,1966,08,30,14,15,  55.0833,   6.1333,  40,  37,   10.510,  1,   34.488,  1
EX196607, 145,1966,08,30,17,35,  55.1667,   5.7167,  37,   0,   14.830,  1,   34.502,  1
EX196607, 145,1966,08,30,17,35,  55.1667,   5.7167,  37,  35,    8.880,  1,   34.577,  1
EX197401,  31,1974,03,03,11,45,  54.9667,   6.3167,  37,   3,    5.670,  1,   34.717,  1
EX197401,  31,1974,03,03,11,45,  54.9667,   6.3167,  37,  36,    5.630,  1,   34.714,  1
EX197401,  32,1974,03,03,13,40,  55.1333,   6.6833,  33,   3,    5.540,  1,   34.772,  1
EX197401,  32,1974,03,03,13,40,  55.1333,   6.6833,  33,  29,    5.500,  1,   34.775,  1
EX197701,   3,1977,02,14,12,40,  55.2333,   7.5833,  22,   3,    3.500,  1,   34.453,  1
EX197701,   3,1977,02,14,12,40,  55.2333,   7.5833,  22,  20,    3.610,  1,   34.528,  1
EX197701,   6,1977,02,15,06,32,  55.1667,   7.1667,  26,   3,    4.080,  1,   34.593,  1
EX197701,   6,1977,02,15,06,32,  55.1667,   7.1667,  26,  25,    4.100,  1,   34.603,  1
EX197902,   2,1979,02,21,05,30,  54.8967,   6.0333,  37,   3,    1.780,  1,   34.332,  1
EX197902,   2,1979,02,21,05,30,  54.8967,   6.0333,  37,  34,    2.080,  1,   34.545,  1
EX197902,   3,1979,02,21,09,35,  54.7000,   6.4033,  37,   3,    0.860,  1,   33.687,  1
EX197902,   3,1979,02,21,09,35,  54.7000,   6.4033,  37,  34,    0.910,  1,   33.751,  1
EX197902,   4,1979,02,21,12,50,  54.8000,   6.7000,  37,   3,    0.840,  1,   33.396,  1
EX197902,   4,1979,02,21,12,50,  54.8000,   6.7000,  37,  34,    0.660,  1,   33.444,  1
EX197902,   5,1979,02,21,17,50,  54.8083,   7.1417,  18,   3,   -1.740,  2,   32.032,  1
EX197902,   5,1979,02,21,17,50,  54.8083,   7.1417,  18,  15,   -1.840,  2,   32.401,  1
EX197902,   6,1979,02,22,05,45,  54.8333,   6.7733,  37,   3,    0.210,  1,   33.249,  1
EX197902,   6,1979,02,22,05,45,  54.8333,   6.7733,  37,  34,    1.030,  1,   33.683,  1
EX197902,   7,1979,02,22,09,55,  54.8083,   7.1583,  22,   3,   -1.870,  2,   32.252,  1
EX197902,   7,1979,02,22,09,55,  54.8083,   7.1583,  22,  19,   -1.520,  2,   33.030,  1
EX197902,   8,1979,02,22,13,20,  54.7000,   7.3167,  20,   3,   -1.700,  2,   31.931,  1
EX197902,   8,1979,02,22,13,20,  54.7000,   7.3167,  20,  17,   -1.020,  2,   32.541,  1
EX197902,   9,1979,02,22,18,35,  54.7850,   7.6783,  18,   3,   -1.370,  2,   30.998,  1
EX197902,   9,1979,02,22,18,35,  54.7850,   7.6783,  18,  15,   -1.570,  2,   31.051,  1
EX197902,  10,1979,02,23,05,50,  54.4917,   7.5667,  20,   3,   -0.750,  2,   32.826,  1
EX197902,  10,1979,02,23,05,50,  54.4917,   7.5667,  20,  17,   -0.440,  2,   33.423,  1
