Box Name: 03 Shet-Fei-nocc
Data Source: SGMD
Data Contact: Bee Berx (barbara.berx@gov.scot); Berit Rabe (berit.rabe@gov.scot)
Comment/Note (incl. method description): HydCem Database Extraction - everything in polygon described by boundaries; only data from _db.hyd (CTD-based standard depths)
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408,   1,   13.400,  1,   31.236,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408,  10,   13.330,  1,   31.381,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408,  20,   12.930,  1,   32.098,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408,  30,   13.340,  2,   32.735,  4
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408,  40,   12.820,  1,   33.656,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408,  50,   10.100,  1,   34.007,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408,  75,    8.040,  1,   34.771,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408, 100,    8.880,  1,   35.213,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408, 125,    8.750,  1,   35.236,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408, 150,    8.520,  1,   35.255,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408, 175,    7.900,  1,   35.155,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408, 200,    7.570,  1,   35.124,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408, 250,    7.450,  1,   35.170,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408, 300,    6.980,  1,   35.145,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408, 350,    6.330,  1,   35.114,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408, 400,    5.840,  1,   35.114,  1
SC199413, 369,1994,09,26,12,32,  60.8337,   4.3352, 408, 402,    5.850,  1,   35.113,  1
SC199413, 370,1994,09,26,13,32,  60.8345,   4.5010, 334,   1,   13.380,  1,   31.459,  1
SC199413, 370,1994,09,26,13,32,  60.8345,   4.5010, 334,  10,   13.430,  1,   31.564,  1
