Box Name: 08 Abd-Han-west
Data Source: SGMD
Data Contact: Bee Berx (barbara.berx@gov.scot); Berit Rabe (berit.rabe@gov.scot)
Comment/Note (incl. method description): HydCem Database Extraction - everything in polygon described by boundaries; only data from _db.hyd (CTD-based standard depths)
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,   0,   10.110,  1,   35.053,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,   6,   10.090,  1,   35.038,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  10,   10.090,  1,   35.036,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  17,   10.100,  1,   35.035,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  21,   10.100,  1,   35.033,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  25,   10.100,  1,   35.034,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  31,   10.100,  1,   35.035,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  35,   10.100,  1,   35.029,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  42,   10.100,  1,   35.037,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  46,   10.110,  1,   35.026,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  50,   10.110,  1,   35.027,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  57,   10.110,  1,   35.024,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  61,   10.110,  1,   35.036,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  67,   10.120,  1,   35.010,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  71,   10.120,  1,   35.022,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  76,   10.120,  1,   35.024,  1
SC198913, 434,1989,12,07,20,56,  56.9993,   0.0002,  80,  78,   10.130,  1,   34.999,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,   0,    9.940,  1,   35.032,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,   6,    9.940,  1,   35.033,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,  10,    9.940,  1,   35.031,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,  17,    9.940,  1,   35.035,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,  21,    9.940,  1,   35.041,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,  25,    9.950,  1,   35.029,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,  32,    9.950,  1,   35.030,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,  36,    9.950,  1,   35.038,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,  40,    9.950,  1,   35.033,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,  46,    9.960,  1,   34.966,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,  51,    9.970,  1,   34.976,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,  57,    9.970,  1,   34.980,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,  61,    9.970,  1,   34.990,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,  66,    9.970,  1,   34.984,  1
SC198913, 435,1989,12,07,22,45,  57.0000,  -0.4990,  76,  70,    9.960,  1,   34.991,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,   0,    9.030,  1,   34.833,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,   5,    9.050,  1,   34.833,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  10,    9.040,  1,   34.833,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  15,    9.010,  1,   34.835,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  20,    8.720,  1,   34.853,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  25,    7.860,  1,   34.858,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  30,    7.660,  1,   34.851,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  35,    7.630,  1,   34.855,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  40,    7.610,  1,   34.859,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  45,    7.600,  1,   34.861,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  50,    7.590,  1,   34.863,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  55,    7.580,  1,   34.861,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  60,    7.570,  1,   34.864,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  65,    7.570,  1,   34.864,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  70,    7.570,  1,   34.865,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  75,    7.570,  1,   34.865,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  80,    7.570,  1,   34.865,  1
SC199707, 187,1997,05,26,16,16,  57.2490,  -0.0013,  94,  85,    7.570,  1,   34.865,  1
