Box Name: 10 Abd-Han-east
Data Source: SGMD
Data Contact: Bee Berx (barbara.berx@gov.scot); Berit Rabe (berit.rabe@gov.scot)
Comment/Note (incl. method description): HydCem Database Extraction - everything in polygon described by boundaries; only data from _db.hyd (CTD-based standard depths)
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
SC199913, 258,1999,08,11,19,17,  57.0635,   5.2455,  59,   0,   16.610,  1,   34.082,  1
SC199913, 258,1999,08,11,19,17,  57.0635,   5.2455,  59,   5,   16.610,  1,  -99.999,  9
SC199913, 258,1999,08,11,19,17,  57.0635,   5.2455,  59,  10,   16.610,  1,  -99.999,  9
SC199913, 258,1999,08,11,19,17,  57.0635,   5.2455,  59,  15,   16.600,  1,  -99.999,  9
SC199913, 258,1999,08,11,19,17,  57.0635,   5.2455,  59,  20,   15.610,  1,  -99.999,  9
SC199913, 258,1999,08,11,19,17,  57.0635,   5.2455,  59,  25,   15.320,  1,  -99.999,  9
SC199913, 258,1999,08,11,19,17,  57.0635,   5.2455,  59,  30,   11.220,  1,  -99.999,  9
SC199913, 258,1999,08,11,19,17,  57.0635,   5.2455,  59,  35,    7.680,  1,  -99.999,  9
SC199913, 258,1999,08,11,19,17,  57.0635,   5.2455,  59,  40,    7.440,  1,  -99.999,  9
SC199913, 258,1999,08,11,19,17,  57.0635,   5.2455,  59,  45,    7.430,  1,  -99.999,  9
SC199913, 258,1999,08,11,19,17,  57.0635,   5.2455,  59,  50,    7.410,  1,  -99.999,  9
SC199913, 258,1999,08,11,19,17,  57.0635,   5.2455,  59,  53,    7.400,  1,   35.202,  1
SC200013, 335,2000,08,19,20,04,  57.1155,   5.2890,  51,   4,   15.650,  1,   32.810,  1
SC200013, 335,2000,08,19,20,04,  57.1155,   5.2890,  51,   5,   15.650,  1,   32.813,  1
SC200013, 335,2000,08,19,20,04,  57.1155,   5.2890,  51,  10,   15.630,  1,   32.838,  1
SC200013, 335,2000,08,19,20,04,  57.1155,   5.2890,  51,  15,   15.590,  1,   33.460,  4
SC200013, 335,2000,08,19,20,04,  57.1155,   5.2890,  51,  20,   14.070,  1,   34.537,  1
SC200013, 335,2000,08,19,20,04,  57.1155,   5.2890,  51,  25,   13.090,  1,   34.616,  1
SC200013, 335,2000,08,19,20,04,  57.1155,   5.2890,  51,  30,   11.180,  1,   34.767,  1
SC200013, 335,2000,08,19,20,04,  57.1155,   5.2890,  51,  35,   10.270,  1,   34.861,  1
SC200013, 335,2000,08,19,20,04,  57.1155,   5.2890,  51,  37,   10.270,  1,   34.902,  1
SC201811, 366,2018,08,14,12,30,  57.0702,   5.1132,  60,   3,   18.170,  1,   33.145,  1
SC201811, 366,2018,08,14,12,30,  57.0702,   5.1132,  60,   5,   18.150,  1,   33.169,  1
SC201811, 366,2018,08,14,12,30,  57.0702,   5.1132,  60,  10,   18.160,  1,   33.409,  1
SC201811, 366,2018,08,14,12,30,  57.0702,   5.1132,  60,  15,   18.040,  1,   33.506,  1
SC201811, 366,2018,08,14,12,30,  57.0702,   5.1132,  60,  20,   16.170,  1,   34.405,  1
SC201811, 366,2018,08,14,12,30,  57.0702,   5.1132,  60,  25,   14.850,  1,   34.634,  1
SC201811, 366,2018,08,14,12,30,  57.0702,   5.1132,  60,  30,   13.270,  1,   34.834,  1
SC201811, 366,2018,08,14,12,30,  57.0702,   5.1132,  60,  35,   11.980,  1,   34.936,  1
SC201811, 366,2018,08,14,12,30,  57.0702,   5.1132,  60,  40,    8.940,  1,   34.788,  1
SC201811, 366,2018,08,14,12,30,  57.0702,   5.1132,  60,  45,    7.110,  1,   34.790,  1
SC201811, 366,2018,08,14,12,30,  57.0702,   5.1132,  60,  50,    6.990,  1,   34.809,  1
SC201811, 366,2018,08,14,12,30,  57.0702,   5.1132,  60,  55,    6.940,  1,   34.814,  1
SC201811, 366,2018,08,14,12,30,  57.0702,   5.1132,  60,  57,    6.940,  1,   34.812,  1
