Box Name: 16 Cont-Coast
Data Source: SGMD
Data Contact: Bee Berx (barbara.berx@gov.scot); Berit Rabe (berit.rabe@gov.scot)
Comment/Note (incl. method description): HydCem Database Extraction - everything in polygon described by boundaries; only data from _db.hyd (CTD-based standard depths)
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
SC199913, 264,1999,08,14,11,01,  55.2480,   7.4012,  24,   0,   17.670,  1,   32.676,  1
SC199913, 264,1999,08,14,11,01,  55.2480,   7.4012,  24,   5,   17.670,  1,  -99.999,  9
SC199913, 264,1999,08,14,11,01,  55.2480,   7.4012,  24,  10,   17.660,  1,  -99.999,  9
SC199913, 264,1999,08,14,11,01,  55.2480,   7.4012,  24,  15,   17.610,  1,  -99.999,  9
SC199913, 264,1999,08,14,11,01,  55.2480,   7.4012,  24,  20,   17.520,  1,  -99.999,  9
SC199913, 264,1999,08,14,11,01,  55.2480,   7.4012,  24,  22,   17.510,  1,   32.962,  1
SC199913, 265,1999,08,14,14,20,  55.2193,   6.6803,  42,   0,   17.450,  1,   33.654,  1
SC199913, 265,1999,08,14,14,20,  55.2193,   6.6803,  42,   5,   17.450,  1,  -99.999,  9
SC199913, 265,1999,08,14,14,20,  55.2193,   6.6803,  42,  10,   17.430,  1,  -99.999,  9
SC199913, 265,1999,08,14,14,20,  55.2193,   6.6803,  42,  15,   16.640,  1,  -99.999,  9
SC199913, 265,1999,08,14,14,20,  55.2193,   6.6803,  42,  20,   16.030,  1,  -99.999,  9
SC199913, 265,1999,08,14,14,20,  55.2193,   6.6803,  42,  25,   15.440,  1,  -99.999,  9
SC199913, 265,1999,08,14,14,20,  55.2193,   6.6803,  42,  30,   15.170,  1,  -99.999,  9
SC199913, 265,1999,08,14,14,20,  55.2193,   6.6803,  42,  35,   15.120,  1,  -99.999,  9
SC199913, 265,1999,08,14,14,20,  55.2193,   6.6803,  42,  39,   15.120,  1,   34.223,  1
SC199913, 266,1999,08,14,18,29,  55.2417,   5.6127,  45,   0,   17.350,  1,   34.803,  1
SC199913, 266,1999,08,14,18,29,  55.2417,   5.6127,  45,   5,   17.350,  1,  -99.999,  9
SC199913, 266,1999,08,14,18,29,  55.2417,   5.6127,  45,  10,   17.350,  1,  -99.999,  9
SC199913, 266,1999,08,14,18,29,  55.2417,   5.6127,  45,  15,   17.360,  1,  -99.999,  9
SC199913, 266,1999,08,14,18,29,  55.2417,   5.6127,  45,  20,   17.360,  1,  -99.999,  9
SC199913, 266,1999,08,14,18,29,  55.2417,   5.6127,  45,  25,   13.630,  1,  -99.999,  9
SC199913, 266,1999,08,14,18,29,  55.2417,   5.6127,  45,  30,   10.200,  1,  -99.999,  9
SC199913, 266,1999,08,14,18,29,  55.2417,   5.6127,  45,  35,   10.160,  1,  -99.999,  9
SC199913, 266,1999,08,14,18,29,  55.2417,   5.6127,  45,  40,   10.130,  1,  -99.999,  9
SC199913, 266,1999,08,14,18,29,  55.2417,   5.6127,  45,  43,   10.120,  1,   34.645,  1
SC199913, 267,1999,08,15,04,25,  54.3193,   7.1455,  40,   0,   17.980,  1,   33.499,  1
SC199913, 267,1999,08,15,04,25,  54.3193,   7.1455,  40,   5,   17.990,  1,  -99.999,  9
SC199913, 267,1999,08,15,04,25,  54.3193,   7.1455,  40,  10,   17.990,  1,  -99.999,  9
SC199913, 267,1999,08,15,04,25,  54.3193,   7.1455,  40,  15,   17.990,  1,  -99.999,  9
SC199913, 267,1999,08,15,04,25,  54.3193,   7.1455,  40,  20,   17.990,  1,  -99.999,  9
SC199913, 267,1999,08,15,04,25,  54.3193,   7.1455,  40,  25,   17.990,  1,  -99.999,  9
SC199913, 267,1999,08,15,04,25,  54.3193,   7.1455,  40,  30,   17.990,  1,  -99.999,  9
SC199913, 267,1999,08,15,04,25,  54.3193,   7.1455,  40,  35,   17.990,  1,  -99.999,  9
SC199913, 267,1999,08,15,04,25,  54.3193,   7.1455,  40,  38,   17.990,  2,   33.505,  1
SC199913, 268,1999,08,15,07,26,  54.2932,   6.5988,  38,   0,   17.970,  1,   33.564,  1
SC199913, 268,1999,08,15,07,26,  54.2932,   6.5988,  38,   5,   17.970,  1,  -99.999,  9
SC199913, 268,1999,08,15,07,26,  54.2932,   6.5988,  38,  10,   17.970,  1,  -99.999,  9
SC199913, 268,1999,08,15,07,26,  54.2932,   6.5988,  38,  15,   17.970,  1,  -99.999,  9
SC199913, 268,1999,08,15,07,26,  54.2932,   6.5988,  38,  20,   17.970,  1,  -99.999,  9
SC199913, 268,1999,08,15,07,26,  54.2932,   6.5988,  38,  25,   17.970,  1,  -99.999,  9
SC199913, 268,1999,08,15,07,26,  54.2932,   6.5988,  38,  30,   17.960,  1,  -99.999,  9
SC199913, 268,1999,08,15,07,26,  54.2932,   6.5988,  38,  35,   17.960,  1,  -99.999,  9
SC199913, 268,1999,08,15,07,26,  54.2932,   6.5988,  38,  36,   17.960,  1,   33.604,  1
SC199913, 269,1999,08,15,11,27,  54.2957,   5.7153,  40,   0,   17.920,  1,   34.186,  1
SC199913, 269,1999,08,15,11,27,  54.2957,   5.7153,  40,   5,   17.920,  1,  -99.999,  9
SC199913, 269,1999,08,15,11,27,  54.2957,   5.7153,  40,  10,   17.820,  1,  -99.999,  9
SC199913, 269,1999,08,15,11,27,  54.2957,   5.7153,  40,  15,   17.750,  1,  -99.999,  9
SC199913, 269,1999,08,15,11,27,  54.2957,   5.7153,  40,  20,   17.240,  1,  -99.999,  9
SC199913, 269,1999,08,15,11,27,  54.2957,   5.7153,  40,  25,   16.570,  1,  -99.999,  9
SC199913, 269,1999,08,15,11,27,  54.2957,   5.7153,  40,  30,   16.530,  1,  -99.999,  9
SC199913, 269,1999,08,15,11,27,  54.2957,   5.7153,  40,  35,   16.520,  1,  -99.999,  9
SC199913, 269,1999,08,15,11,27,  54.2957,   5.7153,  40,  38,   16.520,  1,   34.315,  1
SC200013, 340,2000,08,22,11,33,  55.2498,   7.3887,  23,   1,   17.070,  1,   19.392,  4
SC200013, 340,2000,08,22,11,33,  55.2498,   7.3887,  23,   5,   16.980,  1,   33.068,  1
SC200013, 340,2000,08,22,11,33,  55.2498,   7.3887,  23,  10,   16.880,  1,   33.084,  1
SC200013, 340,2000,08,22,11,33,  55.2498,   7.3887,  23,  15,   16.870,  1,   33.084,  1
SC200013, 340,2000,08,22,11,33,  55.2498,   7.3887,  23,  20,   16.870,  1,   33.078,  1
SC200013, 341,2000,08,22,14,52,  55.2287,   6.6733,  41,   2,   17.380,  1,   33.814,  1
SC200013, 341,2000,08,22,14,52,  55.2287,   6.6733,  41,   5,   17.380,  1,   33.814,  1
SC200013, 341,2000,08,22,14,52,  55.2287,   6.6733,  41,  10,   17.140,  1,   33.829,  1
SC200013, 341,2000,08,22,14,52,  55.2287,   6.6733,  41,  15,   16.940,  1,   33.840,  1
SC200013, 341,2000,08,22,14,52,  55.2287,   6.6733,  41,  20,   15.860,  1,   33.856,  1
SC200013, 341,2000,08,22,14,52,  55.2287,   6.6733,  41,  25,   15.070,  1,   33.893,  1
SC200013, 341,2000,08,22,14,52,  55.2287,   6.6733,  41,  30,   14.530,  1,   33.919,  1
SC200013, 341,2000,08,22,14,52,  55.2287,   6.6733,  41,  35,   14.270,  1,   33.984,  1
SC200013, 341,2000,08,22,14,52,  55.2287,   6.6733,  41,  40,   14.200,  1,   34.017,  1
SC200013, 342,2000,08,22,19,00,  55.2482,   5.5847,  45,   1,   16.960,  1,   34.790,  1
SC200013, 342,2000,08,22,19,00,  55.2482,   5.5847,  45,   5,   16.960,  1,   34.791,  1
SC200013, 342,2000,08,22,19,00,  55.2482,   5.5847,  45,  10,   16.680,  1,   34.791,  1
SC200013, 342,2000,08,22,19,00,  55.2482,   5.5847,  45,  15,   16.630,  1,   34.786,  1
SC200013, 342,2000,08,22,19,00,  55.2482,   5.5847,  45,  20,   16.530,  1,   34.792,  1
SC200013, 342,2000,08,22,19,00,  55.2482,   5.5847,  45,  25,   12.670,  1,   34.776,  1
SC200013, 342,2000,08,22,19,00,  55.2482,   5.5847,  45,  30,   12.670,  1,   34.748,  1
SC200013, 342,2000,08,22,19,00,  55.2482,   5.5847,  45,  35,   12.680,  1,   34.734,  1
SC200013, 342,2000,08,22,19,00,  55.2482,   5.5847,  45,  40,   12.680,  1,   34.729,  1
SC200013, 342,2000,08,22,19,00,  55.2482,   5.5847,  45,  43,   12.690,  1,   34.716,  1
SC200013, 343,2000,08,23,05,01,  54.3623,   7.1837,  41,   1,   17.470,  1,   32.605,  1
SC200013, 343,2000,08,23,05,01,  54.3623,   7.1837,  41,   5,   17.450,  1,   32.772,  1
SC200013, 343,2000,08,23,05,01,  54.3623,   7.1837,  41,  10,   16.650,  1,   33.447,  1
SC200013, 343,2000,08,23,05,01,  54.3623,   7.1837,  41,  15,   16.520,  1,   33.435,  1
SC200013, 343,2000,08,23,05,01,  54.3623,   7.1837,  41,  20,   16.510,  1,   33.420,  1
SC200013, 343,2000,08,23,05,01,  54.3623,   7.1837,  41,  25,   16.490,  1,   33.406,  1
SC200013, 343,2000,08,23,05,01,  54.3623,   7.1837,  41,  30,   16.490,  1,   33.400,  1
SC200013, 343,2000,08,23,05,01,  54.3623,   7.1837,  41,  35,   16.490,  1,   33.394,  1
SC200013, 343,2000,08,23,05,01,  54.3623,   7.1837,  41,  39,   16.480,  1,   33.391,  1
SC200013, 344,2000,08,23,07,45,  54.2963,   6.5940,  37,   1,   17.390,  1,   33.331,  1
SC200013, 344,2000,08,23,07,45,  54.2963,   6.5940,  37,   5,   17.380,  1,   33.331,  1
SC200013, 344,2000,08,23,07,45,  54.2963,   6.5940,  37,  10,   17.390,  1,   33.330,  1
SC200013, 344,2000,08,23,07,45,  54.2963,   6.5940,  37,  15,   17.380,  1,   33.328,  1
SC200013, 344,2000,08,23,07,45,  54.2963,   6.5940,  37,  20,   17.380,  1,   33.332,  1
SC200013, 344,2000,08,23,07,45,  54.2963,   6.5940,  37,  25,   17.380,  1,   33.370,  1
