Box Name: 03 Shet-Fei-nocc
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,01,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.387,  8
NaN, NaN,1993,01,01,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.388,  8
NaN, NaN,1993,01,02,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.650,  8
NaN, NaN,1993,01,02,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.651,  8
NaN, NaN,1993,01,03,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.757,  8
NaN, NaN,1993,01,03,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.757,  8
NaN, NaN,1993,01,04,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   34.095,  8
NaN, NaN,1993,01,04,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   34.095,  8
NaN, NaN,1993,01,05,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   34.192,  8
NaN, NaN,1993,01,05,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   34.193,  8
NaN, NaN,1993,01,06,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   34.064,  8
NaN, NaN,1993,01,06,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   34.065,  8
NaN, NaN,1993,01,07,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   33.941,  8
NaN, NaN,1993,01,07,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   33.941,  8
NaN, NaN,1993,01,08,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   34.048,  8
NaN, NaN,1993,01,08,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   34.048,  8
NaN, NaN,1993,01,09,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   34.009,  8
NaN, NaN,1993,01,09,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   34.010,  8
NaN, NaN,1993,01,10,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   34.030,  8
NaN, NaN,1993,01,10,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   34.030,  8
NaN, NaN,1993,01,11,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   34.141,  8
NaN, NaN,1993,01,11,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   34.141,  8
NaN, NaN,1993,01,12,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   34.227,  8
NaN, NaN,1993,01,12,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   34.227,  8
NaN, NaN,1993,01,13,00,00,      NaN,      NaN, NaN,   0,      NaN,  9,   34.257,  8
NaN, NaN,1993,01,13,00,00,      NaN,      NaN, NaN,   3,      NaN,  9,   34.257,  8
