Box Name: 01 Shet-Fei-esai
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    7.519,  8,   35.304,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    7.522,  8,   35.304,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    7.526,  8,   35.304,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    7.528,  8,   35.304,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,    7.530,  8,   35.304,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  30,    7.532,  8,   35.304,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  50,    7.534,  8,   35.304,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  75,    7.531,  8,   35.305,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN, 100,    7.514,  8,   35.306,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    7.394,  8,   35.250,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    7.397,  8,   35.250,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    7.402,  8,   35.250,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    7.404,  8,   35.250,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,    7.406,  8,   35.251,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  30,    7.409,  8,   35.252,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  50,    7.415,  8,   35.254,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  75,    7.406,  8,   35.259,  8
