Box Name: 02 Shet-Fei-noti
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    7.754,  8,   35.242,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    7.757,  8,   35.242,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    7.762,  8,   35.242,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    7.764,  8,   35.242,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,    7.766,  8,   35.242,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  30,    7.768,  8,   35.243,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  50,    7.771,  8,   35.244,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  75,    7.771,  8,   35.247,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    7.626,  8,   35.194,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    7.631,  8,   35.194,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    7.636,  8,   35.194,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    7.639,  8,   35.195,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,    7.641,  8,   35.195,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  30,    7.645,  8,   35.196,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  50,    7.650,  8,   35.200,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  75,    7.640,  8,   35.205,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    7.274,  8,   35.200,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    7.277,  8,   35.200,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  10,    7.279,  8,   35.200,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  15,    7.280,  8,   35.200,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  20,    7.281,  8,   35.200,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  30,    7.282,  8,   35.201,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  50,    7.281,  8,   35.202,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  75,    7.240,  8,   35.204,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    7.541,  8,   35.199,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    7.538,  8,   35.199,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  10,    7.508,  8,   35.199,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  15,    7.493,  8,   35.200,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  20,    7.483,  8,   35.202,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  30,    7.464,  8,   35.208,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  50,    7.445,  8,   35.215,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  75,    7.383,  8,   35.229,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    8.638,  8,   35.111,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,    8.588,  8,   35.112,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  10,    8.382,  8,   35.126,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  15,    8.274,  8,   35.144,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  20,    8.210,  8,   35.157,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  30,    8.130,  8,   35.185,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  50,    7.937,  8,   35.233,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  75,    7.762,  8,   35.260,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   10.450,  8,   34.720,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,   10.363,  8,   34.722,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  10,   10.194,  8,   34.742,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  15,   10.064,  8,   34.805,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  20,    9.821,  8,   34.906,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  30,    9.439,  8,   35.126,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  50,    8.736,  8,   35.268,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  75,    8.180,  8,   35.288,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   12.305,  8,   34.048,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   12.188,  8,   34.052,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  10,   11.745,  8,   34.134,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  15,   11.437,  8,   34.276,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  20,   10.882,  8,   34.609,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  30,    9.959,  8,   35.088,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  50,    9.318,  8,   35.270,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  75,    8.706,  8,   35.282,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   12.830,  8,   34.436,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   12.812,  8,   34.438,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  10,   12.767,  8,   34.461,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  15,   12.488,  8,   34.568,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  20,   11.856,  8,   34.735,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  30,   10.469,  8,   35.101,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  50,    9.553,  8,   35.248,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  75,    8.970,  8,   35.280,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   0,   11.713,  8,   34.604,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   3,   11.711,  8,   34.606,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  10,   11.713,  8,   34.669,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  15,   11.680,  8,   34.756,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  20,   11.611,  8,   34.851,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  30,   11.214,  8,   35.067,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  50,    9.995,  8,   35.262,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  75,    9.310,  8,   35.296,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   0,   10.141,  8,   34.691,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   3,   10.149,  8,   34.693,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  10,   10.169,  8,   34.712,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  15,   10.192,  8,   34.744,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  20,   10.219,  8,   34.794,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  30,   10.283,  8,   34.933,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  50,   10.137,  8,   35.175,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  75,    9.418,  8,   35.284,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   0,    8.692,  8,   35.056,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   3,    8.700,  8,   35.057,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  10,    8.716,  8,   35.062,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  15,    8.730,  8,   35.069,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  20,    8.743,  8,   35.078,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  30,    8.772,  8,   35.099,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  50,    8.838,  8,   35.149,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  75,    8.832,  8,   35.241,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   0,    7.858,  8,   35.113,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   3,    7.867,  8,   35.113,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  10,    7.895,  8,   35.119,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  15,    7.920,  8,   35.128,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  20,    7.948,  8,   35.138,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  30,    8.002,  8,   35.164,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  50,    8.072,  8,   35.197,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  75,    8.094,  8,   35.212,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   0,    7.182,  8,   35.110,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   3,    7.189,  8,   35.110,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  10,    7.200,  8,   35.112,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  15,    7.212,  8,   35.116,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  20,    7.228,  8,   35.122,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  30,    7.266,  8,   35.136,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  50,    7.325,  8,   35.160,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  75,    7.348,  8,   35.181,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   0,    6.657,  8,   35.156,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   3,    6.667,  8,   35.157,  8
