Box Name: 03 Shet-Fei-nocc
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    6.942,  8,   34.169,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    6.946,  8,   34.169,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    6.094,  8,   34.504,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    6.100,  8,   34.505,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    5.594,  8,   34.672,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    5.597,  8,   34.672,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    6.139,  8,   34.728,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    6.088,  8,   34.730,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    8.452,  8,   34.343,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,    8.379,  8,   34.347,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   10.070,  8,   34.314,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,    9.975,  8,   34.319,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   12.146,  8,   33.798,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   12.088,  8,   33.803,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   13.759,  8,   32.751,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   13.749,  8,   32.756,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   0,   12.196,  8,   33.393,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   3,   12.187,  8,   33.395,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   0,   10.728,  8,   33.115,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   3,   10.739,  8,   33.117,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   0,    8.325,  8,   33.391,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   3,    8.339,  8,   33.393,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   0,    6.377,  8,   33.561,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   3,    6.393,  8,   33.563,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   0,    4.852,  8,   32.946,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   3,    4.870,  8,   32.952,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   0,    4.107,  8,   32.688,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   3,    4.149,  8,   32.702,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   0,    4.082,  8,   33.468,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   3,    4.084,  8,   33.469,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   0,    5.018,  8,   32.679,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   3,    5.004,  8,   32.685,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   0,    7.398,  8,   31.815,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   3,    7.316,  8,   31.826,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   0,   10.196,  8,   31.398,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   3,   10.155,  8,   31.405,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   0,   14.545,  8,   32.177,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   3,   14.349,  8,   32.207,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   0,   14.905,  8,   32.966,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   3,   14.804,  8,   32.979,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,   0,   14.042,  8,   32.043,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,   3,   14.032,  8,   32.047,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,   0,   10.126,  8,   33.023,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,   3,   10.133,  8,   33.025,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,   0,    9.083,  8,   33.526,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,   3,    9.093,  8,   33.529,  8
