Box Name: 04 Ork-Uts-fici
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    7.117,  8,   35.196,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    7.119,  8,   35.196,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    7.122,  8,   35.196,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    7.124,  8,   35.197,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,    7.125,  8,   35.197,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  30,    7.127,  8,   35.197,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  50,    7.129,  8,   35.198,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    6.951,  8,   35.140,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    6.954,  8,   35.140,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    6.957,  8,   35.140,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    6.959,  8,   35.141,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,    6.960,  8,   35.141,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  30,    6.962,  8,   35.142,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  50,    6.964,  8,   35.145,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    6.693,  8,   35.208,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    6.695,  8,   35.208,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  10,    6.696,  8,   35.208,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  15,    6.696,  8,   35.208,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  20,    6.696,  8,   35.208,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  30,    6.694,  8,   35.209,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  50,    6.686,  8,   35.209,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    7.135,  8,   35.211,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    7.107,  8,   35.211,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  10,    7.058,  8,   35.212,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  15,    7.015,  8,   35.212,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  20,    6.976,  8,   35.214,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  30,    6.958,  8,   35.216,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  50,    6.939,  8,   35.217,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    8.313,  8,   35.209,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,    8.252,  8,   35.211,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  10,    8.121,  8,   35.213,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  15,    7.953,  8,   35.213,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  20,    7.808,  8,   35.213,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  30,    7.680,  8,   35.218,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  50,    7.452,  8,   35.223,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,    9.378,  8,   35.215,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,    9.323,  8,   35.215,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  10,    9.202,  8,   35.216,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  15,    9.114,  8,   35.216,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  20,    8.994,  8,   35.217,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  30,    8.529,  8,   35.223,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  50,    8.126,  8,   35.225,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   10.633,  8,   35.245,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   10.586,  8,   35.245,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  10,   10.333,  8,   35.246,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  15,   10.041,  8,   35.247,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  20,    9.835,  8,   35.246,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  30,    9.434,  8,   35.240,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  50,    8.956,  8,   35.239,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   11.263,  8,   35.215,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   11.234,  8,   35.216,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  10,   11.117,  8,   35.218,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  15,   11.006,  8,   35.222,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  20,   10.823,  8,   35.226,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  30,   10.234,  8,   35.234,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  50,    9.763,  8,   35.240,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   0,   11.143,  8,   35.186,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   3,   11.134,  8,   35.186,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  10,   11.120,  8,   35.186,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  15,   11.112,  8,   35.186,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  20,   11.104,  8,   35.187,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  30,   11.033,  8,   35.190,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  50,   10.323,  8,   35.201,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   0,   10.273,  8,   35.176,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   3,   10.277,  8,   35.176,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  10,   10.282,  8,   35.177,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  15,   10.283,  8,   35.177,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  20,   10.284,  8,   35.178,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  30,   10.284,  8,   35.179,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  50,    9.811,  8,   35.203,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   0,    9.286,  8,   35.186,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   3,    9.291,  8,   35.186,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  10,    9.297,  8,   35.186,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  15,    9.299,  8,   35.186,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  20,    9.300,  8,   35.187,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  30,    9.302,  8,   35.187,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  50,    9.301,  8,   35.188,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   0,    8.187,  8,   35.128,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   3,    8.195,  8,   35.128,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  10,    8.201,  8,   35.128,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  15,    8.204,  8,   35.128,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  20,    8.205,  8,   35.128,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  30,    8.208,  8,   35.129,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  50,    8.211,  8,   35.130,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   0,    7.041,  8,   35.126,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   3,    7.045,  8,   35.126,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  10,    7.050,  8,   35.126,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  15,    7.052,  8,   35.126,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  20,    7.054,  8,   35.126,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  30,    7.056,  8,   35.127,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  50,    7.057,  8,   35.128,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   0,    6.180,  8,   35.078,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   3,    6.184,  8,   35.078,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,  10,    6.189,  8,   35.078,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,  15,    6.191,  8,   35.078,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,  20,    6.192,  8,   35.078,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,  30,    6.194,  8,   35.079,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,  50,    6.195,  8,   35.081,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   0,    5.990,  8,   35.145,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   3,    5.992,  8,   35.145,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,  10,    5.994,  8,   35.145,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,  15,    5.995,  8,   35.145,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,  20,    5.995,  8,   35.146,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,  30,    5.995,  8,   35.146,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,  50,    5.991,  8,   35.147,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   0,    6.703,  8,   35.180,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   3,    6.692,  8,   35.180,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,  10,    6.671,  8,   35.181,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,  15,    6.656,  8,   35.182,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,  20,    6.642,  8,   35.183,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,  30,    6.614,  8,   35.185,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,  50,    6.567,  8,   35.187,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   0,    7.895,  8,   35.101,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   3,    7.879,  8,   35.101,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,  10,    7.795,  8,   35.101,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,  15,    7.694,  8,   35.103,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,  20,    7.584,  8,   35.109,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,  30,    7.239,  8,   35.125,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,  50,    7.043,  8,   35.146,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   0,    9.105,  8,   35.160,  8
