Box Name: 05 Ork-Uts-esai
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    6.978,  8,   35.243,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    6.981,  8,   35.243,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    6.984,  8,   35.243,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    6.986,  8,   35.244,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,    6.987,  8,   35.244,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  30,    6.989,  8,   35.244,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  50,    6.991,  8,   35.244,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  75,    6.984,  8,   35.244,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN, 100,    6.952,  8,   35.244,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    6.864,  8,   35.185,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    6.866,  8,   35.185,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    6.869,  8,   35.185,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    6.871,  8,   35.185,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,    6.872,  8,   35.185,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  30,    6.873,  8,   35.185,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  50,    6.874,  8,   35.185,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  75,    6.844,  8,   35.186,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN, 100,    6.688,  8,   35.193,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    6.405,  8,   35.173,  8
