Box Name: 06 Ork-Uts-noti
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    6.891,  8,   35.249,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    6.894,  8,   35.249,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    6.897,  8,   35.249,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    6.899,  8,   35.249,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,    6.900,  8,   35.249,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  30,    6.902,  8,   35.249,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  50,    6.902,  8,   35.250,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  75,    6.892,  8,   35.252,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN, 100,    6.862,  8,   35.253,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    7.147,  8,   35.271,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    7.151,  8,   35.271,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    7.155,  8,   35.271,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    7.157,  8,   35.271,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,    7.157,  8,   35.271,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  30,    7.157,  8,   35.272,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  50,    7.152,  8,   35.273,  8
