Box Name: 08 Abd-Han-west
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    6.842,  8,   34.997,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    6.844,  8,   34.997,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    6.847,  8,   34.997,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    6.849,  8,   34.997,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,    6.850,  8,   34.997,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  30,    6.852,  8,   34.997,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  50,    6.852,  8,   35.007,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    6.376,  8,   34.952,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    6.378,  8,   34.952,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    6.380,  8,   34.952,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    6.381,  8,   34.952,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,    6.381,  8,   34.953,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  30,    6.383,  8,   34.954,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  50,    6.378,  8,   34.964,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    6.030,  8,   34.930,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    6.032,  8,   34.930,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  10,    6.030,  8,   34.930,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  15,    6.029,  8,   34.930,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  20,    6.028,  8,   34.931,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  30,    6.023,  8,   34.932,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  50,    5.994,  8,   34.935,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    6.497,  8,   34.927,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    6.489,  8,   34.927,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  10,    6.434,  8,   34.928,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  15,    6.401,  8,   34.928,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  20,    6.333,  8,   34.930,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  30,    6.244,  8,   34.936,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  50,    6.194,  8,   34.938,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    8.443,  8,   34.931,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,    8.379,  8,   34.933,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  10,    8.136,  8,   34.939,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  15,    7.977,  8,   34.936,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  20,    7.704,  8,   34.931,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  30,    7.105,  8,   34.931,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  50,    6.729,  8,   34.938,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   10.910,  8,   34.973,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,   10.835,  8,   34.973,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  10,   10.571,  8,   34.977,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  15,   10.245,  8,   34.975,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  20,    9.341,  8,   34.960,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  30,    7.337,  8,   34.947,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  50,    7.272,  8,   34.947,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   12.840,  8,   34.894,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   12.787,  8,   34.894,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  10,   12.640,  8,   34.895,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  15,   12.389,  8,   34.898,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  20,   11.735,  8,   34.897,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  30,    7.968,  8,   34.936,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  50,    7.534,  8,   34.948,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   13.141,  8,   34.867,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   13.123,  8,   34.868,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  10,   13.082,  8,   34.868,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  15,   13.005,  8,   34.868,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  20,   12.258,  8,   34.866,  8
