Box Name: 09 Abd-Han-cent
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    6.557,  8,   35.144,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    6.559,  8,   35.144,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    6.562,  8,   35.144,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    6.563,  8,   35.144,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,    6.564,  8,   35.144,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  30,    6.565,  8,   35.144,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  50,    6.564,  8,   35.145,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    6.414,  8,   35.220,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    6.417,  8,   35.220,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    6.419,  8,   35.220,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    6.420,  8,   35.220,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,    6.420,  8,   35.220,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  30,    6.418,  8,   35.220,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  50,    6.383,  8,   35.224,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    6.138,  8,   35.213,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    6.137,  8,   35.213,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  10,    6.134,  8,   35.213,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  15,    6.132,  8,   35.213,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  20,    6.129,  8,   35.213,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  30,    6.114,  8,   35.213,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  50,    5.987,  8,   35.214,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    6.467,  8,   35.196,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    6.457,  8,   35.196,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  10,    6.423,  8,   35.196,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  15,    6.381,  8,   35.196,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  20,    6.302,  8,   35.196,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  30,    6.153,  8,   35.199,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  50,    5.988,  8,   35.200,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    8.832,  8,   35.182,  8
