Box Name: 10 Abd-Han-east
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    6.228,  8,   35.064,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    6.230,  8,   35.064,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    6.234,  8,   35.064,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    6.235,  8,   35.064,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,    6.236,  8,   35.064,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    5.983,  8,   35.169,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    5.987,  8,   35.169,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    5.991,  8,   35.169,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    5.992,  8,   35.169,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,    5.992,  8,   35.169,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    5.648,  8,   35.209,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    5.649,  8,   35.209,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  10,    5.646,  8,   35.209,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  15,    5.643,  8,   35.209,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  20,    5.637,  8,   35.209,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    6.200,  8,   34.991,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    6.187,  8,   34.991,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  10,    6.118,  8,   34.994,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  15,    6.049,  8,   35.002,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  20,    6.005,  8,   35.008,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    8.756,  8,   34.890,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,    8.717,  8,   34.894,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  10,    8.596,  8,   34.900,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  15,    8.355,  8,   34.917,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  20,    7.909,  8,   34.936,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   12.111,  8,   34.912,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,   12.054,  8,   34.913,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  10,   11.914,  8,   34.920,  8
