Box Name: 11 Skag-ncw
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    5.173,  8,   32.852,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    5.193,  8,   32.861,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    3.746,  8,   32.394,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    3.768,  8,   32.406,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    3.825,  8,   33.402,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    3.824,  8,   33.409,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    5.651,  8,   32.437,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    5.517,  8,   32.507,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,   11.406,  8,   29.386,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,   11.187,  8,   29.531,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   14.380,  8,   30.481,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,   14.229,  8,   30.593,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   15.076,  8,   30.071,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   14.926,  8,   30.328,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   15.187,  8,   28.597,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   15.166,  8,   28.851,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   0,   13.150,  8,   31.566,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   3,   13.143,  8,   31.586,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   0,    9.714,  8,   28.546,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   3,    9.752,  8,   28.577,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   0,    6.283,  8,   28.355,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   3,    6.310,  8,   28.369,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   0,    3.990,  8,   30.303,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   3,    4.009,  8,   30.309,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   0,    2.308,  8,   27.630,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   3,    2.377,  8,   27.693,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   0,    2.133,  8,   30.630,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   3,    2.158,  8,   30.638,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   0,    2.264,  8,   30.920,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   3,    2.261,  8,   30.942,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   0,    5.208,  8,   27.404,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   3,    5.147,  8,   27.514,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   0,   10.423,  8,   25.693,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   3,   10.314,  8,   25.731,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   0,   12.682,  8,   27.493,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   3,   12.557,  8,   27.562,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   0,   17.463,  8,   29.606,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   3,   16.988,  8,   29.822,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   0,   18.731,  8,   30.248,  8
