Box Name: 12 Skag-AW
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    5.727,  8,   33.618,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    5.732,  8,   33.618,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    5.780,  8,   33.675,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    6.025,  8,   33.946,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,    6.255,  8,   34.214,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  30,    6.534,  8,   34.550,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    4.953,  8,   33.887,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    4.962,  8,   33.889,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    5.026,  8,   33.920,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    5.168,  8,   34.017,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,    5.398,  8,   34.195,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  30,    6.020,  8,   34.657,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    4.875,  8,   34.287,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    4.879,  8,   34.288,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  10,    4.909,  8,   34.321,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  15,    5.001,  8,   34.390,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  20,    5.198,  8,   34.508,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  30,    5.675,  8,   34.777,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    6.003,  8,   34.556,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    5.976,  8,   34.556,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  10,    5.840,  8,   34.575,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  15,    5.711,  8,   34.597,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  20,    5.644,  8,   34.633,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  30,    5.741,  8,   34.779,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,   10.365,  8,   33.921,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,   10.289,  8,   33.943,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  10,    9.581,  8,   34.222,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  15,    8.483,  8,   34.493,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  20,    7.599,  8,   34.686,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  30,    6.839,  8,   34.868,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   12.401,  8,   32.539,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,   12.334,  8,   32.540,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  10,   11.788,  8,   32.861,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  15,   10.691,  8,   33.889,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  20,    9.452,  8,   34.648,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  30,    7.862,  8,   34.949,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   13.327,  8,   32.702,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   13.288,  8,   32.712,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  10,   12.811,  8,   33.148,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  15,   12.066,  8,   33.555,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  20,   11.195,  8,   33.926,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  30,    9.521,  8,   34.584,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   14.790,  8,   31.756,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   14.775,  8,   31.762,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  10,   14.556,  8,   32.441,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  15,   14.132,  8,   33.135,  8
