Box Name: 13 Skag-SNSW
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    4.592,  8,   33.766,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    4.600,  8,   33.768,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    4.502,  8,   34.412,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    4.513,  8,   34.413,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    4.413,  8,   34.596,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    4.414,  8,   34.597,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    5.952,  8,   34.348,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    5.888,  8,   34.350,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,   10.500,  8,   34.145,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,   10.312,  8,   34.159,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   12.923,  8,   34.025,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,   12.833,  8,   34.026,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   13.773,  8,   33.951,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   13.725,  8,   33.954,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   15.178,  8,   33.607,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   15.154,  8,   33.609,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   0,   12.289,  8,   33.843,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   3,   12.286,  8,   33.849,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   0,   10.373,  8,   33.371,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   3,   10.405,  8,   33.402,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   0,    7.462,  8,   33.607,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   3,    7.480,  8,   33.616,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   0,    4.937,  8,   33.391,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   3,    4.946,  8,   33.392,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   0,    3.919,  8,   33.515,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   3,    3.926,  8,   33.516,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   0,    3.419,  8,   33.798,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   3,    3.437,  8,   33.804,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   0,    3.227,  8,   33.068,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   3,    3.225,  8,   33.071,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   0,    5.798,  8,   32.467,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   3,    5.740,  8,   32.528,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   0,    9.823,  8,   32.909,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   3,    9.683,  8,   32.938,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   0,   12.008,  8,   32.714,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   3,   11.953,  8,   32.721,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   0,   17.165,  8,   32.848,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   3,   16.943,  8,   32.849,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   0,   18.064,  8,   33.129,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   3,   18.027,  8,   33.135,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,   0,   14.706,  8,   32.746,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,   3,   14.708,  8,   32.748,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,   0,   11.186,  8,   33.444,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,   3,   11.194,  8,   33.445,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,   0,    9.216,  8,   32.984,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,   3,    9.227,  8,   32.986,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,   0,    7.671,  8,   33.424,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,   3,    7.681,  8,   33.425,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,   0,    4.980,  8,   33.636,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,   3,    4.992,  8,   33.637,  8
NaN, NaN,1995,02,15,12,00,      NaN,      NaN, NaN,   0,    4.425,  8,   33.568,  8
NaN, NaN,1995,02,15,12,00,      NaN,      NaN, NaN,   3,    4.430,  8,   33.571,  8
NaN, NaN,1995,03,15,12,00,      NaN,      NaN, NaN,   0,    4.519,  8,   32.837,  8
NaN, NaN,1995,03,15,12,00,      NaN,      NaN, NaN,   3,    4.524,  8,   32.840,  8
NaN, NaN,1995,04,15,12,00,      NaN,      NaN, NaN,   0,    5.888,  8,   32.075,  8
NaN, NaN,1995,04,15,12,00,      NaN,      NaN, NaN,   3,    5.852,  8,   32.087,  8
NaN, NaN,1995,05,15,12,00,      NaN,      NaN, NaN,   0,    8.965,  8,   33.026,  8
NaN, NaN,1995,05,15,12,00,      NaN,      NaN, NaN,   3,    8.818,  8,   33.053,  8
NaN, NaN,1995,06,15,12,00,      NaN,      NaN, NaN,   0,   13.249,  8,   32.723,  8
NaN, NaN,1995,06,15,12,00,      NaN,      NaN, NaN,   3,   13.069,  8,   32.747,  8
NaN, NaN,1995,07,15,12,00,      NaN,      NaN, NaN,   0,   16.450,  8,   31.920,  8
NaN, NaN,1995,07,15,12,00,      NaN,      NaN, NaN,   3,   16.259,  8,   31.934,  8
NaN, NaN,1995,08,15,12,00,      NaN,      NaN, NaN,   0,   18.446,  8,   31.891,  8
NaN, NaN,1995,08,15,12,00,      NaN,      NaN, NaN,   3,   18.255,  8,   31.900,  8
NaN, NaN,1995,09,15,12,00,      NaN,      NaN, NaN,   0,   15.089,  8,   32.428,  8
NaN, NaN,1995,09,15,12,00,      NaN,      NaN, NaN,   3,   15.080,  8,   32.446,  8
NaN, NaN,1995,10,15,12,00,      NaN,      NaN, NaN,   0,   12.641,  8,   33.163,  8
NaN, NaN,1995,10,15,12,00,      NaN,      NaN, NaN,   3,   12.644,  8,   33.164,  8
NaN, NaN,1995,11,15,12,00,      NaN,      NaN, NaN,   0,    8.820,  8,   33.531,  8
NaN, NaN,1995,11,15,12,00,      NaN,      NaN, NaN,   3,    8.830,  8,   33.532,  8
NaN, NaN,1995,12,15,12,00,      NaN,      NaN, NaN,   0,    5.545,  8,   33.830,  8
NaN, NaN,1995,12,15,12,00,      NaN,      NaN, NaN,   3,    5.565,  8,   33.831,  8
NaN, NaN,1996,01,15,12,00,      NaN,      NaN, NaN,   0,    3.267,  8,   33.944,  8
