Box Name: 14 Cen-Nsea
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    6.379,  8,   35.046,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    6.381,  8,   35.046,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    6.384,  8,   35.046,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    6.385,  8,   35.046,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,    6.386,  8,   35.046,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  30,    6.387,  8,   35.046,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    5.992,  8,   35.152,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    5.995,  8,   35.152,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    5.997,  8,   35.152,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    5.997,  8,   35.152,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,    5.996,  8,   35.152,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  30,    5.982,  8,   35.157,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    5.655,  8,   35.176,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    5.650,  8,   35.175,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  10,    5.645,  8,   35.175,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  15,    5.642,  8,   35.175,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  20,    5.638,  8,   35.175,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  30,    5.613,  8,   35.175,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    6.534,  8,   35.183,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    6.525,  8,   35.183,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  10,    6.483,  8,   35.183,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  15,    6.399,  8,   35.183,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  20,    6.317,  8,   35.183,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  30,    6.170,  8,   35.182,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    9.188,  8,   35.175,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,    9.115,  8,   35.177,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  10,    8.969,  8,   35.185,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  15,    8.724,  8,   35.188,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  20,    8.420,  8,   35.198,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  30,    6.879,  8,   35.195,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   12.114,  8,   35.170,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,   12.020,  8,   35.170,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  10,   11.892,  8,   35.168,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  15,   11.786,  8,   35.167,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  20,   11.328,  8,   35.173,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  30,    7.875,  8,   35.190,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   13.771,  8,   34.690,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   13.734,  8,   34.689,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  10,   13.584,  8,   34.693,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  15,   13.449,  8,   34.731,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  20,   13.253,  8,   34.765,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  30,   10.159,  8,   35.088,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   14.588,  8,   34.607,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   14.580,  8,   34.608,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  10,   14.554,  8,   34.611,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  15,   14.524,  8,   34.616,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  20,   14.242,  8,   34.676,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  30,   10.209,  8,   35.041,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   0,   13.138,  8,   34.569,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   3,   13.136,  8,   34.569,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  10,   13.127,  8,   34.572,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  15,   13.120,  8,   34.577,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  20,   13.088,  8,   34.583,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  30,   11.500,  8,   34.841,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   0,   11.003,  8,   34.791,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   3,   11.007,  8,   34.791,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  10,   11.009,  8,   34.791,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  15,   11.008,  8,   34.792,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  20,   11.006,  8,   34.792,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  30,   10.928,  8,   34.798,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   0,    9.043,  8,   34.750,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   3,    9.050,  8,   34.751,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  10,    9.057,  8,   34.752,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  15,    9.060,  8,   34.753,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  20,    9.061,  8,   34.755,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  30,    9.034,  8,   34.809,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   0,    7.075,  8,   34.855,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   3,    7.080,  8,   34.855,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  10,    7.085,  8,   34.855,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  15,    7.087,  8,   34.855,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  20,    7.089,  8,   34.855,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  30,    7.090,  8,   34.855,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   0,    6.111,  8,   34.885,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   3,    6.114,  8,   34.885,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  10,    6.118,  8,   34.885,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  15,    6.120,  8,   34.885,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  20,    6.121,  8,   34.885,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  30,    6.120,  8,   34.886,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   0,    5.186,  8,   35.029,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   3,    5.190,  8,   35.029,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,  10,    5.195,  8,   35.029,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,  15,    5.196,  8,   35.029,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,  20,    5.197,  8,   35.029,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,  30,    5.197,  8,   35.030,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   0,    5.234,  8,   35.037,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   3,    5.235,  8,   35.037,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,  10,    5.235,  8,   35.037,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,  15,    5.234,  8,   35.037,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,  20,    5.233,  8,   35.037,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,  30,    5.225,  8,   35.038,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   0,    6.121,  8,   34.982,  8
