Box Name: 19 CS
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,   10.416,  8,   35.503,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,   10.419,  8,   35.504,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,   10.423,  8,   35.505,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,   10.424,  8,   35.505,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,   10.425,  8,   35.506,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  30,   10.425,  8,   35.506,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  50,   10.418,  8,   35.507,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  75,   10.375,  8,   35.508,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,   10.207,  8,   35.510,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,   10.212,  8,   35.510,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,   10.213,  8,   35.509,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,   10.213,  8,   35.509,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,   10.212,  8,   35.509,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  30,   10.209,  8,   35.509,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  50,   10.192,  8,   35.509,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  75,   10.120,  8,   35.508,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    9.978,  8,   35.500,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    9.977,  8,   35.501,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  10,    9.968,  8,   35.501,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  15,    9.959,  8,   35.501,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  20,    9.949,  8,   35.502,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  30,    9.916,  8,   35.503,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  50,    9.858,  8,   35.505,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  75,    9.796,  8,   35.507,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,   10.738,  8,   35.481,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,   10.724,  8,   35.481,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  10,   10.677,  8,   35.481,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  15,   10.635,  8,   35.482,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  20,   10.570,  8,   35.485,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  30,   10.333,  8,   35.494,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  50,   10.134,  8,   35.504,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  75,   10.067,  8,   35.505,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,   12.207,  8,   35.496,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,   12.195,  8,   35.497,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  10,   12.143,  8,   35.497,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  15,   12.087,  8,   35.498,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  20,   11.990,  8,   35.500,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  30,   11.257,  8,   35.501,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  50,   10.381,  8,   35.512,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  75,   10.371,  8,   35.512,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   14.411,  8,   35.454,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,   14.309,  8,   35.454,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  10,   14.042,  8,   35.450,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  15,   13.851,  8,   35.448,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  20,   13.556,  8,   35.447,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  30,   12.868,  8,   35.460,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  50,   10.630,  8,   35.520,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  75,   10.625,  8,   35.520,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   16.120,  8,   35.423,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   16.112,  8,   35.422,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  10,   16.076,  8,   35.423,  8
