Box Name: 21 PB
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    9.810,  8,   35.398,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    9.813,  8,   35.398,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    9.817,  8,   35.398,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    9.818,  8,   35.398,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,    9.819,  8,   35.398,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  30,    9.819,  8,   35.398,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  50,    9.818,  8,   35.399,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  75,    9.815,  8,   35.399,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN, 100,    9.811,  8,   35.399,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN, 125,    9.805,  8,   35.399,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN, 150,    9.795,  8,   35.399,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN, 200,    9.769,  8,   35.399,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN, 250,    9.701,  8,   35.395,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    9.748,  8,   35.405,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    9.752,  8,   35.405,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    9.755,  8,   35.405,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    9.756,  8,   35.405,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,    9.755,  8,   35.405,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  30,    9.752,  8,   35.405,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  50,    9.740,  8,   35.405,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  75,    9.720,  8,   35.404,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN, 100,    9.696,  8,   35.403,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN, 125,    9.675,  8,   35.401,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN, 150,    9.654,  8,   35.400,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN, 200,    9.609,  8,   35.397,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN, 250,    9.552,  8,   35.393,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    9.740,  8,   35.404,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    9.743,  8,   35.404,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  10,    9.743,  8,   35.404,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  15,    9.742,  8,   35.404,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  20,    9.741,  8,   35.404,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  30,    9.737,  8,   35.404,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  50,    9.722,  8,   35.404,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  75,    9.702,  8,   35.405,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN, 100,    9.687,  8,   35.405,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN, 125,    9.672,  8,   35.405,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN, 150,    9.655,  8,   35.405,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN, 200,    9.608,  8,   35.402,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN, 250,    9.540,  8,   35.396,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,   10.082,  8,   35.370,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,   10.075,  8,   35.370,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  10,   10.052,  8,   35.370,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  15,   10.037,  8,   35.369,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  20,   10.002,  8,   35.369,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  30,    9.948,  8,   35.369,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  50,    9.844,  8,   35.373,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  75,    9.787,  8,   35.375,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN, 100,    9.770,  8,   35.375,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN, 125,    9.760,  8,   35.375,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN, 150,    9.750,  8,   35.375,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN, 200,    9.701,  8,   35.377,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN, 250,    9.604,  8,   35.376,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,   11.084,  8,   35.387,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,   11.075,  8,   35.387,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  10,   10.987,  8,   35.388,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  15,   10.929,  8,   35.389,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  20,   10.872,  8,   35.390,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  30,   10.716,  8,   35.391,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  50,   10.461,  8,   35.382,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  75,   10.215,  8,   35.378,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN, 100,   10.097,  8,   35.378,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN, 125,   10.013,  8,   35.378,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN, 150,    9.948,  8,   35.377,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN, 200,    9.860,  8,   35.375,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN, 250,    9.740,  8,   35.370,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   13.130,  8,   35.360,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,   13.077,  8,   35.360,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  10,   12.906,  8,   35.357,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  15,   12.670,  8,   35.358,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  20,   12.286,  8,   35.358,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  30,   11.508,  8,   35.370,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  50,   10.684,  8,   35.401,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  75,   10.365,  8,   35.402,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN, 100,   10.285,  8,   35.401,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN, 125,   10.214,  8,   35.397,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN, 150,   10.131,  8,   35.393,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN, 200,   10.027,  8,   35.391,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN, 250,    9.911,  8,   35.386,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   14.017,  8,   35.356,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   14.015,  8,   35.356,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  10,   13.995,  8,   35.357,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  15,   13.968,  8,   35.357,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  20,   13.899,  8,   35.358,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  30,   12.804,  8,   35.373,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  50,   11.015,  8,   35.405,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  75,   10.601,  8,   35.412,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN, 100,   10.445,  8,   35.411,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN, 125,   10.354,  8,   35.409,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN, 150,   10.278,  8,   35.406,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN, 200,   10.159,  8,   35.402,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN, 250,   10.012,  8,   35.396,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   14.527,  8,   35.334,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   14.506,  8,   35.334,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  10,   14.470,  8,   35.334,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  15,   14.442,  8,   35.333,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  20,   14.399,  8,   35.333,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  30,   13.985,  8,   35.339,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  50,   11.228,  8,   35.400,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  75,   10.659,  8,   35.407,  8
