Box Name: 22 HS
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    8.353,  8,   35.250,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    8.355,  8,   35.250,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    8.357,  8,   35.286,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    8.359,  8,   35.286,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    8.200,  8,   35.286,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    8.203,  8,   35.286,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    8.770,  8,   35.264,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    8.746,  8,   35.264,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    9.921,  8,   35.225,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,    9.884,  8,   35.225,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   11.295,  8,   35.063,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,   11.263,  8,   35.065,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   12.019,  8,   34.979,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   12.006,  8,   34.980,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   12.641,  8,   34.974,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   12.622,  8,   34.974,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   0,   12.881,  8,   35.029,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   3,   12.878,  8,   35.029,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   0,   11.227,  8,   34.987,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   3,   11.233,  8,   34.987,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   0,   10.186,  8,   35.092,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   3,   10.191,  8,   35.092,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   0,    9.057,  8,   35.199,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   3,    9.062,  8,   35.199,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   0,    8.264,  8,   35.159,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   3,    8.268,  8,   35.159,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   0,    7.614,  8,   35.153,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   3,    7.617,  8,   35.153,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   0,    7.382,  8,   35.156,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   3,    7.383,  8,   35.156,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   0,    7.830,  8,   35.157,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   3,    7.816,  8,   35.158,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   0,    9.360,  8,   35.184,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   3,    9.345,  8,   35.184,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   0,   10.622,  8,   35.189,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   3,   10.612,  8,   35.189,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   0,   12.760,  8,   35.180,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   3,   12.728,  8,   35.182,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   0,   13.786,  8,   35.141,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   3,   13.760,  8,   35.143,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,   0,   12.999,  8,   35.099,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,   3,   12.998,  8,   35.099,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,   0,   11.745,  8,   35.127,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,   3,   11.750,  8,   35.128,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,   0,   10.931,  8,   35.154,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,   3,   10.934,  8,   35.154,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,   0,   10.266,  8,   35.190,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,   3,   10.271,  8,   35.190,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,   0,    8.987,  8,   35.152,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,   3,    8.992,  8,   35.152,  8
NaN, NaN,1995,02,15,12,00,      NaN,      NaN, NaN,   0,    8.294,  8,   35.156,  8
NaN, NaN,1995,02,15,12,00,      NaN,      NaN, NaN,   3,    8.299,  8,   35.156,  8
NaN, NaN,1995,03,15,12,00,      NaN,      NaN, NaN,   0,    7.822,  8,   35.160,  8
NaN, NaN,1995,03,15,12,00,      NaN,      NaN, NaN,   3,    7.826,  8,   35.161,  8
NaN, NaN,1995,04,15,12,00,      NaN,      NaN, NaN,   0,    8.124,  8,   35.151,  8
NaN, NaN,1995,04,15,12,00,      NaN,      NaN, NaN,   3,    8.124,  8,   35.151,  8
NaN, NaN,1995,05,15,12,00,      NaN,      NaN, NaN,   0,    9.318,  8,   35.085,  8
NaN, NaN,1995,05,15,12,00,      NaN,      NaN, NaN,   3,    9.310,  8,   35.086,  8
NaN, NaN,1995,06,15,12,00,      NaN,      NaN, NaN,   0,   11.742,  8,   35.029,  8
NaN, NaN,1995,06,15,12,00,      NaN,      NaN, NaN,   3,   11.627,  8,   35.029,  8
NaN, NaN,1995,07,15,12,00,      NaN,      NaN, NaN,   0,   13.658,  8,   35.017,  8
NaN, NaN,1995,07,15,12,00,      NaN,      NaN, NaN,   3,   13.622,  8,   35.018,  8
NaN, NaN,1995,08,15,12,00,      NaN,      NaN, NaN,   0,   15.301,  8,   35.092,  8
NaN, NaN,1995,08,15,12,00,      NaN,      NaN, NaN,   3,   15.273,  8,   35.092,  8
NaN, NaN,1995,09,15,12,00,      NaN,      NaN, NaN,   0,   14.014,  8,   35.009,  8
NaN, NaN,1995,09,15,12,00,      NaN,      NaN, NaN,   3,   14.012,  8,   35.009,  8
NaN, NaN,1995,10,15,12,00,      NaN,      NaN, NaN,   0,   12.180,  8,   35.082,  8
NaN, NaN,1995,10,15,12,00,      NaN,      NaN, NaN,   3,   12.183,  8,   35.083,  8
NaN, NaN,1995,11,15,12,00,      NaN,      NaN, NaN,   0,   11.435,  8,   35.131,  8
