Box Name: 23 Minch
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    6.834,  8,   34.401,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    6.912,  8,   34.483,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    6.796,  8,   34.533,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    7.825,  8,   34.484,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    9.468,  8,   34.461,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   11.122,  8,   34.294,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   12.236,  8,   34.236,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   12.837,  8,   34.239,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   0,   12.669,  8,   34.302,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   0,   11.169,  8,   34.357,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   0,    9.714,  8,   34.403,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   0,    7.915,  8,   34.380,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   0,    6.762,  8,   34.288,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   0,    5.983,  8,   34.278,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   0,    5.678,  8,   34.240,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   0,    6.490,  8,   34.274,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   0,    8.595,  8,   34.259,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   0,   10.230,  8,   34.336,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   0,   12.786,  8,   34.333,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   0,   13.777,  8,   34.350,  8
