Box Name: 27 ISJ
Data Source: UK Met Office
Data Contact: Bee Berx (barbara.berx@gov.scot); Richard Renshaw
Comment/Note (incl. method description): Extraction from UK Met Office reanalysis product - average in polygon described by boundaries
Cruise ID / Site ID,Station Name,Year,Month,Day,Hour,Minute,Dec Lat,Dec Lon,Sounding,Pressure,Temp,Temp Flag,Sal,Sal Flag
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   0,    8.317,  8,   34.605,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,   3,    8.319,  8,   34.605,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  10,    8.322,  8,   34.606,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  15,    8.323,  8,   34.606,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  20,    8.324,  8,   34.607,  8
NaN, NaN,1993,01,15,12,00,      NaN,      NaN, NaN,  30,    8.326,  8,   34.608,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   0,    7.487,  8,   34.484,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,   3,    7.488,  8,   34.484,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  10,    7.488,  8,   34.485,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  15,    7.488,  8,   34.485,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  20,    7.487,  8,   34.485,  8
NaN, NaN,1993,02,15,12,00,      NaN,      NaN, NaN,  30,    7.487,  8,   34.486,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   0,    7.233,  8,   34.441,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,   3,    7.230,  8,   34.441,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  10,    7.226,  8,   34.442,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  15,    7.224,  8,   34.442,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  20,    7.223,  8,   34.443,  8
NaN, NaN,1993,03,15,12,00,      NaN,      NaN, NaN,  30,    7.223,  8,   34.447,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   0,    8.058,  8,   34.468,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,   3,    8.036,  8,   34.469,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  10,    7.956,  8,   34.472,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  15,    7.896,  8,   34.478,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  20,    7.835,  8,   34.485,  8
NaN, NaN,1993,04,15,12,00,      NaN,      NaN, NaN,  30,    7.759,  8,   34.502,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   0,    9.745,  8,   34.451,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,   3,    9.702,  8,   34.453,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  10,    9.569,  8,   34.458,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  15,    9.448,  8,   34.466,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  20,    9.318,  8,   34.475,  8
NaN, NaN,1993,05,15,12,00,      NaN,      NaN, NaN,  30,    9.121,  8,   34.502,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   0,   12.324,  8,   34.185,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,   3,   12.182,  8,   34.187,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  10,   11.607,  8,   34.250,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  15,   10.734,  8,   34.366,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  20,   10.523,  8,   34.413,  8
NaN, NaN,1993,06,15,12,00,      NaN,      NaN, NaN,  30,   10.360,  8,   34.487,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   0,   13.343,  8,   34.205,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,   3,   13.315,  8,   34.207,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  10,   12.990,  8,   34.239,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  15,   12.236,  8,   34.291,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  20,   11.634,  8,   34.333,  8
NaN, NaN,1993,07,15,12,00,      NaN,      NaN, NaN,  30,   11.413,  8,   34.384,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   0,   13.843,  8,   34.278,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,   3,   13.792,  8,   34.278,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  10,   13.660,  8,   34.286,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  15,   13.444,  8,   34.304,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  20,   12.977,  8,   34.340,  8
NaN, NaN,1993,08,15,12,00,      NaN,      NaN, NaN,  30,   12.602,  8,   34.362,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   0,   14.047,  8,   34.421,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,   3,   14.036,  8,   34.421,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  10,   13.996,  8,   34.422,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  15,   13.948,  8,   34.422,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  20,   13.876,  8,   34.425,  8
NaN, NaN,1993,09,15,12,00,      NaN,      NaN, NaN,  30,   13.706,  8,   34.431,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   0,   13.334,  8,   34.701,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,   3,   13.342,  8,   34.701,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  10,   13.349,  8,   34.702,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  15,   13.352,  8,   34.704,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  20,   13.357,  8,   34.706,  8
NaN, NaN,1993,10,15,12,00,      NaN,      NaN, NaN,  30,   13.369,  8,   34.711,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   0,   11.660,  8,   34.777,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,   3,   11.668,  8,   34.777,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  10,   11.675,  8,   34.777,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  15,   11.678,  8,   34.778,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  20,   11.681,  8,   34.779,  8
NaN, NaN,1993,11,15,12,00,      NaN,      NaN, NaN,  30,   11.687,  8,   34.781,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   0,   10.026,  8,   34.852,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,   3,   10.031,  8,   34.852,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  10,   10.037,  8,   34.853,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  15,   10.040,  8,   34.853,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  20,   10.042,  8,   34.853,  8
NaN, NaN,1993,12,15,12,00,      NaN,      NaN, NaN,  30,   10.045,  8,   34.854,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   0,    8.180,  8,   34.858,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,   3,    8.185,  8,   34.858,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  10,    8.191,  8,   34.858,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  15,    8.195,  8,   34.859,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  20,    8.199,  8,   34.860,  8
NaN, NaN,1994,01,15,12,00,      NaN,      NaN, NaN,  30,    8.208,  8,   34.863,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   0,    7.173,  8,   34.851,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,   3,    7.177,  8,   34.851,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,  10,    7.181,  8,   34.851,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,  15,    7.184,  8,   34.852,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,  20,    7.186,  8,   34.853,  8
NaN, NaN,1994,02,15,12,00,      NaN,      NaN, NaN,  30,    7.192,  8,   34.855,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   0,    6.822,  8,   34.769,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,   3,    6.821,  8,   34.769,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,  10,    6.820,  8,   34.770,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,  15,    6.820,  8,   34.773,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,  20,    6.821,  8,   34.777,  8
NaN, NaN,1994,03,15,12,00,      NaN,      NaN, NaN,  30,    6.831,  8,   34.787,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   0,    7.285,  8,   34.680,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,   3,    7.266,  8,   34.681,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,  10,    7.208,  8,   34.686,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,  15,    7.167,  8,   34.688,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,  20,    7.140,  8,   34.690,  8
NaN, NaN,1994,04,15,12,00,      NaN,      NaN, NaN,  30,    7.106,  8,   34.696,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   0,    8.970,  8,   34.647,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,   3,    8.942,  8,   34.647,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,  10,    8.850,  8,   34.648,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,  15,    8.756,  8,   34.652,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,  20,    8.638,  8,   34.663,  8
NaN, NaN,1994,05,15,12,00,      NaN,      NaN, NaN,  30,    8.367,  8,   34.682,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   0,   11.123,  8,   34.468,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,   3,   11.039,  8,   34.469,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,  10,   10.772,  8,   34.476,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,  15,   10.400,  8,   34.489,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,  20,    9.839,  8,   34.515,  8
NaN, NaN,1994,06,15,12,00,      NaN,      NaN, NaN,  30,    9.527,  8,   34.555,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   0,   13.147,  8,   34.308,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,   3,   13.035,  8,   34.313,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,  10,   12.340,  8,   34.341,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,  15,   11.640,  8,   34.368,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,  20,   11.064,  8,   34.395,  8
NaN, NaN,1994,07,15,12,00,      NaN,      NaN, NaN,  30,   10.736,  8,   34.420,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   0,   14.149,  8,   34.364,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,   3,   14.103,  8,   34.365,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,  10,   13.819,  8,   34.379,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,  15,   13.336,  8,   34.403,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,  20,   12.726,  8,   34.424,  8
NaN, NaN,1994,08,15,12,00,      NaN,      NaN, NaN,  30,   12.289,  8,   34.434,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,   0,   13.495,  8,   34.375,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,   3,   13.489,  8,   34.376,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,  10,   13.461,  8,   34.378,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,  15,   13.403,  8,   34.382,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,  20,   13.307,  8,   34.388,  8
NaN, NaN,1994,09,15,12,00,      NaN,      NaN, NaN,  30,   13.082,  8,   34.402,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,   0,   12.841,  8,   34.384,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,   3,   12.841,  8,   34.386,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,  10,   12.837,  8,   34.390,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,  15,   12.836,  8,   34.391,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,  20,   12.835,  8,   34.391,  8
NaN, NaN,1994,10,15,12,00,      NaN,      NaN, NaN,  30,   12.834,  8,   34.393,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,   0,   12.537,  8,   34.381,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,   3,   12.542,  8,   34.381,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,  10,   12.546,  8,   34.382,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,  15,   12.547,  8,   34.382,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,  20,   12.548,  8,   34.382,  8
NaN, NaN,1994,11,15,12,00,      NaN,      NaN, NaN,  30,   12.551,  8,   34.384,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,   0,   11.289,  8,   34.392,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,   3,   11.294,  8,   34.392,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,  10,   11.300,  8,   34.393,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,  15,   11.302,  8,   34.393,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,  20,   11.303,  8,   34.393,  8
NaN, NaN,1994,12,15,12,00,      NaN,      NaN, NaN,  30,   11.306,  8,   34.393,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,   0,    9.247,  8,   34.429,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,   3,    9.251,  8,   34.429,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,  10,    9.257,  8,   34.429,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,  15,    9.259,  8,   34.429,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,  20,    9.261,  8,   34.429,  8
NaN, NaN,1995,01,15,12,00,      NaN,      NaN, NaN,  30,    9.262,  8,   34.430,  8
