# Index:,NWES_001,
# Station Description:,Point 33 - Astan,
# Region Code:,NWES,
# Latitude:,48.78 N,
# Longitude:,3.94 W,
# Detailed Location (WKT):,,
# Measurement Depth/Range:,2 m,
# Sampling Frequency:,Every two weeks,
# Data Source:,CNRS - Observatoire Oceanologique de Roscoff - France,
# Contact Name (email):,Pascal Morin (pmorin@sb-roscoff.fr),
# Notes:,,
# Reference:,,
# DOI:,,
# Website:,,
Decimal Year,Temperature °C,Salinity
1998.015,11.6,35.584
1998.059,11.2,35.297
1998.095,9.9,35.522
1998.155,10.5,35.246
1998.177,10,35.054
1998.229,10.4,35.012
1998.262,10.5,35.113
1998.308,10.7,34.899
1998.338,11.5,35.204
1998.396,13.4,35.183
1998.434,14.2,35.279
1998.473,14.5,35.279
1998.511,15.1,35.268
1998.552,15.6,35.288
1998.593,15.9,35.392
1998.637,15.9,35.405
1998.667,15.8,35.434
1998.722,15.4,35.452
1998.785,14.7,35.469
1998.821,14.2,35.606
1998.864,13.3,35.323
1998.914,12.2,35.31
1998.944,11.8,35.356
1998.974,11.2,35.402
1999.015,11.2,35.301
1999.073,10.7,35.201
1999.114,10.2,35.259
1999.152,10.2,35.25
1999.19,10.2,35.204
1999.218,,35.381
1999.267,11,35.297
1999.316,11.2,35.205
1999.36,12.6,35.214
1999.396,13,35.225
1999.432,13.5,35.242
1999.473,14.5,35.257
1999.511,14.9,35.307
1999.579,15.7,35.3
1999.623,15.4,35.294
1999.648,15.3,35.518
1999.684,15.5,35.306
1999.766,15.2,35.306
1999.804,14.9,35.368
1999.837,14.5,35.4
1999.873,,
1999.916,13.2,35.229
1999.958,11.6,35.153
1999.996,,
2000.122,10,35.051
2000.16,10.35,34.904
2000.198,10.4,34.969
2000.242,10.4,34.976
2000.28,10,34.726
2000.321,10.75,35.233
2000.359,11.5,34.963
2000.4,12.5,34.782
2000.439,10,34.781
2000.523,14.1,34.993
2000.561,14.6,35.071
2000.605,15.9,35.378
2000.646,15.3,35.297
2000.684,15.1,35.378
2000.725,14.9,35.386
2000.764,14.6,35.393
2000.802,14.1,35.321
2000.854,13,35.269
2000.887,12.2,35.297
2000.925,11.8,35.209
2000.966,11.8,34.988
2001.021,11.35,34.247
2001.048,10.45,34.221
2001.089,10.55,34.106
2001.127,11,34.249
2001.174,9.85,34.202
2001.212,10.6,34.488
2001.251,11.4,34.622
2001.311,11.5,34.748
2001.333,11.7,34.722
2001.371,12.15,34.852
2001.41,13.3,35.023
2001.448,13.95,35.129
2001.489,14.6,35.22
2001.53,15.1,35.235
2001.579,17.7,35.25
2001.618,16,35.293
2001.653,16.1,35.28
2001.697,15.9,35.351
2001.736,15.7,35.328
2001.777,15.3,35.361
2001.815,14.55,
2001.864,13.5,35.362
2001.895,13.1,35.366
2001.933,13.05,35.344
2001.963,11.6,35.361
2002.021,9.9,35.313
2002.062,11.5,35.354
2002.103,10.5,35.34
2002.144,10.3,35.27
2002.182,10.8,35.213
2002.221,10.68,35.225
2002.259,11,35.219
2002.305,11.6,35.199
2002.344,12,35.043
2002.39,12.6,35.013
2002.421,13,35.061
2002.462,13.7,
2002.505,14.5,35.002
2002.547,15,
2002.585,15.3,35.036
2002.632,,
2002.67,16,35.275
2002.708,16.2,
2002.747,15.75,35.286
2002.785,14.6,35.283
2002.829,14.05,35.373
2002.864,13.8,35.228
2002.905,12.9,35.075
2002.947,11,34.856
2003.034,10,34.829
2003.114,9.8,34.81
2003.152,9.45,34.907
2003.193,9.8,34.851
2003.232,10.2,34.822
2003.273,10.3,34.732
2003.311,11,34.586
2003.347,11.7,34.698
2003.388,12.4,34.718
2003.44,13.8,34.644
2003.475,14.3,34.91
2003.516,14.95,35.026
2003.558,15.5,34.941
2003.599,16.1,35.274
2003.637,16.2,35.331
2003.675,15.85,
2003.714,15.8,35.468
2003.752,15.5,35.753
2003.804,15,35.688
2003.84,13.6,35.441
2003.878,12.8,35.744
2003.919,12,35.429
2003.96,11.5,35.439
2004.012,11.5,35.324
2004.072,10.4,35.059
2004.13,10.45,35.191
2004.165,9.6,35.175
2004.195,9.3,35.095
2004.245,9.75,34.782
2004.286,10.6,34.809
2004.362,11.4,35.219
2004.403,12.35,35.002
2004.441,13.4,35.112
