# Index:,NWES_002,,
# Station Description:,M3 Marine Data Buoy,,
# Region Code:,NWES,,
# Latitude:,51.22 N,,
# Longitude:,10.55 W,,
# Detailed Location (WKT):,,,
# Measurement Depth/Range:,Surface,,
# Sampling Frequency:,"Sensors: hourly; Timeseries: daily at noon",,
# Long Term Averaging Period:,2003-2020,,
# Long Term Mean:,13.02,,
# Long Term Standard Deviation:,0.26,,
# Calculation Methodology:,"Annual mean anomalies calculated by subtracting long term mean from annual mean SST",,
# Data Source:,Marine Institute Ireland,,
# Contact Name (email):,Eoghan Daly (eoghan.daly@marine.ie),,
# Notes:,"Buoy-hull or SBE39 temperature sensors deployed on Irish Marine Data Buoy Observation Network (IMDBON) buoys- annual means calculated from diurnally smoothed and daily averaged SST data, since start of reference period",,
# Reference:,,,
# DOI:,,,
# Website:,https://data.marine.ie/geonetwork/srv/eng/catalog.search#/metadata/ie.marine.data:dataset.4534,,
Year,Temperature °C,Temperature Anomaly °C,Temperature Anomaly Normalised °C
2003,13.42,0.40,1.56
2004,13.04,0.02,0.09
2005,13.14,0.12,0.47
2006,13.11,0.09,0.36
2007,13.38,0.36,1.40
2008,12.82,-0.20,-0.77
2009,12.76,-0.26,-1.00
2010,13.06,0.04,0.16
2011,12.68,-0.34,-1.31
2012,12.13,-0.89,-3.44
2013,,,
2014,13.41,0.39,1.52
2015,12.77,-0.25,-0.96
2016,13.08,0.06,0.24
2017,13.05,0.03,0.12
2018,13.07,0.05,0.20
2019,12.92,-0.10,-0.38
2020,12.74,-0.28,-1.08
2021,13.00,-0.02,-0.07
2022,13.57,0.55,2.14
2023,13.52,0.50,1.94
2024,13.08,0.06,0.24
2025,13.80,0.78,3.03
