# Index:,NWES_002,,,
# Station Description:,M3 Marine Data Buoy,,,
# Region Code:,NWES,,,
# Latitude:,51.22 N,,,
# Longitude:,10.55 W,,,
# Detailed Location (WKT):,,,,
# Measurement Depth/Range:,Surface,,,
# Sampling Frequency:,"Sensors: hourly; Timeseries: daily at noon",,,
# Long Term Averaging Period:,2003-2020,,,
# Calculation Methodology:,"monthly means calculated from diurnally smoothed, daily averaged SST data",,,
# Data Source:,Marine Institute Ireland,,,
# Contact Name (email):,Eoghan Daly (eoghan.daly@marine.ie),,,
# Notes:,"Buoy-hull or SBE39 temperature sensors deployed on Irish Marine Data Buoy Observation Network (IMDBON) buoys- monthly mean calculated from diurnally smoothed and daily averaged SST data, since start of reference period",,,
# Reference:,,,,
# DOI:,,,,
# Website:,https://data.marine.ie/geonetwork/srv/eng/catalog.search#/metadata/ie.marine.data:dataset.4534,,,
Month,Temperature °C,SD,Min,Max
0.5,11.1,0.37,10.0,12.2
1.5,10.7,0.33,9.9,11.5
2.5,10.7,0.35,9.7,11.4
3.5,11.1,0.56,10.1,13.2
4.5,12.2,0.78,10.7,14.8
5.5,14.3,1.09,11.8,17.7
6.5,15.7,1.04,13.6,18.2
7.5,16.2,0.77,13.9,18.3
8.5,15.7,0.93,13.2,17.9
9.5,14.0,0.92,11.6,16.6
10.5,12.5,0.85,10.7,14.6
11.5,11.4,0.60,10.1,12.7
Measured Data for year 2003,,,,
Month,Temperature °C,Day count,,
0.5,11.38,28,,
1.5,10.71,26,,
2.5,11.05,30,,
3.5,11.36,27,,
4.5,11.99,31,,
5.5,14.07,26,,
6.5,15.70,31,,
7.5,17.38,31,,
8.5,17.04,30,,
9.5,15.10,28,,
10.5,12.92,30,,
11.5,11.73,31,,
Measured Data for year 2004,,,,
Month,Temperature °C,Day count,,
0.5,11.26,26,,
1.5,11.02,24,,
2.5,10.99,31,,
3.5,11.10,24,,
4.5,12.28,29,,
5.5,14.96,24,,
6.5,15.70,31,,
7.5,16.90,31,,
8.5,15.28,30,,
9.5,12.98,31,,
10.5,11.78,30,,
11.5,11.49,31,,
Measured Data for year 2005,,,,
Month,Temperature °C,Day count,,
0.5,11.10,31,,
1.5,10.84,28,,
2.5,10.69,31,,
3.5,11.06,30,,
4.5,11.77,31,,
5.5,14.16,30,,
6.5,16.15,31,,
7.5,17.05,31,,
8.5,16.58,30,,
9.5,14.02,30,,
10.5,12.93,30,,
11.5,11.20,31,,
Measured Data for year 2006,,,,
Month,Temperature °C,Day count,,
0.5,11.05,31,,
1.5,10.64,28,,
2.5,10.13,31,,
3.5,10.59,30,,
4.5,11.59,31,,
5.5,14.57,30,,
6.5,16.29,31,,
7.5,16.37,30,,
8.5,16.25,30,,
9.5,14.84,31,,
10.5,13.25,30,,
11.5,11.72,31,,
Measured Data for year 2007,,,,
Month,Temperature °C,Day count,,
0.5,11.32,31,,
1.5,10.95,28,,
2.5,10.83,31,,
3.5,11.96,30,,
4.5,12.78,31,,
5.5,14.72,29,,
6.5,15.50,31,,
7.5,15.72,31,,
8.5,16.32,30,,
9.5,14.81,31,,
10.5,13.62,30,,
11.5,11.98,31,,
Measured Data for year 2008,,,,
Month,Temperature °C,Day count,,
0.5,11.63,31,,
1.5,11.38,29,,
2.5,11.03,31,,
3.5,10.99,30,,
4.5,12.84,31,,
5.5,14.62,30,,
6.5,15.36,31,,
7.5,16.20,31,,
8.5,14.65,30,,
9.5,13.12,31,,
10.5,11.50,30,,
11.5,10.49,31,,
Measured Data for year 2009,,,,
Month,Temperature °C,Day count,,
0.5,10.60,31,,
1.5,10.25,28,,
2.5,10.42,31,,
3.5,10.72,30,,
4.5,11.37,31,,
5.5,14.50,30,,
6.5,16.08,31,,
7.5,15.80,31,,
8.5,14.73,30,,
9.5,14.71,31,,
10.5,12.60,30,,
11.5,11.12,31,,
Measured Data for year 2010,,,,
Month,Temperature °C,Day count,,
0.5,10.76,31,,
1.5,10.47,28,,
2.5,10.49,31,,
3.5,11.18,30,,
4.5,12.53,31,,
5.5,15.23,28,,
6.5,15.72,31,,
7.5,16.31,31,,
8.5,16.38,30,,
9.5,14.81,31,,
10.5,12.23,30,,
11.5,10.55,31,,
Measured Data for year 2011,,,,
Month,Temperature °C,Day count,,
0.5,10.53,31,,
1.5,10.75,28,,
2.5,10.79,31,,
3.5,11.78,30,,
4.5,12.40,31,,
5.5,12.90,30,,
6.5,14.43,31,,
7.5,15.45,31,,
8.5,14.76,20,,
9.5,13.63,19,,
10.5,13.03,30,,
11.5,12.34,10,,
Measured Data for year 2012,,,,
Month,Temperature °C,Day count,,
0.5,,0,,
1.5,,0,,
2.5,,0,,
3.5,,0,,
4.5,,0,,
5.5,13.60,30,,
6.5,14.89,31,,
7.5,15.82,30,,
8.5,15.09,30,,
9.5,12.50,31,,
10.5,11.17,30,,
11.5,10.52,31,,
Measured Data for year 2013,,,,
Month,Temperature °C,Day count,,
0.5,10.68,31,,
1.5,10.55,11,,
2.5,,0,,
3.5,,0,,
4.5,,0,,
5.5,,0,,
6.5,,0,,
7.5,,0,,
8.5,,0,,
9.5,,0,,
10.5,,0,,
11.5,,0,,
Measured Data for year 2014,,,,
Month,Temperature °C,Day count,,
0.5,,0,,
1.5,,0,,
2.5,10.30,19,,
3.5,10.85,30,,
4.5,12.01,31,,
5.5,15.16,30,,
6.5,17.19,31,,
7.5,16.54,31,,
8.5,16.24,30,,
9.5,14.91,31,,
10.5,13.12,5,,
11.5,11.67,31,,
Measured Data for year 2015,,,,
Month,Temperature °C,Day count,,
0.5,11.26,31,,
1.5,10.60,28,,
2.5,10.48,31,,
3.5,11.07,30,,
4.5,11.71,31,,
5.5,13.42,30,,
6.5,14.90,31,,
7.5,15.17,31,,
8.5,15.07,30,,
9.5,14.11,31,,
10.5,13.06,30,,
11.5,12.26,31,,
Measured Data for year 2016,,,,
Month,Temperature °C,Day count,,
0.5,11.52,31,,
1.5,10.85,24,,
2.5,,0,,
3.5,,0,,
4.5,12.92,12,,
5.5,14.98,30,,
6.5,15.44,31,,
7.5,16.08,31,,
8.5,15.40,30,,
9.5,13.99,31,,
10.5,12.51,30,,
11.5,11.40,31,,
Measured Data for year 2017,,,,
Month,Temperature °C,Day count,,
0.5,11.01,31,,
1.5,10.85,18,,
2.5,10.65,6,,
3.5,11.44,30,,
4.5,12.49,31,,
5.5,14.23,30,,
6.5,15.34,30,,
7.5,,0,,
8.5,,0,,
9.5,13.79,26,,
10.5,13.54,2,,
11.5,11.66,29,,
Measured Data for year 2018,,,,
Month,Temperature °C,Day count,,
0.5,10.86,31,,
1.5,10.34,20,,
2.5,,0,,
3.5,11.01,18,,
4.5,11.76,23,,
5.5,,0,,
6.5,17.64,25,,
7.5,16.46,31,,
8.5,15.20,30,,
9.5,13.77,31,,
10.5,12.44,30,,
11.5,11.71,31,,
Measured Data for year 2019,,,,
Month,Temperature °C,Day count,,
0.5,11.28,31,,
1.5,10.72,6,,
2.5,,0,,
3.5,11.09,29,,
4.5,12.33,31,,
5.5,13.81,30,,
6.5,16.88,31,,
7.5,16.21,31,,
8.5,15.67,30,,
9.5,13.83,31,,
10.5,11.48,30,,
11.5,10.65,31,,
Measured Data for year 2020,,,,
Month,Temperature °C,Day count,,
0.5,10.59,3,,
1.5,,0,,
2.5,,0,,
3.5,10.88,30,,
4.5,12.23,31,,
5.5,13.64,30,,
6.5,14.76,31,,
7.5,16.50,31,,
8.5,15.36,10,,
9.5,12.95,9,,
10.5,12.24,30,,
11.5,11.22,31,,
Measured Data for year 2021,,,,
Month,Temperature °C,Day count,,
0.5,10.25,31,,
1.5,10.26,28,,
2.5,10.63,31,,
3.5,10.96,30,,
4.5,11.81,31,,
5.5,13.73,30,,
6.5,16.40,31,,
7.5,16.68,31,,
8.5,16.77,30,,
9.5,14.52,31,,
10.5,12.45,30,,
11.5,11.31,31,,
Measured Data for year 2022,,,,
Month,Temperature °C,Day count,,
0.5,11.26,31,,
1.5,11.22,28,,
2.5,11.05,31,,
3.5,11.56,30,,
4.5,13.18,31,,
5.5,14.53,30,,
6.5,15.81,31,,
7.5,17.16,31,,
8.5,16.72,30,,
9.5,15.08,31,,
10.5,13.17,30,,
11.5,11.88,31,,
Measured Data for year 2023,,,,
Month,Temperature °C,Day count,,
0.5,11.39,31,,
1.5,11.22,28,,
2.5,11.01,31,,
3.5,11.20,30,,
4.5,13.20,30,,
5.5,16.69,30,,
6.5,16.43,31,,
7.5,16.09,31,,
8.5,16.35,30,,
9.5,14.45,31,,
10.5,12.44,30,,
11.5,11.52,30,,
Measured Data for year 2024,,,,
Month,Temperature °C,Day count,,
0.5,11.20,31,,
1.5,11.22,29,,
2.5,10.77,31,,
3.5,11.04,30,,
4.5,13.26,31,,
5.5,13.85,30,,
6.5,14.80,31,,
7.5,16.14,31,,
8.5,15.03,30,,
9.5,14.22,31,,
10.5,13.28,30,,
11.5,12.03,31,,
Measured Data for year 2025,,,,
Month,Temperature °C,Day count,,
0.5,11.47,31,,
1.5,11.47,28,,
2.5,11.51,31,,
3.5,11.99,30,,
4.5,14.66,31,,
5.5,15.48,30,,
6.5,16.71,31,,
7.5,17.28,31,,
8.5,15.57,30,,
9.5,14.20,31,,
10.5,13.01,30,,
11.5,12.06,31,,
