# Index:,NWES_002
# Station Description:,M3 Marine Data Buoy
# Region Code:,NWES
# Latitude:,51.22 N
# Longitude:,10.55 W
# Detailed Location (WKT):,
# Measurement Depth/Range:,Surface
# Sampling Frequency:,"Sensors: hourly; Timeseries: daily at noon"
# Data Source:,Marine Institute
# Contact Name (email):,Eoghan Daly (eoghan.daly@marine.ie)
# Notes:,"Buoy-hull or SBE39 temperature sensors deployed on Irish Marine Data Buoy Observation Network (IMDBON) buoys- diurnally smoothed and daily averaged SST data, since start of reference period"
# Reference:,
# DOI:,
# Website:,https://data.marine.ie/geonetwork/srv/eng/catalog.search#/metadata/ie.marine.data:dataset.4534
Decimal Year,Temperature °C
2002.557534,15.232
2002.560274,15.154
2002.563014,15.138
2002.565753,15.237
2002.568493,15.328
2002.571233,15.472
2002.573973,15.556
2002.576712,15.439
2002.579452,15.097
2002.582192,14.771
2002.584932,15
2002.587671,14.979
2002.590411,15.165
2002.593151,15.434
2002.59589,15.637
2002.59863,15.388
2002.60137,15.031
2002.60411,14.925
2002.606849,15.1
2002.609589,14.979
2002.612329,15.196
2002.615068,15.338
2002.617808,15.382
2002.620548,15.563
2002.623288,15.628
2002.626027,15.367
2002.628767,15.481
2002.631507,15.713
2002.634247,15.905
2002.636986,16.031
2002.639726,16.327
2002.642466,16.475
2002.645205,16.299
2002.647945,16.334
2002.650685,16.469
2002.653425,16.535
2002.656164,16.509
2002.658904,16.765
2002.661644,16.291
2002.664384,16.017
2002.667123,15.96
2002.669863,15.828
2002.672603,15.942
2002.675342,16.154
2002.678082,16.156
2002.680822,16.104
2002.683562,15.799
2002.686301,15.747
2002.689041,15.777
2002.691781,15.681
2002.694521,15.626
2002.69726,15.58
2002.7,15.548
2002.70274,15.602
2002.705479,15.803
2002.708219,15.954
2002.710959,15.93
2002.716438,15.835
2002.719178,15.833
2002.721918,15.904
2002.724658,16.053
2002.727397,16.007
2002.730137,16.033
2002.732877,16.148
2002.735616,16.195
2002.738356,16.106
2002.741096,15.927
2002.743836,15.888
2002.746575,15.923
2002.749315,15.945
2002.752055,15.95
2002.754795,15.944
2002.757534,15.964
2002.760274,15.97
2002.763014,15.945
2002.765753,15.899
2002.768493,15.809
2002.771233,15.714
2002.773973,15.809
2002.776712,15.762
2002.779452,15.524
2002.782192,15.33
2002.784932,15.267
2002.787671,14.974
2002.790411,14.954
2002.793151,14.891
2002.79589,14.816
2002.79863,14.763
2002.80137,14.5
2002.80411,14.605
2002.806849,14.503
2002.809589,14.233
2002.812329,14.053
2002.815068,13.982
2002.817808,13.826
2002.820548,13.726
2002.823288,13.957
2002.826027,13.802
2002.828767,13.569
2002.941096,11.51
2002.943836,11.46
2002.946575,11.451
2002.949315,11.421
2002.952055,11.417
2002.954795,11.173
2002.957534,11.123
2002.960274,11.121
2002.963014,11.189
2002.965753,11.311
2002.968493,11.49
2002.971233,11.457
2002.973973,11.471
2002.976712,11.615
2002.979452,11.659
2002.982192,11.603
2002.984932,11.508
2002.987671,11.506
2002.990411,11.507
2002.993151,11.518
2002.99589,11.505
2002.99863,11.53
2003.00137,11.554
2003.00411,11.495
2003.006849,11.479
2003.012329,11.518
2003.015068,11.471
2003.017808,11.388
2003.020548,11.335
2003.026027,11.407
2003.028767,11.471
2003.031507,11.455
2003.034247,11.44
2003.036986,11.489
2003.039726,11.5
2003.042466,11.492
2003.045205,11.458
2003.050685,11.404
2003.053425,11.4
2003.056164,11.389
2003.058904,11.353
2003.061644,11.316
2003.064384,11.322
2003.067123,11.308
2003.069863,11.316
2003.072603,11.305
2003.075342,11.25
2003.078082,11.242
2003.080822,11.12
2003.083562,11.054
2003.086301,11.026
2003.089041,10.783
2003.091781,10.705
2003.094521,10.742
2003.1,10.633
2003.10274,10.542
2003.105479,10.527
2003.108219,10.501
2003.110959,10.544
2003.113699,10.545
2003.116438,10.483
2003.119178,10.431
2003.124658,10.702
2003.127397,10.805
2003.130137,10.886
2003.132877,10.782
2003.135616,10.704
2003.138356,10.79
2003.141096,10.759
2003.143836,10.762
2003.146575,10.766
2003.149315,10.756
2003.152055,10.795
2003.154795,10.827
2003.157534,10.862
2003.160274,10.9
2003.163014,10.891
2003.165753,10.882
2003.168493,10.935
2003.171233,10.979
2003.173973,10.935
2003.176712,10.968
2003.179452,10.968
2003.182192,10.972
2003.184932,11
