# Index:,NWES_003,,,
# Station Description:,Malin Head (Portmore Pier) Fixed temperature sensors,,,
# Region Code:,NWES,,,
# Latitude:,55.37 N,,,
# Longitude:,7.33 W,,,
# Detailed Location (WKT):,,,,
# Measurement Depth/Range:,Surface,,,
# Sampling Frequency:,Twice daily historically but every 30 mins since 2008,,,
# Long Term Averaging Period:,1991-2020,,,
# Calculation Methodology:,"monthly means calculated from diurnally smoothed, daily averaged SST data",,,
# Data Source:,Marine Institute Ireland,,,
# Contact Name (email):,Eoghan Daly (eoghan.daly@marine.ie),,,
# Notes:,"SBE39 sensor- monthly means calculated from diurnally smoothed and daily averaged SST data, since start of reference period",,,
# Reference:,"Daves, S., Westbrook, G., Nolan, G., Thomas, R., Daly, E., 2026. Long-term sea surface temperature time series from Malin Head, Ireland. Earth System Science Data 18, 333–344. https://doi.org/10.5194/essd-18-333-2026",,,
# DOI:,https://doi.org/10.20393/314DE8E2-79F0-4D36-B2BE-EE2A7E5590E2,,,
# Website:,https://data.marine.ie/geonetwork/srv/eng/catalog.search#/metadata/ie.marine.data:dataset.5327,,,
Month,Temperature °C,SD,Min,Max
0.5,7.8,0.76,6.0,9.5
1.5,7.4,0.75,4.8,9.2
2.5,7.6,0.83,5.3,9.7
3.5,8.6,0.92,6.0,12.4
4.5,10.1,0.92,7.9,13.1
5.5,12.0,0.93,9.6,14.4
6.5,13.9,0.94,10.7,16.3
7.5,14.9,0.69,13.2,16.6
8.5,14.5,0.74,11.8,16.2
9.5,12.8,0.88,9.6,14.7
10.5,10.7,0.98,7.5,13.3
11.5,9.0,0.82,6.5,11.1
Measured Data for year 1991,,,,
Month,Temperature °C,Day count,,
0.5,6.87,31,,
1.5,6.19,28,,
2.5,7.27,31,,
3.5,7.80,30,,
4.5,9.24,31,,
5.5,10.87,30,,
6.5,13.38,31,,
7.5,14.65,31,,
8.5,14.41,30,,
9.5,12.05,31,,
10.5,9.66,30,,
11.5,8.55,31,,
Measured Data for year 1992,,,,
Month,Temperature °C,Day count,,
0.5,7.87,31,,
1.5,7.36,29,,
2.5,7.65,31,,
3.5,8.06,30,,
4.5,9.72,31,,
5.5,11.79,30,,
6.5,13.53,31,,
7.5,14.28,31,,
8.5,13.09,30,,
9.5,11.44,31,,
10.5,9.14,30,,
11.5,7.70,31,,
Measured Data for year 1993,,,,
Month,Temperature °C,Day count,,
0.5,6.65,31,,
1.5,7.13,28,,
2.5,7.27,31,,
3.5,8.06,30,,
4.5,9.41,31,,
5.5,11.33,30,,
6.5,13.11,31,,
7.5,13.59,31,,
8.5,12.70,30,,
9.5,11.08,31,,
10.5,8.98,30,,
11.5,7.47,31,,
Measured Data for year 1994,,,,
Month,Temperature °C,Day count,,
0.5,6.56,31,,
1.5,5.86,28,,
2.5,6.45,31,,
3.5,,0,,
4.5,9.10,31,,
5.5,10.91,30,,
6.5,13.29,31,,
7.5,14.28,31,,
8.5,13.64,30,,
9.5,12.21,31,,
10.5,10.77,30,,
11.5,9.14,31,,
Measured Data for year 1995,,,,
Month,Temperature °C,Day count,,
0.5,7.44,31,,
1.5,7.05,28,,
2.5,6.74,31,,
3.5,8.09,30,,
4.5,9.81,31,,
5.5,11.20,30,,
6.5,13.46,31,,
7.5,15.62,31,,
8.5,14.78,30,,
9.5,13.15,31,,
10.5,11.18,30,,
11.5,8.82,31,,
Measured Data for year 1996,,,,
Month,Temperature °C,Day count,,
0.5,7.51,31,,
1.5,6.40,29,,
2.5,6.51,31,,
3.5,7.67,30,,
4.5,9.16,31,,
5.5,11.46,30,,
6.5,13.23,31,,
7.5,14.27,31,,
8.5,13.74,30,,
9.5,12.52,31,,
10.5,10.25,30,,
11.5,8.06,31,,
Measured Data for year 1997,,,,
Month,Temperature °C,Day count,,
0.5,7.19,31,,
1.5,6.82,28,,
2.5,7.45,31,,
3.5,8.77,30,,
4.5,9.82,31,,
5.5,11.37,29,,
6.5,12.35,31,,
7.5,15.20,31,,
8.5,14.58,30,,
9.5,13.06,31,,
10.5,11.33,30,,
11.5,9.49,31,,
Measured Data for year 1998,,,,
Month,Temperature °C,Day count,,
0.5,8.08,31,,
1.5,8.33,28,,
2.5,8.31,31,,
3.5,8.36,30,,
4.5,10.29,31,,
5.5,11.71,30,,
6.5,13.51,31,,
7.5,14.39,31,,
8.5,14.29,30,,
9.5,12.50,31,,
10.5,10.00,30,,
11.5,8.91,31,,
Measured Data for year 1999,,,,
Month,Temperature °C,Day count,,
0.5,7.39,31,,
1.5,7.30,28,,
2.5,7.41,31,,
3.5,8.56,30,,
4.5,10.24,31,,
5.5,11.69,30,,
6.5,13.94,31,,
7.5,14.09,31,,
8.5,14.49,30,,
9.5,12.82,31,,
10.5,11.04,30,,
11.5,8.76,31,,
Measured Data for year 2000,,,,
Month,Temperature °C,Day count,,
0.5,7.87,31,,
1.5,7.49,29,,
2.5,7.83,31,,
3.5,8.10,30,,
4.5,9.88,31,,
5.5,12.15,30,,
6.5,13.34,31,,
7.5,15.00,31,,
8.5,14.88,30,,
9.5,12.62,31,,
10.5,9.73,30,,
11.5,8.36,31,,
Measured Data for year 2001,,,,
Month,Temperature °C,Day count,,
0.5,6.60,31,,
1.5,6.27,28,,
2.5,6.11,31,,
3.5,7.23,30,,
4.5,9.45,31,,
5.5,11.52,30,,
6.5,12.94,31,,
7.5,14.61,31,,
8.5,14.30,30,,
9.5,12.88,31,,
10.5,11.34,30,,
11.5,9.41,31,,
Measured Data for year 2002,,,,
Month,Temperature °C,Day count,,
0.5,7.90,31,,
1.5,7.75,28,,
2.5,7.91,31,,
3.5,9.17,30,,
4.5,10.47,31,,
5.5,12.08,30,,
6.5,13.47,31,,
7.5,14.46,31,,
8.5,14.27,30,,
9.5,12.56,31,,
10.5,10.16,30,,
11.5,8.63,31,,
Measured Data for year 2003,,,,
Month,Temperature °C,Day count,,
0.5,7.58,31,,
1.5,7.06,28,,
2.5,7.62,31,,
3.5,8.96,30,,
4.5,10.23,31,,
5.5,12.73,30,,
6.5,14.38,31,,
7.5,15.53,31,,
8.5,14.92,30,,
9.5,12.91,31,,
10.5,10.57,30,,
11.5,9.20,31,,
Measured Data for year 2004,,,,
Month,Temperature °C,Day count,,
0.5,8.12,31,,
1.5,8.13,29,,
2.5,7.80,31,,
3.5,,0,,
4.5,9.67,31,,
5.5,13.33,30,,
6.5,14.38,31,,
7.5,15.22,31,,
8.5,14.52,30,,
9.5,12.69,31,,
10.5,11.19,30,,
11.5,9.59,31,,
Measured Data for year 2005,,,,
Month,Temperature °C,Day count,,
0.5,8.79,31,,
1.5,8.36,28,,
2.5,8.18,31,,
3.5,9.02,30,,
4.5,10.14,31,,
5.5,12.36,30,,
6.5,14.58,31,,
7.5,15.01,31,,
8.5,14.95,30,,
9.5,13.31,31,,
10.5,11.16,30,,
11.5,9.44,31,,
Measured Data for year 2006,,,,
Month,Temperature °C,Day count,,
0.5,8.25,31,,
1.5,7.94,28,,
2.5,7.83,31,,
3.5,8.46,30,,
4.5,10.22,31,,
5.5,12.61,30,,
6.5,14.75,31,,
7.5,15.59,31,,
8.5,15.25,30,,
9.5,,0,,
10.5,11.64,30,,
11.5,9.73,31,,
Measured Data for year 2007,,,,
Month,Temperature °C,Day count,,
0.5,8.76,31,,
1.5,8.18,28,,
2.5,8.86,31,,
3.5,10.67,30,,
4.5,11.75,31,,
5.5,12.91,30,,
6.5,,0,,
7.5,,0,,
8.5,,0,,
9.5,,0,,
10.5,,0,,
11.5,,0,,
Measured Data for year 2008,,,,
Month,Temperature °C,Day count,,
0.5,,0,,
1.5,,0,,
2.5,,0,,
3.5,,0,,
4.5,,0,,
5.5,,0,,
6.5,,0,,
7.5,,0,,
8.5,,0,,
9.5,,0,,
10.5,10.53,14,,
11.5,8.97,31,,
Measured Data for year 2009,,,,
Month,Temperature °C,Day count,,
0.5,7.62,31,,
1.5,7.14,24,,
2.5,7.88,31,,
3.5,9.07,30,,
4.5,10.64,31,,
5.5,12.69,30,,
6.5,14.55,31,,
7.5,15.57,31,,
8.5,14.68,30,,
9.5,13.32,31,,
10.5,11.39,30,,
11.5,9.10,31,,
Measured Data for year 2010,,,,
Month,Temperature °C,Day count,,
0.5,7.29,31,,
1.5,6.65,28,,
2.5,7.05,31,,
3.5,8.36,30,,
4.5,10.28,31,,
5.5,11.94,30,,
6.5,15.02,31,,
7.5,15.35,31,,
8.5,14.87,30,,
9.5,12.96,31,,
10.5,10.47,30,,
11.5,8.26,31,,
Measured Data for year 2011,,,,
Month,Temperature °C,Day count,,
0.5,7.21,31,,
1.5,7.57,28,,
2.5,7.91,31,,
3.5,9.72,30,,
4.5,11.16,31,,
5.5,12.32,30,,
6.5,13.92,31,,
7.5,14.61,29,,
8.5,14.27,30,,
9.5,12.91,31,,
10.5,11.42,30,,
11.5,9.18,31,,
Measured Data for year 2012,,,,
Month,Temperature °C,Day count,,
0.5,8.46,31,,
1.5,8.05,29,,
2.5,9.04,31,,
3.5,9.51,30,,
4.5,10.30,31,,
5.5,11.35,30,,
6.5,12.87,31,,
7.5,14.66,30,,
8.5,14.60,30,,
9.5,12.37,31,,
10.5,10.26,30,,
11.5,8.49,31,,
Measured Data for year 2013,,,,
Month,Temperature °C,Day count,,
0.5,7.74,31,,
1.5,7.22,28,,
2.5,6.66,31,,
3.5,7.45,30,,
4.5,9.19,31,,
5.5,11.73,30,,
6.5,14.09,31,,
7.5,15.97,31,,
8.5,14.79,30,,
9.5,13.40,31,,
10.5,10.98,29,,
11.5,9.37,31,,
Measured Data for year 2014,,,,
Month,Temperature °C,Day count,,
0.5,7.94,31,,
1.5,7.40,28,,
2.5,7.87,31,,
3.5,9.30,30,,
4.5,11.03,31,,
5.5,12.40,30,,
6.5,14.66,31,,
7.5,15.22,31,,
8.5,14.81,30,,
9.5,13.63,31,,
10.5,11.79,30,,
11.5,9.68,31,,
Measured Data for year 2015,,,,
Month,Temperature °C,Day count,,
0.5,8.22,31,,
1.5,7.44,28,,
2.5,7.60,31,,
3.5,8.72,30,,
4.5,9.86,31,,
5.5,11.63,30,,
6.5,13.85,31,,
7.5,14.43,31,,
8.5,14.10,30,,
9.5,13.11,31,,
10.5,11.37,29,,
11.5,9.86,31,,
Measured Data for year 2016,,,,
Month,Temperature °C,Day count,,
0.5,8.71,31,,
1.5,8.01,29,,
2.5,8.18,31,,
3.5,8.72,30,,
4.5,10.30,31,,
5.5,11.71,30,,
6.5,14.42,31,,
7.5,15.35,31,,
8.5,15.22,30,,
9.5,13.44,31,,
10.5,11.25,30,,
11.5,9.79,31,,
Measured Data for year 2017,,,,
Month,Temperature °C,Day count,,
0.5,8.76,31,,
1.5,7.89,28,,
2.5,8.27,31,,
3.5,9.44,30,,
4.5,11.18,31,,
5.5,13.51,30,,
6.5,14.51,31,,
7.5,15.36,31,,
8.5,14.64,30,,
9.5,13.15,31,,
10.5,11.13,30,,
11.5,9.17,31,,
Measured Data for year 2018,,,,
Month,Temperature °C,Day count,,
0.5,7.94,31,,
1.5,7.16,28,,
2.5,6.38,31,,
3.5,7.86,30,,
4.5,10.35,31,,
5.5,12.26,30,,
6.5,14.28,31,,
7.5,15.72,31,,
8.5,14.29,30,,
9.5,12.62,31,,
10.5,10.51,30,,
11.5,9.21,31,,
Measured Data for year 2019,,,,
Month,Temperature °C,Day count,,
0.5,8.80,31,,
1.5,8.18,28,,
2.5,8.52,31,,
3.5,9.14,30,,
4.5,10.66,31,,
5.5,12.72,30,,
6.5,14.74,31,,
7.5,15.82,31,,
8.5,15.03,30,,
9.5,13.25,31,,
10.5,11.01,30,,
11.5,9.21,31,,
Measured Data for year 2020,,,,
Month,Temperature °C,Day count,,
0.5,8.39,31,,
1.5,7.57,29,,
2.5,7.59,31,,
3.5,8.98,30,,
4.5,10.45,31,,
5.5,12.17,30,,
6.5,13.73,31,,
7.5,14.71,31,,
8.5,14.53,30,,
9.5,12.92,31,,
10.5,11.17,30,,
11.5,9.32,31,,
Measured Data for year 2021,,,,
Month,Temperature °C,Day count,,
0.5,7.78,31,,
1.5,6.96,28,,
2.5,7.84,31,,
3.5,8.91,30,,
4.5,10.05,31,,
5.5,12.55,30,,
6.5,13.53,30,,
7.5,14.71,31,,
8.5,14.98,30,,
9.5,13.79,31,,
10.5,11.98,26,,
11.5,9.67,22,,
Measured Data for year 2022,,,,
Month,Temperature °C,Day count,,
0.5,8.90,19,,
1.5,8.38,8,,
2.5,8.45,20,,
3.5,9.21,30,,
4.5,11.38,31,,
5.5,13.31,30,,
6.5,14.72,31,,
7.5,15.83,31,,
8.5,15.38,30,,
9.5,13.54,31,,
10.5,11.93,30,,
11.5,9.59,31,,
Measured Data for year 2023,,,,
Month,Temperature °C,Day count,,
0.5,8.48,31,,
1.5,8.62,28,,
2.5,8.54,31,,
3.5,9.52,30,,
4.5,11.43,31,,
5.5,13.34,30,,
6.5,16.00,31,,
7.5,15.97,31,,
8.5,15.62,30,,
9.5,13.78,31,,
10.5,11.69,30,,
11.5,10.29,31,,
Measured Data for year 2024,,,,
Month,Temperature °C,Day count,,
0.5,8.94,31,,
1.5,8.65,29,,
2.5,8.46,31,,
3.5,9.43,30,,
4.5,11.02,31,,
5.5,12.86,30,,
6.5,14.20,31,,
7.5,15.21,31,,
8.5,14.45,30,,
9.5,12.79,31,,
10.5,11.63,30,,
11.5,9.94,31,,
Measured Data for year 2025,,,,
Month,Temperature °C,Day count,,
0.5,8.68,31,,
1.5,8.04,28,,
2.5,8.78,30,,
3.5,10.03,30,,
4.5,11.75,31,,
5.5,13.88,30,,
6.5,15.42,31,,
7.5,16.08,31,,
8.5,15.39,30,,
9.5,13.73,31,,
10.5,11.73,30,,
11.5,9.77,31,,
